nice: cannot set niceness: Permission denied
Precompiling packages...
   1653.5 ms  ✓ CompilerSupportLibraries_jll
   1651.4 ms  ✓ Unicode
   1655.1 ms  ✓ Logging
   1655.9 ms  ✓ UUIDs
   1668.4 ms  ✓ NetworkOptions
   1726.4 ms  ✓ MozillaCACerts_jll
   1722.1 ms  ✓ Zlib_jll
   1774.4 ms  ✓ OpenSSL_jll
   1747.1 ms  ✓ nghttp2_jll
   1815.3 ms  ✓ Base64
    482.1 ms  ✓ LibSSH2_jll
    598.7 ms  ✓ p7zip_jll
    679.8 ms  ✓ Printf
    445.4 ms  ✓ LibCURL_jll
    452.1 ms  ✓ LibGit2_jll
   3235.1 ms  ✓ ArgTools
    760.0 ms  ✓ LibCURL
    628.6 ms  ✓ Tar
   2959.1 ms  ✓ Dates
   3057.4 ms  ✓ LibGit2
    443.9 ms  ✓ TOML
   2987.6 ms  ✓ Downloads
   9249.8 ms  ✓ StyledStrings
   1706.0 ms  ✓ JuliaSyntaxHighlighting
   3803.1 ms  ✓ Markdown
  46583.9 ms  ✓ Pkg
  26 dependencies successfully precompiled in 61 seconds
Precompiling packages...
   2468.9 ms  ✓ IteratorInterfaceExtensions
   2595.5 ms  ✓ MuladdMacro
   2677.9 ms  ✓ RangeArrays
   2773.0 ms  ✓ IndirectArrays
   2779.2 ms  ✓ PolygonOps
   2786.7 ms  ✓ LaTeXStrings
   2871.5 ms  ✓ Contour
   2875.6 ms  ✓ TensorCore
   2974.8 ms  ✓ StatsAPI
   3150.7 ms  ✓ TriplotBase
   3575.9 ms  ✓ AbstractFFTs
   2694.8 ms  ✓ IntegerMathUtils
   2600.4 ms  ✓ OpenLibm_jll
   2896.4 ms  ✓ InverseFunctions
   5652.9 ms  ✓ FillArrays
   2996.8 ms  ✓ SuiteSparse_jll
   6254.0 ms  ✓ OffsetArrays
   3510.3 ms  ✓ Statistics
   3762.8 ms  ✓ IterTools
   4090.5 ms  ✓ Serialization
   2606.9 ms  ✓ DataValueInterfaces
   7868.9 ms  ✓ Format
   2602.0 ms  ✓ EnumX
   2402.6 ms  ✓ Reexport
   2792.3 ms  ✓ StableRNGs
   4220.5 ms  ✓ Requires
   3301.5 ms  ✓ AbstractTrees
   3409.0 ms  ✓ DocStringExtensions
   3307.5 ms  ✓ IntervalSets
  10160.7 ms  ✓ CEnum
   2808.4 ms  ✓ RoundingEmulator
