nice: cannot set niceness: Permission denied
Precompiling packages...
   1595.5 ms  ✓ MozillaCACerts_jll
   1590.6 ms  ✓ Zlib_jll
   1597.8 ms  ✓ Logging
   1686.7 ms  ✓ UUIDs
   1683.3 ms  ✓ nghttp2_jll
   1729.0 ms  ✓ OpenSSL_jll
   1721.4 ms  ✓ NetworkOptions
   1717.6 ms  ✓ Unicode
   1720.6 ms  ✓ CompilerSupportLibraries_jll
   1791.3 ms  ✓ Base64
    493.7 ms  ✓ LibSSH2_jll
    560.8 ms  ✓ p7zip_jll
    669.1 ms  ✓ Printf
    462.0 ms  ✓ LibCURL_jll
    466.7 ms  ✓ LibGit2_jll
   3292.8 ms  ✓ ArgTools
    764.4 ms  ✓ LibCURL
    645.9 ms  ✓ Tar
   2916.9 ms  ✓ Dates
    458.7 ms  ✓ TOML
   3123.6 ms  ✓ LibGit2
   3083.6 ms  ✓ Downloads
   9492.5 ms  ✓ StyledStrings
   1665.3 ms  ✓ JuliaSyntaxHighlighting
   3955.3 ms  ✓ Markdown
  47985.8 ms  ✓ Pkg
  26 dependencies successfully precompiled in 63 seconds
Precompiling packages...
   2465.2 ms  ✓ MuladdMacro
   2554.8 ms  ✓ RangeArrays
   2557.6 ms  ✓ LaTeXStrings
   2555.8 ms  ✓ IteratorInterfaceExtensions
   2661.1 ms  ✓ PolygonOps
   2756.5 ms  ✓ TensorCore
   2768.2 ms  ✓ StatsAPI
   2849.6 ms  ✓ Contour
   2868.1 ms  ✓ IndirectArrays
   3147.4 ms  ✓ TriplotBase
   3267.7 ms  ✓ AbstractFFTs
   2603.6 ms  ✓ IntegerMathUtils
   2701.1 ms  ✓ OpenLibm_jll
   5344.3 ms  ✓ FillArrays
   2872.8 ms  ✓ InverseFunctions
   5652.7 ms  ✓ OffsetArrays
   3096.8 ms  ✓ SuiteSparse_jll
   3296.5 ms  ✓ Statistics
   3503.6 ms  ✓ IterTools
   3926.0 ms  ✓ Serialization
   7152.8 ms  ✓ Format
   2418.3 ms  ✓ DataValueInterfaces
   2493.0 ms  ✓ EnumX
   2405.6 ms  ✓ Reexport
   2802.0 ms  ✓ StableRNGs
   4194.4 ms  ✓ Requires
   3400.1 ms  ✓ DocStringExtensions
   9343.8 ms  ✓ CEnum
   3411.6 ms  ✓ AbstractTrees
   3375.0 ms  ✓ IntervalSets
   2788.9 ms  ✓ RoundingEmulator
   2884.5 ms  ✓ Mmap
   2605.8 ms  ✓ PtrArrays
   3005.2 ms  ✓ Extents
   2736.5 ms  ✓ PCRE2_jll
   2987.9 ms  ✓ Inflate
   3008.5 ms  ✓ DataAPI
   2496.6 ms  ✓ CRC32c
   3801.3 ms  ✓ TranscodingStreams
   9892.3 ms  ✓ Observables
   2485.4 ms  ✓ StaticArraysCore
   2496.8 ms  ✓ MappedArrays
  10506.1 ms  ✓ OrderedCollections
  11892.6 ms  ✓ Grisu
   2404.9 ms  ✓ TableTraits
   3090.0 ms  ✓ Scratch
   7301.5 ms  ✓ AdaptivePredicates
   3810.4 ms  ✓ Preferences
   3307.9 ms  ✓ Primes
   2704.5 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   2617.7 ms  ✓ StackViews
   9499.4 ms  ✓ LazyModules
   3684.1 ms  ✓ PaddedViews
  14305.3 ms  ✓ IrrationalConstants
  11202.1 ms  ✓ ConstructionBase
   2892.5 ms  ✓ FillArrays → FillArraysStatisticsExt
  18598.9 ms  ✓ MacroTools
   9071.4 ms  ✓ PkgVersion
  11487.2 ms  ✓ StructUtils
  23171.2 ms  ✓ BaseDirs
  10108.5 ms  ✓ Compat
   3023.2 ms  ✓ Ratios
   6587.8 ms  ✓ SignedDistanceFields
   3209.2 ms  ✓ Adapt
   2597.3 ms  ✓ IntervalSets → IntervalSetsRandomExt
   3021.9 ms  ✓ IntervalSets → IntervalSetsStatisticsExt
   3020.7 ms  ✓ AliasTables
  10608.0 ms  ✓ NaNMath
   2464.7 ms  ✓ Showoff
   2474.5 ms  ✓ PrecompileTools
   2999.2 ms  ✓ RelocatableFolders
   3078.9 ms  ✓ JLLWrappers
  15101.6 ms  ✓ InteractiveUtils
   2988.9 ms  ✓ MosaicViews
   2423.7 ms  ✓ ConstructionBase → ConstructionBaseIntervalSetsExt
