nice: cannot set niceness: Permission denied
Precompiling packages...
   1673.9 ms  ✓ UUIDs
   1675.2 ms  ✓ Logging
   1728.0 ms  ✓ OpenSSL_jll
   1790.8 ms  ✓ MozillaCACerts_jll
   1801.5 ms  ✓ Unicode
   1807.2 ms  ✓ nghttp2_jll
   1828.9 ms  ✓ NetworkOptions
   1818.6 ms  ✓ Zlib_jll
   1871.6 ms  ✓ CompilerSupportLibraries_jll
   1858.5 ms  ✓ Base64
    543.6 ms  ✓ LibSSH2_jll
    573.2 ms  ✓ p7zip_jll
    717.2 ms  ✓ Printf
    499.1 ms  ✓ LibGit2_jll
    496.9 ms  ✓ LibCURL_jll
   3344.5 ms  ✓ ArgTools
    799.0 ms  ✓ LibCURL
    656.3 ms  ✓ Tar
   3001.9 ms  ✓ Dates
   3178.6 ms  ✓ LibGit2
    481.3 ms  ✓ TOML
   3057.5 ms  ✓ Downloads
   9793.4 ms  ✓ StyledStrings
   1704.6 ms  ✓ JuliaSyntaxHighlighting
   3969.0 ms  ✓ Markdown
  47392.3 ms  ✓ Pkg
  26 dependencies successfully precompiled in 63 seconds
Precompiling packages...
   2453.8 ms  ✓ RangeArrays
   2532.9 ms  ✓ LaTeXStrings
   2825.8 ms  ✓ MuladdMacro
   2820.6 ms  ✓ PolygonOps
   2841.3 ms  ✓ IndirectArrays
   2835.6 ms  ✓ StatsAPI
   2839.3 ms  ✓ IteratorInterfaceExtensions
   2916.8 ms  ✓ TensorCore
   2912.5 ms  ✓ Contour
   2922.9 ms  ✓ TriplotBase
   3339.9 ms  ✓ AbstractFFTs
   2684.8 ms  ✓ IntegerMathUtils
   2608.0 ms  ✓ InverseFunctions
   5483.6 ms  ✓ FillArrays
   2702.4 ms  ✓ OpenLibm_jll
   5629.3 ms  ✓ OffsetArrays
   2905.2 ms  ✓ SuiteSparse_jll
   3380.4 ms  ✓ Statistics
   3476.4 ms  ✓ IterTools
   3815.1 ms  ✓ Serialization
   7689.1 ms  ✓ Format
   2385.2 ms  ✓ DataValueInterfaces
   2494.1 ms  ✓ Reexport
   2794.4 ms  ✓ StableRNGs
   3309.2 ms  ✓ EnumX
   3214.1 ms  ✓ DocStringExtensions
   3220.7 ms  ✓ AbstractTrees
   4385.6 ms  ✓ Requires
   9620.0 ms  ✓ CEnum
   3382.7 ms  ✓ IntervalSets
   2808.3 ms  ✓ RoundingEmulator
   2796.5 ms  ✓ Mmap
   2886.7 ms  ✓ Extents
   2820.3 ms  ✓ PtrArrays
   2500.8 ms  ✓ PCRE2_jll
   3196.4 ms  ✓ TranscodingStreams
   2882.9 ms  ✓ Inflate
   9493.8 ms  ✓ Observables
   2512.0 ms  ✓ DataAPI
   2614.8 ms  ✓ Adapt
  10503.6 ms  ✓ OrderedCollections
   2492.9 ms  ✓ CRC32c
   2897.0 ms  ✓ StaticArraysCore
  11188.8 ms  ✓ Grisu
   3202.2 ms  ✓ MappedArrays
   2513.6 ms  ✓ Scratch
   2202.7 ms  ✓ TableTraits
   7076.0 ms  ✓ AdaptivePredicates
   3777.3 ms  ✓ Preferences
   2813.8 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   3331.7 ms  ✓ Primes
   9014.4 ms  ✓ LazyModules
   2803.4 ms  ✓ StackViews
   2602.1 ms  ✓ PaddedViews
  12902.8 ms  ✓ IrrationalConstants
   2792.9 ms  ✓ FillArrays → FillArraysStatisticsExt
  11384.6 ms  ✓ ConstructionBase
   7702.3 ms  ✓ PkgVersion
   3501.4 ms  ✓ Ratios
  19720.9 ms  ✓ MacroTools
  23440.1 ms  ✓ BaseDirs
   3601.6 ms  ✓ IntervalSets → IntervalSetsRandomExt
