nice: cannot set niceness: Permission denied
Precompiling packages...
   2086.2 ms  ✓ PolygonOps
   2093.2 ms  ✓ IteratorInterfaceExtensions
   2098.9 ms  ✓ MuladdMacro
   2095.3 ms  ✓ IndirectArrays
   2089.5 ms  ✓ Contour
   2098.1 ms  ✓ LaTeXStrings
   2241.0 ms  ✓ RangeArrays
   2097.8 ms  ✓ CEnum
   2107.3 ms  ✓ TensorCore
   2081.2 ms  ✓ TriplotBase
   2112.4 ms  ✓ StatsAPI
   3187.5 ms  ✓ AbstractFFTs
   1889.5 ms  ✓ TableTraits
   2005.2 ms  ✓ OpenLibm_jll
   4103.6 ms  ✓ FillArrays
   2117.0 ms  ✓ IntegerMathUtils
   2184.2 ms  ✓ CompilerSupportLibraries_jll
   2299.8 ms  ✓ SuiteSparse_jll
   2406.5 ms  ✓ InverseFunctions
   2505.4 ms  ✓ IterTools
   4778.0 ms  ✓ OffsetArrays
   5151.2 ms  ✓ Format
   3092.8 ms  ✓ StructUtils
   3400.7 ms  ✓ Grisu
   2006.5 ms  ✓ DataValueInterfaces
   1905.1 ms  ✓ EnumX
   1780.1 ms  ✓ Reexport
   1605.8 ms  ✓ Zlib_jll
   3228.4 ms  ✓ Preferences
   1907.1 ms  ✓ StableRNGs
   2498.7 ms  ✓ Compat
   2298.7 ms  ✓ Observables
   2284.4 ms  ✓ Requires
   2504.7 ms  ✓ OrderedCollections
   2811.2 ms  ✓ AbstractTrees
   3020.9 ms  ✓ DocStringExtensions
   2080.6 ms  ✓ PtrArrays
   2123.1 ms  ✓ Compat → CompatLinearAlgebraExt
   2382.4 ms  ✓ RoundingEmulator
   2291.5 ms  ✓ JLLWrappers
   2312.4 ms  ✓ LazyModules
   2495.1 ms  ✓ Extents
   2382.7 ms  ✓ Inflate
   6983.3 ms  ✓ Distributed
   2697.9 ms  ✓ TranscodingStreams
   2990.3 ms  ✓ IntervalSets
   2185.5 ms  ✓ Adapt
   2690.1 ms  ✓ ConstructionBase
   2416.0 ms  ✓ DataAPI
   2497.0 ms  ✓ StaticArraysCore
   1930.7 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   2488.2 ms  ✓ MappedArrays
   2803.2 ms  ✓ PkgVersion
   6370.8 ms  ✓ IrrationalConstants
   2814.8 ms  ✓ Primes
   3300.8 ms  ✓ Scratch
   3011.1 ms  ✓ NaNMath
   5887.9 ms  ✓ UnicodeFun
  12499.2 ms  ✓ BaseDirs
  10798.9 ms  ✓ MacroTools
   2609.2 ms  ✓ StackViews
   2100.0 ms  ✓ Showoff
   2084.2 ms  ✓ PrecompileTools
   2719.8 ms  ✓ PaddedViews
   2199.9 ms  ✓ PCRE2_jll
   2024.5 ms  ✓ Ratios
   2405.6 ms  ✓ AliasTables
   3208.4 ms  ✓ ComputePipeline
   2288.3 ms  ✓ Graphite2_jll
   2295.1 ms  ✓ CoreMath_jll
   2473.1 ms  ✓ OpenSSL_jll
   2216.1 ms  ✓ Libmount_jll
   3212.0 ms  ✓ FilePathsBase
   2112.6 ms  ✓ MosaicViews
   2273.5 ms  ✓ LLVMOpenMP_jll
   2391.6 ms  ✓ Xorg_libpciaccess_jll
   2381.6 ms  ✓ Rmath_jll
   5804.2 ms  ✓ AdaptivePredicates
   2484.7 ms  ✓ Xorg_libXau_jll
   4986.7 ms  ✓ ChainRulesCore
   2310.3 ms  ✓ libfdk_aac_jll
   2303.5 ms  ✓ Imath_jll
   2295.4 ms  ✓ LAME_jll
   2304.2 ms  ✓ Giflib_jll
