nice: cannot set niceness: Permission denied
Precompiling packages...
   2076.9 ms  ✓ CEnum
   2090.6 ms  ✓ LaTeXStrings
   2088.6 ms  ✓ StatsAPI
   2239.9 ms  ✓ RangeArrays
   2090.7 ms  ✓ PolygonOps
   2156.6 ms  ✓ Contour
   2160.4 ms  ✓ IndirectArrays
   2159.3 ms  ✓ IteratorInterfaceExtensions
   2189.3 ms  ✓ TensorCore
   2257.4 ms  ✓ TriplotBase
   3082.6 ms  ✓ AbstractFFTs
   3975.7 ms  ✓ Gamma
   1969.4 ms  ✓ IntegerMathUtils
   1925.4 ms  ✓ CommonSolve
   2086.6 ms  ✓ OpenLibm_jll
   2099.6 ms  ✓ CompilerSupportLibraries_jll
   2209.5 ms  ✓ SuiteSparse_jll
   2395.2 ms  ✓ InverseFunctions
   4556.2 ms  ✓ FillArrays
   4665.2 ms  ✓ OffsetArrays
   4762.3 ms  ✓ Format
   2733.2 ms  ✓ PkgVersion
   2911.8 ms  ✓ IterTools
   3898.9 ms  ✓ StructUtils
   1763.7 ms  ✓ DataValueInterfaces
   2331.2 ms  ✓ Compat
   2309.1 ms  ✓ Observables
   1868.7 ms  ✓ Reexport
   2301.0 ms  ✓ Requires
   2096.1 ms  ✓ StableRNGs
   2603.8 ms  ✓ OrderedCollections
   2002.9 ms  ✓ Zlib_jll
   3278.0 ms  ✓ Preferences
   2896.5 ms  ✓ DocStringExtensions
   2903.3 ms  ✓ AbstractTrees
   2170.6 ms  ✓ CompositionsBase
   2098.2 ms  ✓ PCRE2_jll
   2522.2 ms  ✓ IntervalSets
   2326.8 ms  ✓ PtrArrays
   2588.1 ms  ✓ RoundingEmulator
   2673.3 ms  ✓ TranscodingStreams
   7219.3 ms  ✓ Distributed
   2132.9 ms  ✓ LazyModules
   2387.5 ms  ✓ ConstructionBase
   2693.2 ms  ✓ Inflate
   2127.6 ms  ✓ Adapt
   1790.5 ms  ✓ TableTraits
   2510.3 ms  ✓ StaticArraysCore
   2803.6 ms  ✓ DataAPI
   2701.3 ms  ✓ Scratch
   5632.2 ms  ✓ IrrationalConstants
   5406.7 ms  ✓ UnicodeFun
   2822.8 ms  ✓ MappedArrays
   3122.3 ms  ✓ SharedArrays
   6022.8 ms  ✓ AdaptivePredicates
  10006.4 ms  ✓ MacroTools
   2803.7 ms  ✓ NaNMath
   2791.1 ms  ✓ EnumX
   2397.1 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   3280.1 ms  ✓ Primes
  13781.3 ms  ✓ BaseDirs
   2393.7 ms  ✓ StackViews
   2196.3 ms  ✓ Ratios
   2401.5 ms  ✓ PaddedViews
   2196.6 ms  ✓ PrecompileTools
   2607.0 ms  ✓ JLLWrappers
   3709.6 ms  ✓ Tables
   1808.7 ms  ✓ IntervalSets → IntervalSetsRandomExt
   1897.9 ms  ✓ AliasTables
   2204.4 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   1906.2 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2887.5 ms  ✓ ComputePipeline
   2086.4 ms  ✓ OffsetArrays → OffsetArraysAdaptExt
   1914.4 ms  ✓ StructUtils → StructUtilsStaticArraysCoreExt
   3393.5 ms  ✓ ProgressMeter
   1788.8 ms  ✓ RelocatableFolders
   1899.9 ms  ✓ Compat → CompatLinearAlgebraExt
   2099.7 ms  ✓ Missings
   3497.9 ms  ✓ ConstructionBase → ConstructionBaseIntervalSetsExt
   4079.6 ms  ✓ HypergeometricFunctions
   2384.2 ms  ✓ MosaicViews
   2813.5 ms  ✓ LogExpFunctions
   3187.3 ms  ✓ SimpleTraits
  14337.9 ms  ✓ SparseArrays
   6889.5 ms  ✓ DataStructures
   3408.2 ms  ✓ MuladdMacro
   2408.6 ms  ✓ Graphite2_jll
   2512.7 ms  ✓ OpenSSL_jll
   2590.2 ms  ✓ CoreMath_jll
   2496.1 ms  ✓ Libmount_jll
   2381.5 ms  ✓ LLVMOpenMP_jll
   2683.8 ms  ✓ Bzip2_jll
   2304.8 ms  ✓ Xorg_libpciaccess_jll
   2382.2 ms  ✓ Xorg_libXau_jll
   2598.5 ms  ✓ Rmath_jll
   2603.9 ms  ✓ libpng_jll
   2433.4 ms  ✓ Imath_jll
   2703.7 ms  ✓ Giflib_jll
   2699.9 ms  ✓ LAME_jll
   2613.0 ms  ✓ LERC_jll
   2301.4 ms  ✓ CRlibm_jll
