nice: cannot set niceness: Permission denied
Precompiling packages...
   2061.5 ms  ✓ Contour
   2071.5 ms  ✓ IndirectArrays
   2070.2 ms  ✓ IteratorInterfaceExtensions
   2040.6 ms  ✓ IntegerMathUtils
   2075.7 ms  ✓ PolygonOps
   2081.7 ms  ✓ CEnum
   2087.9 ms  ✓ LaTeXStrings
   2084.0 ms  ✓ StatsAPI
   2144.9 ms  ✓ TriplotBase
   2192.8 ms  ✓ TensorCore
   2435.2 ms  ✓ RangeArrays
   2872.5 ms  ✓ AbstractFFTs
   2006.1 ms  ✓ OpenLibm_jll
   2081.4 ms  ✓ TableTraits
   4265.9 ms  ✓ FillArrays
   2307.9 ms  ✓ CompilerSupportLibraries_jll
   2402.6 ms  ✓ InverseFunctions
   2398.7 ms  ✓ SuiteSparse_jll
   4759.8 ms  ✓ OffsetArrays
   2787.5 ms  ✓ IterTools
   2887.6 ms  ✓ PkgVersion
   5134.0 ms  ✓ Format
   2524.0 ms  ✓ Compat
   3102.8 ms  ✓ Preferences
   3812.4 ms  ✓ StructUtils
   1913.2 ms  ✓ EnumX
   2022.9 ms  ✓ DataValueInterfaces
   2226.0 ms  ✓ Requires
   1712.5 ms  ✓ Zlib_jll
   2430.4 ms  ✓ Observables
   2578.1 ms  ✓ OrderedCollections
   1909.7 ms  ✓ Reexport
   2190.3 ms  ✓ StableRNGs
   1916.5 ms  ✓ Compat → CompatLinearAlgebraExt
   2619.3 ms  ✓ AbstractTrees
   3102.8 ms  ✓ DocStringExtensions
   2298.9 ms  ✓ RoundingEmulator
   1994.3 ms  ✓ CompositionsBase
   2195.9 ms  ✓ PtrArrays
   2287.2 ms  ✓ PCRE2_jll
   2500.1 ms  ✓ LazyModules
   2429.9 ms  ✓ Inflate
   2089.3 ms  ✓ ConstructionBase
   3098.8 ms  ✓ TranscodingStreams
   7779.9 ms  ✓ Distributed
   2413.7 ms  ✓ Adapt
   2301.3 ms  ✓ DataAPI
   2170.5 ms  ✓ Scratch
   5586.8 ms  ✓ IrrationalConstants
   2504.6 ms  ✓ StaticArraysCore
   2099.0 ms  ✓ CommonSolve
   2985.3 ms  ✓ MappedArrays
   2322.1 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   5505.3 ms  ✓ UnicodeFun
   2799.5 ms  ✓ NaNMath
   2096.8 ms  ✓ StackViews
  10284.6 ms  ✓ MacroTools
   3391.1 ms  ✓ Primes
   2798.8 ms  ✓ PaddedViews
  13567.9 ms  ✓ BaseDirs
   6922.5 ms  ✓ AdaptivePredicates
   2607.9 ms  ✓ JLLWrappers
   2390.2 ms  ✓ Ratios
   2508.9 ms  ✓ PrecompileTools
   3400.1 ms  ✓ IntervalSets
   2109.1 ms  ✓ AliasTables
   2297.6 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   2983.7 ms  ✓ ComputePipeline
   1980.0 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   1898.2 ms  ✓ OffsetArrays → OffsetArraysAdaptExt
   3320.2 ms  ✓ FilePathsBase
   2202.3 ms  ✓ Missings
   2020.9 ms  ✓ RelocatableFolders
   2718.9 ms  ✓ SharedArrays
   2107.3 ms  ✓ StructUtils → StructUtilsStaticArraysCoreExt
   3601.5 ms  ✓ ProgressMeter
   3612.6 ms  ✓ Tables
   2427.8 ms  ✓ MosaicViews
   2970.6 ms  ✓ LogExpFunctions
   2378.2 ms  ✓ CoreMath_jll
   5679.1 ms  ✓ ChainRulesCore
   2681.3 ms  ✓ OpenSSL_jll
   2296.8 ms  ✓ Graphite2_jll
   3215.3 ms  ✓ SimpleTraits
   2587.5 ms  ✓ Libmount_jll
   2392.9 ms  ✓ LLVMOpenMP_jll
   2596.1 ms  ✓ Bzip2_jll
   7333.8 ms  ✓ DataStructures
   2278.8 ms  ✓ Rmath_jll
   2503.7 ms  ✓ Xorg_libpciaccess_jll
   2495.1 ms  ✓ Xorg_libXau_jll
   2528.7 ms  ✓ libpng_jll
   2198.6 ms  ✓ Giflib_jll
   2412.3 ms  ✓ Imath_jll
   2297.8 ms  ✓ LAME_jll
   2698.0 ms  ✓ libfdk_aac_jll
   2509.3 ms  ✓ LERC_jll
   2591.7 ms  ✓ EarCut_jll
   2814.4 ms  ✓ CRlibm_jll
   2885.0 ms  ✓ XZ_jll
   2908.5 ms  ✓ JpegTurbo_jll
   2997.6 ms  ✓ Ogg_jll
   3085.6 ms  ✓ Xorg_libXdmcp_jll
   2676.3 ms  ✓ Expat_jll
   2891.7 ms  ✓ Zstd_jll
   2915.9 ms  ✓ libaom_jll
   3387.5 ms  ✓ x264_jll
   3587.0 ms  ✓ x265_jll
   3014.2 ms  ✓ Opus_jll
   2720.5 ms  ✓ Libiconv_jll
   3096.1 ms  ✓ Xorg_xtrans_jll
   2625.9 ms  ✓ Libffi_jll
  14509.9 ms  ✓ SparseArrays
  12720.5 ms  ✓ FileIO
   2709.6 ms  ✓ isoband_jll
   2523.0 ms  ✓ FriBidi_jll
   2319.1 ms  ✓ OpenBLASConsistentFPCSR_jll
   2788.7 ms  ✓ Libuuid_jll
   2497.8 ms  ✓ OpenSpecFun_jll
   1805.5 ms  ✓ IntervalSets → IntervalSetsRandomExt
   1873.0 ms  ✓ FilePathsBase → FilePathsBaseMmapExt
   2000.0 ms  ✓ StructUtils → StructUtilsTablesExt
   3605.1 ms  ✓ MuladdMacro
   1993.4 ms  ✓ Isoband
   3276.4 ms  ✓ ConstructionBase → ConstructionBaseIntervalSetsExt
   2112.1 ms  ✓ CoreMath
   2405.1 ms  ✓ AbstractFFTs → AbstractFFTsChainRulesCoreExt
   3478.6 ms  ✓ StructArrays
   2404.2 ms  ✓ Pixman_jll
   2102.3 ms  ✓ SortingAlgorithms
   2579.2 ms  ✓ FreeType2_jll
   4581.0 ms  ✓ Gamma
   2784.2 ms  ✓ libdrm_jll
   3127.1 ms  ✓ Rmath
   2716.9 ms  ✓ OpenEXR_jll
   5391.4 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   4076.3 ms  ✓ QuadGK
   2504.3 ms  ✓ libsixel_jll
   2713.2 ms  ✓ CRlibm
   2991.6 ms  ✓ libvorbis_jll
   2517.5 ms  ✓ Libtiff_jll
   8785.1 ms  ✓ Accessors
   2895.0 ms  ✓ GettextRuntime_jll
   3589.6 ms  ✓ CodecZstd
   2894.2 ms  ✓ SuiteSparse
   2805.4 ms  ✓ WoodburyMatrices
   2780.4 ms  ✓ Adapt → AdaptSparseArraysExt
   3112.3 ms  ✓ Statistics
   3390.8 ms  ✓ FillArrays → FillArraysSparseArraysExt
   2164.8 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   2999.8 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   2312.7 ms  ✓ FilePaths
   6496.1 ms  ✓ Xorg_libxcb_jll
   2902.0 ms  ✓ AxisArrays
   2389.5 ms  ✓ StructArrays → StructArraysLinearAlgebraExt
   2533.5 ms  ✓ Fontconfig_jll
   3711.5 ms  ✓ FFTA
   3702.2 ms  ✓ StructArrays → StructArraysAdaptExt
   3229.3 ms  ✓ FreeType
   2078.0 ms  ✓ Accessors → LinearAlgebraExt
   4398.0 ms  ✓ StructArrays → StructArraysSparseArraysExt
   3733.2 ms  ✓ Accessors → StructArraysExt
   4493.4 ms  ✓ HypergeometricFunctions
   3185.0 ms  ✓ Accessors → IntervalSetsExt
   2692.9 ms  ✓ Glib_jll
   2416.0 ms  ✓ AxisAlgorithms
   3234.7 ms  ✓ PDMats
   2534.0 ms  ✓ FillArrays → FillArraysStatisticsExt
   2298.1 ms  ✓ IntervalSets → IntervalSetsStatisticsExt
   2193.0 ms  ✓ Xorg_libX11_jll
  10215.8 ms  ✓ SpecialFunctions
   2625.7 ms  ✓ FillArrays → FillArraysPDMatsExt
   8285.6 ms  ✓ IntervalArithmetic
   6274.6 ms  ✓ SignedDistanceFields
   2192.7 ms  ✓ Xorg_libXfixes_jll
   2224.7 ms  ✓ Xorg_libXext_jll
   2316.6 ms  ✓ Xorg_libXrender_jll
   2497.8 ms  ✓ IntervalArithmetic → IntervalArithmeticLinearAlgebraExt
   2400.3 ms  ✓ libva_jll
   2678.4 ms  ✓ Libglvnd_jll
   5200.9 ms  ✓ StatsFuns
   5392.6 ms  ✓ IntervalArithmetic → IntervalArithmeticIntervalSetsExt
   6009.4 ms  ✓ IntervalArithmetic → IntervalArithmeticSparseArraysExt
  10416.0 ms  ✓ StatsBase
   3309.1 ms  ✓ Cairo_jll
  11911.2 ms  ✓ FixedPointNumbers
   6429.6 ms  ✓ IntervalArithmetic → IntervalArithmeticIrrationalConstantsExt
   7604.6 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
