nice: cannot set niceness: Permission denied
Precompiling packages...
   1692.3 ms  ✓ MozillaCACerts_jll
   1695.6 ms  ✓ Logging
   1685.5 ms  ✓ Zlib_jll
   1698.1 ms  ✓ NetworkOptions
   1691.6 ms  ✓ nghttp2_jll
   1701.0 ms  ✓ UUIDs
   1710.4 ms  ✓ CompilerSupportLibraries_jll
   1813.2 ms  ✓ OpenSSL_jll
   1792.9 ms  ✓ Unicode
   1871.1 ms  ✓ Base64
    459.9 ms  ✓ LibSSH2_jll
    604.9 ms  ✓ p7zip_jll
    638.3 ms  ✓ Printf
    489.7 ms  ✓ LibGit2_jll
    490.4 ms  ✓ LibCURL_jll
   3353.8 ms  ✓ ArgTools
    773.9 ms  ✓ LibCURL
    656.0 ms  ✓ Tar
   2971.8 ms  ✓ Dates
   3081.9 ms  ✓ LibGit2
    457.1 ms  ✓ TOML
   3074.5 ms  ✓ Downloads
   9379.4 ms  ✓ StyledStrings
   1620.7 ms  ✓ JuliaSyntaxHighlighting
   3882.1 ms  ✓ Markdown
  48261.8 ms  ✓ Pkg
  26 dependencies successfully precompiled in 63 seconds
Precompiling packages...
   2573.4 ms  ✓ IteratorInterfaceExtensions
   2586.8 ms  ✓ RangeArrays
   2582.4 ms  ✓ IndirectArrays
   2662.8 ms  ✓ PolygonOps
   2743.6 ms  ✓ StatsAPI
   2773.6 ms  ✓ TensorCore
   2885.0 ms  ✓ LaTeXStrings
   2946.2 ms  ✓ IntegerMathUtils
   2969.6 ms  ✓ Contour
   3158.7 ms  ✓ TriplotBase
   3175.8 ms  ✓ AbstractFFTs
   5321.2 ms  ✓ FillArrays
   2761.1 ms  ✓ OpenLibm_jll
   2980.5 ms  ✓ InverseFunctions
   2385.3 ms  ✓ DataValueInterfaces
   2804.6 ms  ✓ SuiteSparse_jll
   5832.7 ms  ✓ OffsetArrays
   3206.2 ms  ✓ Statistics
   3334.9 ms  ✓ IterTools
   4112.5 ms  ✓ Serialization
   3883.7 ms  ✓ Primes
   7759.7 ms  ✓ Format
   4603.9 ms  ✓ Requires
   2531.5 ms  ✓ EnumX
   2416.1 ms  ✓ Reexport
   3201.0 ms  ✓ StableRNGs
   3384.1 ms  ✓ AbstractTrees
   2902.9 ms  ✓ RoundingEmulator
   3489.1 ms  ✓ DocStringExtensions
   3276.3 ms  ✓ IntervalSets
   9138.0 ms  ✓ CEnum
   2705.1 ms  ✓ CompositionsBase
   3380.2 ms  ✓ Mmap
   2592.0 ms  ✓ PCRE2_jll
   2697.9 ms  ✓ PtrArrays
   3604.0 ms  ✓ TranscodingStreams
   2424.2 ms  ✓ DataAPI
   2482.3 ms  ✓ IntervalSets → IntervalSetsRandomExt
   2723.3 ms  ✓ Inflate
   2814.1 ms  ✓ Adapt
   2791.4 ms  ✓ StaticArraysCore
   9989.3 ms  ✓ OrderedCollections
   3000.2 ms  ✓ MappedArrays
   2664.5 ms  ✓ Scratch
   2404.9 ms  ✓ TableTraits
   3733.7 ms  ✓ Preferences
   7594.3 ms  ✓ AdaptivePredicates
   2599.3 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   2605.7 ms  ✓ StackViews
   2691.1 ms  ✓ PaddedViews
   9909.4 ms  ✓ LazyModules
   9886.1 ms  ✓ ConstructionBase
   7703.5 ms  ✓ PkgVersion
  14138.6 ms  ✓ IrrationalConstants
   3603.8 ms  ✓ FillArrays → FillArraysStatisticsExt
   2507.2 ms  ✓ Ratios
  18797.2 ms  ✓ MacroTools
   6301.7 ms  ✓ SignedDistanceFields
  10382.9 ms  ✓ Compat
  11798.1 ms  ✓ StructUtils
   9316.0 ms  ✓ Observables
   2697.6 ms  ✓ IntervalSets → IntervalSetsStatisticsExt
  23071.9 ms  ✓ BaseDirs
  10000.7 ms  ✓ NaNMath
   2390.0 ms  ✓ CRC32c
   2664.1 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   2801.2 ms  ✓ AliasTables
   2503.0 ms  ✓ OffsetArrays → OffsetArraysAdaptExt
   2894.3 ms  ✓ RelocatableFolders
  14214.4 ms  ✓ InteractiveUtils
   2503.6 ms  ✓ PrecompileTools
   4103.8 ms  ✓ AxisArrays
   3601.2 ms  ✓ JLLWrappers
   2926.7 ms  ✓ MosaicViews
   2499.5 ms  ✓ ConstructionBase → ConstructionBaseIntervalSetsExt
   2390.1 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2403.8 ms  ✓ StructUtils → StructUtilsStaticArraysCoreExt
   2685.2 ms  ✓ Compat → CompatLinearAlgebraExt
   3596.1 ms  ✓ LogExpFunctions
   2597.4 ms  ✓ CommonSolve
   4016.3 ms  ✓ SimpleTraits
   8789.4 ms  ✓ DataStructures
   9202.5 ms  ✓ Missings
   4561.6 ms  ✓ MuladdMacro
   3832.0 ms  ✓ CoreMath_jll
   3431.3 ms  ✓ LLVMOpenMP_jll
   3972.3 ms  ✓ Graphite2_jll
   4091.4 ms  ✓ Libmount_jll
  12314.6 ms  ✓ Tables
  19828.4 ms  ✓ FixedPointNumbers
  19108.2 ms  ✓ Distributed
  11296.0 ms  ✓ ComputePipeline
   3806.5 ms  ✓ Bzip2_jll
   3898.4 ms  ✓ Xorg_libXau_jll
   4102.4 ms  ✓ Xorg_libpciaccess_jll
   4343.8 ms  ✓ Rmath_jll
   3595.4 ms  ✓ Imath_jll
   4203.4 ms  ✓ libfdk_aac_jll
   5589.6 ms  ✓ libpng_jll
  21882.2 ms  ✓ FileIO
   4695.8 ms  ✓ Giflib_jll
   4061.8 ms  ✓ LAME_jll
   3894.4 ms  ✓ EarCut_jll
   4392.5 ms  ✓ LERC_jll
   4098.9 ms  ✓ CRlibm_jll
  25408.7 ms  ✓ SparseArrays
   3501.6 ms  ✓ Ogg_jll
   4005.9 ms  ✓ JpegTurbo_jll
   3818.8 ms  ✓ Xorg_libXdmcp_jll
   4784.3 ms  ✓ OpenEXR_jll
   3697.5 ms  ✓ x265_jll
   3826.1 ms  ✓ x264_jll
   3705.9 ms  ✓ libaom_jll
   3756.9 ms  ✓ Expat_jll
   3978.7 ms  ✓ Zstd_jll
   3861.0 ms  ✓ Opus_jll
   3513.2 ms  ✓ Xorg_xtrans_jll
   3784.8 ms  ✓ Libiconv_jll
   3422.0 ms  ✓ isoband_jll
   3781.0 ms  ✓ Libffi_jll
   3603.2 ms  ✓ OpenSpecFun_jll
   3790.9 ms  ✓ FriBidi_jll
   3700.3 ms  ✓ Libuuid_jll
   2419.7 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   4236.3 ms  ✓ OpenBLASConsistentFPCSR_jll
   2816.3 ms  ✓ SortingAlgorithms
   3298.9 ms  ✓ CoreMath
   6399.6 ms  ✓ FilePathsBase
   5274.6 ms  ✓ Gamma
   2392.2 ms  ✓ StructUtils → StructUtilsTablesExt
   3596.5 ms  ✓ Pixman_jll
   5907.7 ms  ✓ FFTA
   3225.2 ms  ✓ Ratios → RatiosFixedPointNumbersExt
   3421.8 ms  ✓ SharedArrays
   3686.1 ms  ✓ FreeType2_jll
   4606.5 ms  ✓ ProgressMeter
   3592.0 ms  ✓ libdrm_jll
  11592.3 ms  ✓ QuadGK
   3882.5 ms  ✓ Rmath
  13871.9 ms  ✓ ChainRulesCore
  10381.0 ms  ✓ StructArrays
   4186.7 ms  ✓ XZ_jll
   3777.7 ms  ✓ CRlibm
   3405.8 ms  ✓ FillArrays → FillArraysSparseArraysExt
   4697.7 ms  ✓ WoodburyMatrices
   2816.4 ms  ✓ SuiteSparse
   3306.5 ms  ✓ Statistics → SparseArraysExt
  17123.9 ms  ✓ Accessors
   3611.9 ms  ✓ Adapt → AdaptSparseArraysExt
   2684.2 ms  ✓ Isoband
   5115.7 ms  ✓ libsixel_jll
   3114.3 ms  ✓ FilePathsBase → FilePathsBaseMmapExt
   5696.3 ms  ✓ GettextRuntime_jll
   6304.7 ms  ✓ CodecZstd
  15698.0 ms  ✓ ColorTypes
   5011.3 ms  ✓ FilePaths
  46301.5 ms  ✓ StaticArrays
   4802.2 ms  ✓ AbstractFFTs → AbstractFFTsChainRulesCoreExt
  12306.1 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   7284.4 ms  ✓ FreeType
   4881.5 ms  ✓ StructArrays → StructArraysAdaptExt
   8674.6 ms  ✓ HypergeometricFunctions
   8705.8 ms  ✓ Fontconfig_jll
  15034.6 ms  ✓ Xorg_libxcb_jll
   7400.9 ms  ✓ libvorbis_jll
  46607.9 ms  ✓ Parsers
   4121.0 ms  ✓ StructArrays → StructArraysSparseArraysExt
   3588.9 ms  ✓ StructArrays → StructArraysLinearAlgebraExt
