nice: cannot set niceness: Permission denied
Precompiling packages...
   1534.4 ms  ✓ MozillaCACerts_jll
   1529.6 ms  ✓ Zlib_jll
   1610.0 ms  ✓ Logging
   1704.5 ms  ✓ UUIDs
   1717.6 ms  ✓ NetworkOptions
   1714.8 ms  ✓ CompilerSupportLibraries_jll
   1745.4 ms  ✓ OpenSSL_jll
   1739.0 ms  ✓ nghttp2_jll
   1749.9 ms  ✓ Unicode
   1895.0 ms  ✓ Base64
    499.6 ms  ✓ LibSSH2_jll
    587.2 ms  ✓ p7zip_jll
    696.7 ms  ✓ Printf
    463.8 ms  ✓ LibGit2_jll
    462.2 ms  ✓ LibCURL_jll
   3167.4 ms  ✓ ArgTools
    770.0 ms  ✓ LibCURL
    647.3 ms  ✓ Tar
   2928.2 ms  ✓ Dates
   3105.3 ms  ✓ LibGit2
    454.7 ms  ✓ TOML
   2944.6 ms  ✓ Downloads
   9444.0 ms  ✓ StyledStrings
   1661.4 ms  ✓ JuliaSyntaxHighlighting
   3876.5 ms  ✓ Markdown
  48350.8 ms  ✓ Pkg
  26 dependencies successfully precompiled in 63 seconds
Precompiling packages...
   2459.7 ms  ✓ IteratorInterfaceExtensions
   2531.2 ms  ✓ RangeArrays
   2528.2 ms  ✓ LaTeXStrings
   2555.8 ms  ✓ PolygonOps
   2723.9 ms  ✓ StatsAPI
   2752.2 ms  ✓ TensorCore
   2942.2 ms  ✓ TriplotBase
   3000.9 ms  ✓ IntegerMathUtils
   3168.6 ms  ✓ AbstractFFTs
   3353.8 ms  ✓ IndirectArrays
   3545.7 ms  ✓ Contour
   2899.0 ms  ✓ InverseFunctions
   2927.0 ms  ✓ OpenLibm_jll
   3194.7 ms  ✓ Statistics
   5742.6 ms  ✓ FillArrays
   3217.6 ms  ✓ IterTools
   5947.0 ms  ✓ OffsetArrays
   2501.3 ms  ✓ DataValueInterfaces
   3304.1 ms  ✓ SuiteSparse_jll
   4065.0 ms  ✓ Serialization
   7746.8 ms  ✓ Format
   2506.0 ms  ✓ EnumX
   4611.2 ms  ✓ Requires
   2696.7 ms  ✓ StableRNGs
   2504.1 ms  ✓ Reexport
   2867.7 ms  ✓ RoundingEmulator
   3005.7 ms  ✓ IntervalSets
   3399.1 ms  ✓ AbstractTrees
   3582.6 ms  ✓ DocStringExtensions
   9338.3 ms  ✓ CEnum
   3140.6 ms  ✓ Mmap
   2587.5 ms  ✓ CompositionsBase
   2516.6 ms  ✓ PtrArrays
   2996.5 ms  ✓ PCRE2_jll
   3499.1 ms  ✓ TranscodingStreams
   2617.8 ms  ✓ Adapt
   2909.0 ms  ✓ Inflate
   2702.6 ms  ✓ DataAPI
   2677.4 ms  ✓ CRC32c
   2803.8 ms  ✓ StaticArraysCore
  10000.3 ms  ✓ Observables
  10220.5 ms  ✓ OrderedCollections
   2992.5 ms  ✓ MappedArrays
   2512.0 ms  ✓ OffsetArrays → OffsetArraysAdaptExt
   2792.4 ms  ✓ Scratch
   2600.8 ms  ✓ TableTraits
   7591.1 ms  ✓ AdaptivePredicates
   3801.2 ms  ✓ Preferences
   2663.8 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   3413.0 ms  ✓ Primes
   2411.9 ms  ✓ StackViews
   9524.8 ms  ✓ LazyModules
   2812.4 ms  ✓ FillArrays → FillArraysStatisticsExt
   2800.1 ms  ✓ PaddedViews
   9707.4 ms  ✓ ConstructionBase
   7173.5 ms  ✓ PkgVersion
  14909.0 ms  ✓ IrrationalConstants
   2699.3 ms  ✓ Ratios
   6699.6 ms  ✓ SignedDistanceFields
   2830.3 ms  ✓ IntervalSets → IntervalSetsRandomExt
  10714.4 ms  ✓ StructUtils
   2913.9 ms  ✓ IntervalSets → IntervalSetsStatisticsExt
   9815.0 ms  ✓ Compat
  20274.3 ms  ✓ MacroTools
   3100.2 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
  24152.1 ms  ✓ BaseDirs
   9699.2 ms  ✓ NaNMath
   3189.4 ms  ✓ RelocatableFolders
   4206.2 ms  ✓ AliasTables
   2722.7 ms  ✓ PrecompileTools
   3897.6 ms  ✓ JLLWrappers
   2710.7 ms  ✓ ConstructionBase → ConstructionBaseIntervalSetsExt
   2904.5 ms  ✓ MosaicViews
   2401.9 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2371.6 ms  ✓ StructUtils → StructUtilsStaticArraysCoreExt
   3585.9 ms  ✓ LogExpFunctions
   2594.5 ms  ✓ Compat → CompatLinearAlgebraExt
   8369.6 ms  ✓ DataStructures
   4203.0 ms  ✓ AxisArrays
   2939.9 ms  ✓ CommonSolve
   4505.1 ms  ✓ MuladdMacro
  11005.3 ms  ✓ Missings
  10933.5 ms  ✓ ComputePipeline
  13513.6 ms  ✓ InteractiveUtils
   4595.8 ms  ✓ CoreMath_jll
  19080.0 ms  ✓ FixedPointNumbers
   4584.3 ms  ✓ Graphite2_jll
  14161.6 ms  ✓ Tables
  19606.1 ms  ✓ Distributed
   4989.5 ms  ✓ Libmount_jll
   5562.5 ms  ✓ LLVMOpenMP_jll
   3887.4 ms  ✓ Xorg_libpciaccess_jll
   3805.6 ms  ✓ Rmath_jll
   4304.2 ms  ✓ Bzip2_jll
   3816.4 ms  ✓ Xorg_libXau_jll
   3798.5 ms  ✓ libpng_jll
  21267.6 ms  ✓ FileIO
   4440.2 ms  ✓ libfdk_aac_jll
   4397.8 ms  ✓ Imath_jll
   4810.0 ms  ✓ Giflib_jll
   3833.6 ms  ✓ LAME_jll
   3501.8 ms  ✓ EarCut_jll
   3702.3 ms  ✓ LERC_jll
   3597.6 ms  ✓ FreeType2_jll
   3799.6 ms  ✓ CRlibm_jll
   3834.1 ms  ✓ Ogg_jll
   4406.0 ms  ✓ XZ_jll
  26057.4 ms  ✓ SparseArrays
   3786.7 ms  ✓ Xorg_libXdmcp_jll
   3700.3 ms  ✓ x265_jll
   3402.4 ms  ✓ x264_jll
   3491.7 ms  ✓ Zstd_jll
   3786.2 ms  ✓ libaom_jll
   3491.5 ms  ✓ Opus_jll
   4195.6 ms  ✓ Expat_jll
   4007.0 ms  ✓ Xorg_xtrans_jll
   3807.5 ms  ✓ Libiconv_jll
   3691.2 ms  ✓ Libffi_jll
   3531.0 ms  ✓ isoband_jll
   2111.0 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   3713.0 ms  ✓ OpenSpecFun_jll
   4082.0 ms  ✓ FriBidi_jll
   3765.9 ms  ✓ Libuuid_jll
   3307.3 ms  ✓ OpenBLASConsistentFPCSR_jll
   3002.3 ms  ✓ SortingAlgorithms
   2740.0 ms  ✓ CoreMath
   5099.0 ms  ✓ Gamma
   6058.3 ms  ✓ FilePathsBase
   4301.9 ms  ✓ SimpleTraits
   2497.2 ms  ✓ Ratios → RatiosFixedPointNumbersExt
   5695.1 ms  ✓ FFTA
   2777.2 ms  ✓ StructUtils → StructUtilsTablesExt
   3207.7 ms  ✓ SharedArrays
   3601.2 ms  ✓ Pixman_jll
   3497.9 ms  ✓ libdrm_jll
   4399.6 ms  ✓ ProgressMeter
  10704.7 ms  ✓ QuadGK
   4321.3 ms  ✓ Rmath
