nice: cannot set niceness: Permission denied
Precompiling packages...
   1586.2 ms  ✓ OpenSSL_jll
   1558.9 ms  ✓ CompilerSupportLibraries_jll
   1566.4 ms  ✓ Logging
   1654.3 ms  ✓ MozillaCACerts_jll
   1661.2 ms  ✓ UUIDs
   1720.9 ms  ✓ Zlib_jll
   1761.6 ms  ✓ nghttp2_jll
   1769.5 ms  ✓ Unicode
   1854.6 ms  ✓ Base64
   1864.8 ms  ✓ NetworkOptions
    614.6 ms  ✓ LibSSH2_jll
    703.8 ms  ✓ p7zip_jll
    678.2 ms  ✓ Printf
    494.6 ms  ✓ LibGit2_jll
    499.7 ms  ✓ LibCURL_jll
   3436.2 ms  ✓ ArgTools
    781.8 ms  ✓ LibCURL
    651.4 ms  ✓ Tar
   2953.4 ms  ✓ Dates
   3200.5 ms  ✓ LibGit2
    465.4 ms  ✓ TOML
   3110.6 ms  ✓ Downloads
   9421.6 ms  ✓ StyledStrings
   1632.0 ms  ✓ JuliaSyntaxHighlighting
   3907.1 ms  ✓ Markdown
  47979.5 ms  ✓ Pkg
  26 dependencies successfully precompiled in 63 seconds
Precompiling packages...
   2576.0 ms  ✓ RangeArrays
   2636.4 ms  ✓ IteratorInterfaceExtensions
   2675.0 ms  ✓ StatsAPI
   2755.5 ms  ✓ TensorCore
   2771.7 ms  ✓ IndirectArrays
   2772.6 ms  ✓ LaTeXStrings
   2824.9 ms  ✓ TriplotBase
   2837.6 ms  ✓ PolygonOps
   3032.5 ms  ✓ IntegerMathUtils
   3170.2 ms  ✓ Contour
   3472.6 ms  ✓ AbstractFFTs
   5350.1 ms  ✓ FillArrays
   2738.4 ms  ✓ OpenLibm_jll
   2793.3 ms  ✓ InverseFunctions
   3092.5 ms  ✓ SuiteSparse_jll
   5857.5 ms  ✓ OffsetArrays
   2493.2 ms  ✓ DataValueInterfaces
   3206.2 ms  ✓ Statistics
   3596.2 ms  ✓ Serialization
   3598.2 ms  ✓ IterTools
   7865.0 ms  ✓ Format
   2496.0 ms  ✓ Reexport
   2670.8 ms  ✓ EnumX
   2788.4 ms  ✓ StableRNGs
   5306.5 ms  ✓ Requires
   2904.6 ms  ✓ RoundingEmulator
   3399.8 ms  ✓ DocStringExtensions
   2906.5 ms  ✓ Mmap
   3393.8 ms  ✓ IntervalSets
   9467.7 ms  ✓ CEnum
   3883.9 ms  ✓ AbstractTrees
   2583.2 ms  ✓ CompositionsBase
