nice: cannot set niceness: Permission denied
Precompiling packages...
   1564.0 ms  ✓ UUIDs
   1579.7 ms  ✓ Logging
   1660.0 ms  ✓ nghttp2_jll
   1694.9 ms  ✓ OpenSSL_jll
   1669.2 ms  ✓ MozillaCACerts_jll
   1675.7 ms  ✓ Zlib_jll
   1692.4 ms  ✓ CompilerSupportLibraries_jll
   1688.7 ms  ✓ Unicode
   1775.4 ms  ✓ NetworkOptions
   1874.2 ms  ✓ Base64
    527.5 ms  ✓ LibSSH2_jll
    614.2 ms  ✓ p7zip_jll
    729.6 ms  ✓ Printf
    483.1 ms  ✓ LibCURL_jll
    486.9 ms  ✓ LibGit2_jll
   3182.8 ms  ✓ ArgTools
    780.2 ms  ✓ LibCURL
    652.6 ms  ✓ Tar
   2995.1 ms  ✓ Dates
   3023.5 ms  ✓ LibGit2
    442.2 ms  ✓ TOML
   2995.4 ms  ✓ Downloads
   9659.2 ms  ✓ StyledStrings
   1696.9 ms  ✓ JuliaSyntaxHighlighting
   3895.7 ms  ✓ Markdown
  47771.8 ms  ✓ Pkg
  26 dependencies successfully precompiled in 63 seconds
Precompiling packages...
   2493.1 ms  ✓ RangeArrays
   2688.0 ms  ✓ IteratorInterfaceExtensions
   2689.1 ms  ✓ PolygonOps
   2690.5 ms  ✓ LaTeXStrings
   2705.4 ms  ✓ TensorCore
   2799.8 ms  ✓ StatsAPI
   2977.9 ms  ✓ TriplotBase
   2998.4 ms  ✓ IndirectArrays
   2971.4 ms  ✓ IntegerMathUtils
   3397.0 ms  ✓ Contour
   3481.9 ms  ✓ AbstractFFTs
   2496.5 ms  ✓ TableTraits
   2573.2 ms  ✓ OpenLibm_jll
   5367.4 ms  ✓ FillArrays
   2964.5 ms  ✓ InverseFunctions
   5781.4 ms  ✓ OffsetArrays
   3181.1 ms  ✓ SuiteSparse_jll
   2716.8 ms  ✓ DataValueInterfaces
   4007.0 ms  ✓ Serialization
   4099.6 ms  ✓ IterTools
   7671.9 ms  ✓ Format
   2396.4 ms  ✓ Reexport
   2800.7 ms  ✓ EnumX
   2740.3 ms  ✓ StableRNGs
   4787.1 ms  ✓ Requires
   3435.7 ms  ✓ DocStringExtensions
   9287.8 ms  ✓ CEnum
   3590.9 ms  ✓ AbstractTrees
   2895.0 ms  ✓ RoundingEmulator
   3399.8 ms  ✓ IntervalSets
   3085.5 ms  ✓ Mmap
   2517.2 ms  ✓ PtrArrays
   2811.3 ms  ✓ CompositionsBase
   3004.1 ms  ✓ PCRE2_jll
   3588.8 ms  ✓ TranscodingStreams
   2901.6 ms  ✓ Inflate
   2817.3 ms  ✓ Adapt
   2993.1 ms  ✓ DataAPI
   2793.0 ms  ✓ CRC32c
   9786.6 ms  ✓ Observables
   9997.5 ms  ✓ OrderedCollections
   2777.5 ms  ✓ StaticArraysCore
   3200.5 ms  ✓ MappedArrays
   2698.1 ms  ✓ Scratch
   7791.7 ms  ✓ AdaptivePredicates
   3189.4 ms  ✓ Statistics
   3790.0 ms  ✓ Preferences
   3822.2 ms  ✓ Primes
   2689.6 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   9492.8 ms  ✓ LazyModules
   2703.1 ms  ✓ StackViews
   2601.8 ms  ✓ PaddedViews
   9814.1 ms  ✓ ConstructionBase
  14011.0 ms  ✓ IrrationalConstants
   2516.3 ms  ✓ Ratios
   7316.7 ms  ✓ PkgVersion
  19108.3 ms  ✓ MacroTools
   3423.6 ms  ✓ IntervalSets → IntervalSetsRandomExt
   3065.8 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   4013.7 ms  ✓ AliasTables
  10193.9 ms  ✓ Compat
  23104.9 ms  ✓ BaseDirs
   3293.8 ms  ✓ OffsetArrays → OffsetArraysAdaptExt
  10291.3 ms  ✓ NaNMath
  13190.1 ms  ✓ StructUtils
   2979.1 ms  ✓ RelocatableFolders
   2589.5 ms  ✓ IntervalSets → IntervalSetsStatisticsExt
   2815.6 ms  ✓ FillArrays → FillArraysStatisticsExt
  13594.1 ms  ✓ InteractiveUtils
   2607.6 ms  ✓ PrecompileTools
   3413.8 ms  ✓ JLLWrappers
   2270.4 ms  ✓ ConstructionBase → ConstructionBaseIntervalSetsExt
   3011.9 ms  ✓ MosaicViews
   2487.6 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   6631.4 ms  ✓ SignedDistanceFields
   9073.9 ms  ✓ DataStructures
   2695.7 ms  ✓ Compat → CompatLinearAlgebraExt
   3782.6 ms  ✓ LogExpFunctions
   2626.5 ms  ✓ StructUtils → StructUtilsStaticArraysCoreExt
  10686.6 ms  ✓ Missings
   4294.4 ms  ✓ AxisArrays
   2594.1 ms  ✓ CommonSolve
   4492.9 ms  ✓ SimpleTraits
   4716.4 ms  ✓ MuladdMacro
   9611.8 ms  ✓ ComputePipeline
  17813.0 ms  ✓ Distributed
   3798.0 ms  ✓ CoreMath_jll
  13401.0 ms  ✓ Tables
   3690.7 ms  ✓ Graphite2_jll
   3821.8 ms  ✓ Libmount_jll
   3291.0 ms  ✓ LLVMOpenMP_jll
   3584.4 ms  ✓ Bzip2_jll
   3912.5 ms  ✓ Xorg_libpciaccess_jll
   4513.6 ms  ✓ Rmath_jll
   3600.5 ms  ✓ libfdk_aac_jll
   5119.4 ms  ✓ libpng_jll
   4078.4 ms  ✓ Imath_jll
  23072.3 ms  ✓ FileIO
  18983.8 ms  ✓ FixedPointNumbers
   4103.8 ms  ✓ LAME_jll
   6780.7 ms  ✓ Xorg_libXau_jll
   5323.1 ms  ✓ Giflib_jll
  26186.6 ms  ✓ SparseArrays
   4081.2 ms  ✓ LERC_jll
   3760.7 ms  ✓ EarCut_jll
   4001.0 ms  ✓ CRlibm_jll
   3409.0 ms  ✓ Ogg_jll
   4403.0 ms  ✓ JpegTurbo_jll
   3669.4 ms  ✓ Xorg_libXdmcp_jll
   3998.3 ms  ✓ x265_jll
   3586.5 ms  ✓ x264_jll
   4733.2 ms  ✓ XZ_jll
   3994.5 ms  ✓ libaom_jll
   3874.8 ms  ✓ Zstd_jll
   4083.5 ms  ✓ Expat_jll
   3368.7 ms  ✓ Xorg_xtrans_jll
   4057.2 ms  ✓ Opus_jll
   3520.0 ms  ✓ Libffi_jll
   4117.7 ms  ✓ Libiconv_jll
   3511.0 ms  ✓ isoband_jll
   3694.5 ms  ✓ OpenSpecFun_jll
   3611.4 ms  ✓ FriBidi_jll
   3614.0 ms  ✓ Libuuid_jll
   3539.8 ms  ✓ OpenBLASConsistentFPCSR_jll
