nice: cannot set niceness: Permission denied
Precompiling packages...
   1617.7 ms  ✓ UUIDs
   1617.1 ms  ✓ Logging
   1698.7 ms  ✓ nghttp2_jll
   1745.4 ms  ✓ OpenSSL_jll
   1716.5 ms  ✓ MozillaCACerts_jll
   1795.4 ms  ✓ Zlib_jll
   1808.2 ms  ✓ CompilerSupportLibraries_jll
   1818.8 ms  ✓ Unicode
   1850.4 ms  ✓ NetworkOptions
   1893.8 ms  ✓ Base64
    534.3 ms  ✓ LibSSH2_jll
    546.1 ms  ✓ p7zip_jll
    677.0 ms  ✓ Printf
    490.2 ms  ✓ LibCURL_jll
    491.9 ms  ✓ LibGit2_jll
   3301.3 ms  ✓ ArgTools
    808.0 ms  ✓ LibCURL
    638.5 ms  ✓ Tar
   2934.4 ms  ✓ Dates
    459.4 ms  ✓ TOML
   3153.6 ms  ✓ LibGit2
   2989.5 ms  ✓ Downloads
   9589.3 ms  ✓ StyledStrings
   1708.9 ms  ✓ JuliaSyntaxHighlighting
   3915.5 ms  ✓ Markdown
  48116.7 ms  ✓ Pkg
  26 dependencies successfully precompiled in 63 seconds
Precompiling packages...
   2524.1 ms  ✓ IteratorInterfaceExtensions
   2537.8 ms  ✓ PolygonOps
   2735.6 ms  ✓ LaTeXStrings
   2746.9 ms  ✓ RangeArrays
   2934.6 ms  ✓ Contour
   2951.0 ms  ✓ IndirectArrays
   3042.1 ms  ✓ TriplotBase
   3122.1 ms  ✓ StatsAPI
   3123.3 ms  ✓ IntegerMathUtils
   3239.8 ms  ✓ TensorCore
   3818.6 ms  ✓ AbstractFFTs
   5505.0 ms  ✓ FillArrays
   2892.6 ms  ✓ InverseFunctions
   3101.0 ms  ✓ OpenLibm_jll
   3030.5 ms  ✓ SuiteSparse_jll
   6039.6 ms  ✓ OffsetArrays
   3500.7 ms  ✓ Statistics
   2530.3 ms  ✓ DataValueInterfaces
   3898.0 ms  ✓ Serialization
   3709.5 ms  ✓ IterTools
   7527.3 ms  ✓ Format
   4409.7 ms  ✓ Requires
   2485.8 ms  ✓ Reexport
   2628.4 ms  ✓ EnumX
   2626.2 ms  ✓ StableRNGs
   3015.1 ms  ✓ RoundingEmulator
   3395.0 ms  ✓ AbstractTrees
   9512.5 ms  ✓ CEnum
   3477.3 ms  ✓ DocStringExtensions
   3176.9 ms  ✓ IntervalSets
   3395.0 ms  ✓ Mmap
   2698.1 ms  ✓ CompositionsBase
   2603.5 ms  ✓ PtrArrays
   2696.6 ms  ✓ PCRE2_jll
   3572.6 ms  ✓ TranscodingStreams
   2689.4 ms  ✓ DataAPI
   2799.6 ms  ✓ Inflate
   2799.0 ms  ✓ Adapt
   2394.3 ms  ✓ CRC32c
   2606.6 ms  ✓ StaticArraysCore
  10074.1 ms  ✓ Observables
  10209.1 ms  ✓ OrderedCollections
   3289.2 ms  ✓ MappedArrays
   2812.2 ms  ✓ Scratch
   2332.0 ms  ✓ TableTraits
   7463.3 ms  ✓ AdaptivePredicates
   2508.4 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   3822.3 ms  ✓ Preferences
   3290.2 ms  ✓ Primes
   2772.0 ms  ✓ StackViews
   2705.5 ms  ✓ PaddedViews
   9732.4 ms  ✓ ConstructionBase
   2915.7 ms  ✓ FillArrays → FillArraysStatisticsExt
  10111.9 ms  ✓ LazyModules
  15006.9 ms  ✓ IrrationalConstants
  19097.8 ms  ✓ MacroTools
  22430.7 ms  ✓ BaseDirs
   3201.1 ms  ✓ Ratios
   9702.3 ms  ✓ PkgVersion
  12098.9 ms  ✓ StructUtils
   3494.0 ms  ✓ IntervalSets → IntervalSetsRandomExt
   7182.0 ms  ✓ SignedDistanceFields
  10907.6 ms  ✓ Compat
   2683.3 ms  ✓ IntervalSets → IntervalSetsStatisticsExt
   2595.2 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   2619.9 ms  ✓ AliasTables
   2573.8 ms  ✓ OffsetArrays → OffsetArraysAdaptExt
  10309.4 ms  ✓ NaNMath
   2979.9 ms  ✓ RelocatableFolders
   2415.2 ms  ✓ PrecompileTools
   3271.5 ms  ✓ JLLWrappers
  14604.2 ms  ✓ InteractiveUtils
   2512.7 ms  ✓ ConstructionBase → ConstructionBaseIntervalSetsExt
   3085.8 ms  ✓ MosaicViews
   2796.9 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2574.4 ms  ✓ StructUtils → StructUtilsStaticArraysCoreExt
   2492.1 ms  ✓ Compat → CompatLinearAlgebraExt
   3401.5 ms  ✓ LogExpFunctions
   2807.2 ms  ✓ CommonSolve
   4334.4 ms  ✓ AxisArrays
   8420.1 ms  ✓ DataStructures
   9395.9 ms  ✓ Missings
   4711.0 ms  ✓ MuladdMacro
   3575.5 ms  ✓ Libmount_jll
   4097.5 ms  ✓ Graphite2_jll
   3394.4 ms  ✓ LLVMOpenMP_jll
   4290.4 ms  ✓ CoreMath_jll
  10697.7 ms  ✓ ComputePipeline
  19672.4 ms  ✓ FixedPointNumbers
   3701.5 ms  ✓ Bzip2_jll
  18621.5 ms  ✓ Distributed
  14199.7 ms  ✓ Tables
   3799.9 ms  ✓ Xorg_libpciaccess_jll
   3772.3 ms  ✓ Pixman_jll
   4001.1 ms  ✓ Xorg_libXau_jll
   4095.5 ms  ✓ libfdk_aac_jll
   3798.7 ms  ✓ Imath_jll
   3993.6 ms  ✓ Giflib_jll
   5499.8 ms  ✓ Rmath_jll
  21505.1 ms  ✓ FileIO
   4198.3 ms  ✓ LAME_jll
   5188.7 ms  ✓ LERC_jll
