nice: cannot set niceness: Permission denied
Precompiling packages...
   1462.3 ms  ✓ Zlib_jll
   1464.8 ms  ✓ Unicode
   1581.2 ms  ✓ OpenSSL_jll
   1652.7 ms  ✓ UUIDs
   1652.1 ms  ✓ Logging
   1663.5 ms  ✓ nghttp2_jll
   1748.3 ms  ✓ MozillaCACerts_jll
   1760.9 ms  ✓ NetworkOptions
   1760.3 ms  ✓ CompilerSupportLibraries_jll
   1919.7 ms  ✓ Base64
    599.3 ms  ✓ LibSSH2_jll
    890.6 ms  ✓ Printf
    612.9 ms  ✓ p7zip_jll
    509.5 ms  ✓ LibCURL_jll
    518.0 ms  ✓ LibGit2_jll
   3275.2 ms  ✓ ArgTools
    780.4 ms  ✓ LibCURL
    655.4 ms  ✓ Tar
   2961.5 ms  ✓ Dates
   3098.1 ms  ✓ LibGit2
    472.0 ms  ✓ TOML
   3014.8 ms  ✓ Downloads
   9511.4 ms  ✓ StyledStrings
   1703.9 ms  ✓ JuliaSyntaxHighlighting
   3917.0 ms  ✓ Markdown
  48098.7 ms  ✓ Pkg
  26 dependencies successfully precompiled in 63 seconds
Precompiling packages...
   2460.4 ms  ✓ IteratorInterfaceExtensions
   2486.2 ms  ✓ PolygonOps
   2578.7 ms  ✓ RangeArrays
   2579.1 ms  ✓ IndirectArrays
   2665.4 ms  ✓ TensorCore
   2676.7 ms  ✓ StatsAPI
   2754.9 ms  ✓ Contour
   2959.0 ms  ✓ LaTeXStrings
   2962.0 ms  ✓ TriplotBase
   3144.4 ms  ✓ IntegerMathUtils
   4066.3 ms  ✓ AbstractFFTs
   2599.3 ms  ✓ OpenLibm_jll
   2793.4 ms  ✓ InverseFunctions
   5555.6 ms  ✓ FillArrays
   2979.0 ms  ✓ SuiteSparse_jll
   3186.3 ms  ✓ Statistics
   5934.3 ms  ✓ OffsetArrays
   3512.7 ms  ✓ IterTools
   4107.7 ms  ✓ Serialization
   3200.5 ms  ✓ DataValueInterfaces
   4605.4 ms  ✓ Requires
   2778.2 ms  ✓ EnumX
   2388.3 ms  ✓ Reexport
   7962.9 ms  ✓ Format
   2773.7 ms  ✓ StableRNGs
   3225.6 ms  ✓ DocStringExtensions
   3314.4 ms  ✓ AbstractTrees
   2904.5 ms  ✓ RoundingEmulator
   9562.2 ms  ✓ CEnum
   3586.6 ms  ✓ IntervalSets
   3008.3 ms  ✓ Mmap
   2518.1 ms  ✓ CompositionsBase
   2520.5 ms  ✓ PtrArrays
   2612.9 ms  ✓ PCRE2_jll
   3295.3 ms  ✓ TranscodingStreams
   2979.4 ms  ✓ Inflate
   2818.7 ms  ✓ Adapt
   2713.3 ms  ✓ DataAPI
   2307.2 ms  ✓ CRC32c
   9804.6 ms  ✓ OrderedCollections
   9899.8 ms  ✓ Observables
   2972.4 ms  ✓ StaticArraysCore
   2976.3 ms  ✓ MappedArrays
   2813.3 ms  ✓ Scratch
   7098.3 ms  ✓ AdaptivePredicates
   2593.5 ms  ✓ TableTraits
   3124.3 ms  ✓ Primes
   4060.6 ms  ✓ Preferences
   2512.9 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   9395.1 ms  ✓ LazyModules
   9610.1 ms  ✓ ConstructionBase
   2818.2 ms  ✓ StackViews
   2976.0 ms  ✓ FillArrays → FillArraysStatisticsExt
   3182.6 ms  ✓ PaddedViews
   7895.0 ms  ✓ PkgVersion
  14818.1 ms  ✓ IrrationalConstants
  11401.3 ms  ✓ StructUtils
   9579.9 ms  ✓ Compat
  19615.0 ms  ✓ MacroTools
   3209.9 ms  ✓ Ratios
   9600.1 ms  ✓ NaNMath
   2728.4 ms  ✓ IntervalSets → IntervalSetsStatisticsExt
   2813.2 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
  23660.5 ms  ✓ BaseDirs
   3194.7 ms  ✓ IntervalSets → IntervalSetsRandomExt
   9239.3 ms  ✓ SignedDistanceFields
   2808.4 ms  ✓ OffsetArrays → OffsetArraysAdaptExt
   3203.7 ms  ✓ AliasTables
   2824.4 ms  ✓ RelocatableFolders
   2523.7 ms  ✓ PrecompileTools
   3187.5 ms  ✓ JLLWrappers
   2487.6 ms  ✓ ConstructionBase → ConstructionBaseIntervalSetsExt
  14678.9 ms  ✓ InteractiveUtils
   2710.2 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   3086.8 ms  ✓ MosaicViews
   2861.6 ms  ✓ StructUtils → StructUtilsStaticArraysCoreExt
   2612.6 ms  ✓ Compat → CompatLinearAlgebraExt
   3692.1 ms  ✓ LogExpFunctions
   2614.4 ms  ✓ CommonSolve
   4001.1 ms  ✓ AxisArrays
   8813.1 ms  ✓ DataStructures
   4793.2 ms  ✓ MuladdMacro
  10296.0 ms  ✓ Missings
  10801.7 ms  ✓ ComputePipeline
   3716.2 ms  ✓ Graphite2_jll
   3887.2 ms  ✓ Libmount_jll
   5090.3 ms  ✓ CoreMath_jll
  17790.8 ms  ✓ Distributed
  12784.1 ms  ✓ Tables
  20798.9 ms  ✓ FixedPointNumbers
   4608.1 ms  ✓ LLVMOpenMP_jll
   3996.5 ms  ✓ Bzip2_jll
   4082.1 ms  ✓ Rmath_jll
   3598.2 ms  ✓ Xorg_libXau_jll
   4906.0 ms  ✓ Xorg_libpciaccess_jll
   3404.0 ms  ✓ libfdk_aac_jll
   3599.8 ms  ✓ libpng_jll
   3404.1 ms  ✓ Imath_jll
   3311.0 ms  ✓ Giflib_jll
   3719.8 ms  ✓ LAME_jll
   3795.0 ms  ✓ LERC_jll
  21214.4 ms  ✓ FileIO
   4102.6 ms  ✓ EarCut_jll
   4092.4 ms  ✓ CRlibm_jll
   3607.3 ms  ✓ Ogg_jll
   3910.5 ms  ✓ Xorg_libXdmcp_jll
   4113.2 ms  ✓ JpegTurbo_jll
   4286.5 ms  ✓ XZ_jll
   3796.5 ms  ✓ x264_jll
   3711.9 ms  ✓ libaom_jll
   4675.5 ms  ✓ OpenEXR_jll
   3691.1 ms  ✓ Zstd_jll
   3604.8 ms  ✓ Opus_jll
   3998.8 ms  ✓ Expat_jll
   3580.5 ms  ✓ Libiconv_jll
   3398.6 ms  ✓ isoband_jll
   3778.2 ms  ✓ Libffi_jll
   3494.9 ms  ✓ OpenSpecFun_jll
   4404.5 ms  ✓ Xorg_xtrans_jll
   3517.2 ms  ✓ FriBidi_jll
  28703.7 ms  ✓ SparseArrays
   3818.5 ms  ✓ Libuuid_jll
   4204.5 ms  ✓ OpenBLASConsistentFPCSR_jll
   2379.4 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   3069.8 ms  ✓ SortingAlgorithms
   4211.8 ms  ✓ SimpleTraits
   2679.9 ms  ✓ CoreMath
   5976.6 ms  ✓ FilePathsBase
   2418.1 ms  ✓ StructUtils → StructUtilsTablesExt
   6160.7 ms  ✓ Gamma
   5799.0 ms  ✓ FFTA
   4217.2 ms  ✓ SharedArrays
   4604.6 ms  ✓ ProgressMeter
   2402.3 ms  ✓ Ratios → RatiosFixedPointNumbersExt
   3730.8 ms  ✓ Pixman_jll
   4103.1 ms  ✓ FreeType2_jll
   4184.5 ms  ✓ Rmath
  11575.4 ms  ✓ QuadGK
