nice: cannot set niceness: Permission denied
Precompiling packages...
   1528.9 ms  ✓ nghttp2_jll
   1613.5 ms  ✓ Logging
   1631.6 ms  ✓ UUIDs
   1641.2 ms  ✓ CompilerSupportLibraries_jll
   1708.4 ms  ✓ MozillaCACerts_jll
   1731.8 ms  ✓ Unicode
   1765.1 ms  ✓ OpenSSL_jll
   1819.3 ms  ✓ Zlib_jll
   1853.5 ms  ✓ NetworkOptions
   1849.9 ms  ✓ Base64
    520.1 ms  ✓ LibSSH2_jll
    633.1 ms  ✓ p7zip_jll
    712.6 ms  ✓ Printf
    494.5 ms  ✓ LibGit2_jll
    499.4 ms  ✓ LibCURL_jll
   3341.2 ms  ✓ ArgTools
    777.3 ms  ✓ LibCURL
    644.0 ms  ✓ Tar
   2969.8 ms  ✓ Dates
   3069.4 ms  ✓ LibGit2
    453.4 ms  ✓ TOML
   2998.7 ms  ✓ Downloads
   9445.1 ms  ✓ StyledStrings
   1656.5 ms  ✓ JuliaSyntaxHighlighting
   3936.6 ms  ✓ Markdown
  48528.3 ms  ✓ Pkg
  26 dependencies successfully precompiled in 64 seconds
Precompiling packages...
   2484.1 ms  ✓ PolygonOps
   2507.2 ms  ✓ RangeArrays
   2591.8 ms  ✓ IndirectArrays
   2605.5 ms  ✓ IteratorInterfaceExtensions
   2665.5 ms  ✓ Contour
   2693.9 ms  ✓ LaTeXStrings
   2695.6 ms  ✓ TensorCore
   2782.7 ms  ✓ StatsAPI
   2959.3 ms  ✓ TriplotBase
   3311.3 ms  ✓ AbstractFFTs
   3577.1 ms  ✓ IntegerMathUtils
   5283.2 ms  ✓ FillArrays
   2818.0 ms  ✓ InverseFunctions
   2820.4 ms  ✓ SuiteSparse_jll
   3192.3 ms  ✓ Statistics
   5792.1 ms  ✓ OffsetArrays
   3198.3 ms  ✓ IterTools
   3395.5 ms  ✓ OpenLibm_jll
   3612.2 ms  ✓ Serialization
   2790.3 ms  ✓ DataValueInterfaces
   2498.5 ms  ✓ EnumX
   2289.0 ms  ✓ Reexport
   4520.9 ms  ✓ Requires
   7981.4 ms  ✓ Format
   2599.7 ms  ✓ StableRNGs
   3092.1 ms  ✓ IntervalSets
   3102.9 ms  ✓ RoundingEmulator
   3703.8 ms  ✓ DocStringExtensions
   3604.1 ms  ✓ Mmap
  10100.1 ms  ✓ CEnum
   2412.8 ms  ✓ CompositionsBase
   2493.5 ms  ✓ PtrArrays
   2499.4 ms  ✓ PCRE2_jll
   3491.7 ms  ✓ TranscodingStreams
