nice: cannot set niceness: Permission denied
Precompiling packages...
   2105.2 ms  ✓ RangeArrays
   2037.5 ms  ✓ IteratorInterfaceExtensions
   2033.3 ms  ✓ CEnum
   2044.8 ms  ✓ IndirectArrays
   2011.1 ms  ✓ IntegerMathUtils
   2048.6 ms  ✓ StatsAPI
   2060.8 ms  ✓ PolygonOps
   2135.6 ms  ✓ TensorCore
   2148.4 ms  ✓ LaTeXStrings
   2234.4 ms  ✓ Contour
   2237.1 ms  ✓ TriplotBase
   2847.9 ms  ✓ AbstractFFTs
   1800.6 ms  ✓ TableTraits
   2124.4 ms  ✓ OpenLibm_jll
   2303.8 ms  ✓ InverseFunctions
   2309.0 ms  ✓ CompilerSupportLibraries_jll
   2319.6 ms  ✓ SuiteSparse_jll
   4462.9 ms  ✓ OffsetArrays
   4521.7 ms  ✓ FillArrays
   2704.2 ms  ✓ PkgVersion
   2792.5 ms  ✓ IterTools
   2689.0 ms  ✓ Compat
   5217.0 ms  ✓ Format
   3313.0 ms  ✓ Preferences
   2717.3 ms  ✓ OrderedCollections
   1918.9 ms  ✓ DataValueInterfaces
   1880.8 ms  ✓ Reexport
   1997.2 ms  ✓ EnumX
   2602.8 ms  ✓ Observables
   2010.2 ms  ✓ Zlib_jll
   2381.3 ms  ✓ Requires
   2595.7 ms  ✓ DocStringExtensions
   1694.4 ms  ✓ CompositionsBase
   2592.7 ms  ✓ AbstractTrees
   1874.2 ms  ✓ PtrArrays
   2585.5 ms  ✓ IntervalSets
   2399.9 ms  ✓ RoundingEmulator
   2010.2 ms  ✓ PCRE2_jll
   2507.0 ms  ✓ LazyModules
   2714.1 ms  ✓ TranscodingStreams
   2912.4 ms  ✓ Inflate
   2394.9 ms  ✓ ConstructionBase
   2506.7 ms  ✓ Adapt
   2388.3 ms  ✓ DataAPI
   2214.7 ms  ✓ Scratch
   5016.4 ms  ✓ IrrationalConstants
   2215.4 ms  ✓ StaticArraysCore
   7919.0 ms  ✓ Distributed
   2198.9 ms  ✓ MappedArrays
   4797.2 ms  ✓ UnicodeFun
   2011.3 ms  ✓ OffsetArrays → OffsetArraysAdaptExt
   2205.2 ms  ✓ StackViews
   2974.4 ms  ✓ Primes
   2703.8 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   2479.6 ms  ✓ Compat → CompatLinearAlgebraExt
   2994.0 ms  ✓ LogExpFunctions
   6494.2 ms  ✓ AdaptivePredicates
   3474.9 ms  ✓ NaNMath
  10800.5 ms  ✓ MacroTools
   3099.1 ms  ✓ PrecompileTools
  13242.2 ms  ✓ BaseDirs
   4202.8 ms  ✓ StructUtils
   2175.9 ms  ✓ Ratios
   2115.2 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   3186.9 ms  ✓ ComputePipeline
   2300.8 ms  ✓ AliasTables
   1804.6 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2403.2 ms  ✓ IntervalSets → IntervalSetsRandomExt
   2099.8 ms  ✓ ConstructionBase → ConstructionBaseIntervalSetsExt
   2107.5 ms  ✓ Missings
   2075.4 ms  ✓ PaddedViews
   2001.4 ms  ✓ RelocatableFolders
   2309.2 ms  ✓ JLLWrappers
   2411.8 ms  ✓ SharedArrays
   1993.3 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   3112.6 ms  ✓ FilePathsBase
   2204.7 ms  ✓ CommonSolve
   3388.4 ms  ✓ ProgressMeter
   4901.2 ms  ✓ Tables
   7294.8 ms  ✓ DataStructures
   3002.6 ms  ✓ SimpleTraits
   3099.8 ms  ✓ MuladdMacro
   2084.4 ms  ✓ StructUtils → StructUtilsStaticArraysCoreExt
   2097.2 ms  ✓ MosaicViews
   5389.3 ms  ✓ ChainRulesCore
