nice: cannot set niceness: Permission denied
Precompiling packages...
   1941.5 ms  ✓ IteratorInterfaceExtensions
   2018.3 ms  ✓ PolygonOps
   2042.0 ms  ✓ IndirectArrays
   2042.0 ms  ✓ StatsAPI
   2039.5 ms  ✓ CEnum
   2199.1 ms  ✓ RangeArrays
   2046.3 ms  ✓ Contour
   2139.3 ms  ✓ LaTeXStrings
   2245.2 ms  ✓ TensorCore
   2416.3 ms  ✓ TriplotBase
   2513.2 ms  ✓ IntegerMathUtils
   2949.0 ms  ✓ AbstractFFTs
   2110.0 ms  ✓ InverseFunctions
   2206.2 ms  ✓ OpenLibm_jll
   2481.2 ms  ✓ CompilerSupportLibraries_jll
   2395.4 ms  ✓ SuiteSparse_jll
   4598.8 ms  ✓ FillArrays
   2573.2 ms  ✓ IterTools
   4795.3 ms  ✓ OffsetArrays
   2871.0 ms  ✓ PkgVersion
   2561.2 ms  ✓ Compat
   5397.6 ms  ✓ Format
   3009.5 ms  ✓ Preferences
   2585.4 ms  ✓ OrderedCollections
   3597.9 ms  ✓ StructUtils
   1902.3 ms  ✓ DataValueInterfaces
   1819.0 ms  ✓ Reexport
   2370.7 ms  ✓ Observables
   1993.2 ms  ✓ EnumX
   1902.1 ms  ✓ Zlib_jll
   2397.6 ms  ✓ Requires
   2426.2 ms  ✓ AbstractTrees
   1787.1 ms  ✓ PtrArrays
   2843.3 ms  ✓ DocStringExtensions
   2206.3 ms  ✓ CompositionsBase
   2389.7 ms  ✓ IntervalSets
   2487.1 ms  ✓ RoundingEmulator
   1790.9 ms  ✓ PCRE2_jll
   2498.3 ms  ✓ LazyModules
   2501.1 ms  ✓ Inflate
   7371.9 ms  ✓ Distributed
   2309.7 ms  ✓ Adapt
   3235.1 ms  ✓ TranscodingStreams
   2385.0 ms  ✓ ConstructionBase
   2222.6 ms  ✓ Scratch
   2496.1 ms  ✓ DataAPI
   5438.2 ms  ✓ IrrationalConstants
   2467.4 ms  ✓ MappedArrays
   2988.0 ms  ✓ StaticArraysCore
   4615.4 ms  ✓ UnicodeFun
   2506.7 ms  ✓ TableTraits
   2008.6 ms  ✓ NaNMath
   2409.7 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   9786.5 ms  ✓ MacroTools
   3000.2 ms  ✓ Primes
   2501.9 ms  ✓ OffsetArrays → OffsetArraysAdaptExt
   2379.4 ms  ✓ PaddedViews
  12707.4 ms  ✓ BaseDirs
   2703.9 ms  ✓ Compat → CompatLinearAlgebraExt
   2383.9 ms  ✓ JLLWrappers
   2529.8 ms  ✓ PrecompileTools
   1998.7 ms  ✓ Ratios
   7291.3 ms  ✓ AdaptivePredicates
   1811.3 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   1886.7 ms  ✓ IntervalSets → IntervalSetsRandomExt
   2219.3 ms  ✓ AliasTables
   3382.0 ms  ✓ ComputePipeline
   2386.2 ms  ✓ SharedArrays
   1793.5 ms  ✓ ConstructionBase → ConstructionBaseIntervalSetsExt
   1922.9 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2232.5 ms  ✓ StackViews
   1807.6 ms  ✓ RelocatableFolders
   2108.9 ms  ✓ Missings
