Precompiling Pkg...
   1375.0 ms  ✓ UUIDs
   1375.7 ms  ✓ Unicode
   1375.4 ms  ✓ MbedTLS_jll
   1373.8 ms  ✓ Zlib_jll
   1535.1 ms  ✓ NetworkOptions
   1483.3 ms  ✓ Logging
   1498.8 ms  ✓ MozillaCACerts_jll
   1591.6 ms  ✓ nghttp2_jll
   1603.6 ms  ✓ p7zip_jll
   1664.3 ms  ✓ Base64
    580.5 ms  ✓ LibSSH2_jll
    669.8 ms  ✓ Printf
   2468.1 ms  ✓ ArgTools
    588.4 ms  ✓ LibCURL_jll
    619.2 ms  ✓ LibGit2_jll
    703.0 ms  ✓ Tar
    656.0 ms  ✓ LibCURL
   2502.3 ms  ✓ Dates
   2978.3 ms  ✓ Markdown
   2383.0 ms  ✓ LibGit2
    485.4 ms  ✓ TOML
   2919.9 ms  ✓ Downloads
  38758.7 ms  ✓ Pkg
  23 dependencies successfully precompiled in 45 seconds
Precompiling project...
   2594.7 ms  ✓ RangeArrays
   2680.7 ms  ✓ IteratorInterfaceExtensions
   2783.6 ms  ✓ TriplotBase
   2800.2 ms  ✓ LaTeXStrings
   2799.3 ms  ✓ IndirectArrays
   2803.8 ms  ✓ StatsAPI
   2802.3 ms  ✓ CEnum
   2881.1 ms  ✓ Contour
   3083.5 ms  ✓ TensorCore
   3495.0 ms  ✓ PolygonOps
   3595.7 ms  ✓ GeoFormatTypes
   3704.1 ms  ✓ AbstractFFTs
   3988.8 ms  ✓ Serialization
   5188.7 ms  ✓ FillArrays
   3208.5 ms  ✓ InverseFunctions
   5894.7 ms  ✓ OffsetArrays
   3387.6 ms  ✓ OpenLibm_jll
   3377.9 ms  ✓ SuiteSparse_jll
   3491.3 ms  ✓ CompilerSupportLibraries_jll
   3213.8 ms  ✓ Observables
   3414.1 ms  ✓ OrderedCollections
   2708.6 ms  ✓ DataValueInterfaces
   3694.1 ms  ✓ IterTools
   2798.6 ms  ✓ EnumX
   3796.2 ms  ✓ Statistics
   6968.3 ms  ✓ Format
   3604.1 ms  ✓ Requires
   4920.8 ms  ✓ Grisu
   2701.8 ms  ✓ Reexport
   3484.7 ms  ✓ StableRNGs
   2794.4 ms  ✓ PtrArrays
   3503.7 ms  ✓ AbstractTrees
   3187.8 ms  ✓ Extents
   3293.4 ms  ✓ Mmap
   3103.4 ms  ✓ PCRE2_jll
   2624.2 ms  ✓ LazyModules
   3416.6 ms  ✓ IntervalSets
   3505.2 ms  ✓ RoundingEmulator
   3804.6 ms  ✓ TranscodingStreams
   3402.6 ms  ✓ Inflate
   3291.8 ms  ✓ ConstructionBase
   5224.8 ms  ✓ IrrationalConstants
   2700.2 ms  ✓ CRC32c
   2793.3 ms  ✓ DataAPI
   2800.7 ms  ✓ StaticArraysCore
   3095.4 ms  ✓ MappedArrays
   3193.3 ms  ✓ Scratch
   3608.5 ms  ✓ Compat
   3083.4 ms  ✓ TableTraits
   4394.6 ms  ✓ Preferences
   3877.7 ms  ✓ DocStringExtensions
   2989.2 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   3212.9 ms  ✓ NaNMath
   8011.8 ms  ✓ AdaptivePredicates
   2986.8 ms  ✓ FillArrays → FillArraysStatisticsExt
   2895.3 ms  ✓ Ratios
   3015.8 ms  ✓ Adapt
   3077.6 ms  ✓ Showoff
   3199.6 ms  ✓ AliasTables
   2802.5 ms  ✓ IntervalSets → IntervalSetsRandomExt
   7489.4 ms  ✓ InteractiveUtils
   2994.4 ms  ✓ IntervalSets → IntervalSetsStatisticsExt
   2699.3 ms  ✓ ConstructionBase → ConstructionBaseIntervalSetsExt
   2896.1 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   3198.1 ms  ✓ Missings
   2899.6 ms  ✓ RelocatableFolders
   2784.8 ms  ✓ Compat → CompatLinearAlgebraExt
   5790.0 ms  ✓ GeoInterface
   2714.8 ms  ✓ OffsetArrays → OffsetArraysAdaptExt
   3204.3 ms  ✓ JLLWrappers
   3014.6 ms  ✓ PrecompileTools
   9899.2 ms  ✓ Distributed
   4609.6 ms  ✓ Tables
   4807.9 ms  ✓ LogExpFunctions
  12492.6 ms  ✓ MacroTools
   5390.1 ms  ✓ AxisArrays
   2998.1 ms  ✓ StackViews
   3704.0 ms  ✓ PaddedViews
   3701.1 ms  ✓ Libmount_jll
   3799.1 ms  ✓ OpenSSL_jll
   3900.9 ms  ✓ Rmath_jll
   4107.1 ms  ✓ LLVMOpenMP_jll
   3404.4 ms  ✓ Xorg_libXau_jll
   7006.8 ms  ✓ ChainRulesCore
   7095.1 ms  ✓ FilePathsBase
   3711.3 ms  ✓ libpng_jll
   3597.4 ms  ✓ libfdk_aac_jll
   3897.5 ms  ✓ Imath_jll
   8495.1 ms  ✓ DataStructures
   3890.5 ms  ✓ oneTBB_jll
   4012.8 ms  ✓ LAME_jll
   4004.1 ms  ✓ JpegTurbo_jll
   3712.0 ms  ✓ Xorg_libXdmcp_jll
   3886.5 ms  ✓ x265_jll
   3887.1 ms  ✓ x264_jll
   3716.0 ms  ✓ Expat_jll
  18099.9 ms  ✓ SparseArrays
   3803.7 ms  ✓ LZO_jll
   4105.3 ms  ✓ libaom_jll
   3891.9 ms  ✓ Opus_jll
   3687.0 ms  ✓ Xorg_xtrans_jll
   3612.3 ms  ✓ Libiconv_jll
   3592.6 ms  ✓ Xorg_libpthread_stubs_jll
   3619.0 ms  ✓ Libgpg_error_jll
   3792.1 ms  ✓ Libuuid_jll
   4073.2 ms  ✓ FriBidi_jll
   4206.7 ms  ✓ SharedArrays
   3090.9 ms  ✓ AbstractFFTs → AbstractFFTsChainRulesCoreExt
   5076.4 ms  ✓ ProgressMeter
   4514.1 ms  ✓ SimpleTraits
   4597.7 ms  ✓ MosaicViews
   5482.4 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   3986.0 ms  ✓ Pixman_jll
   4800.2 ms  ✓ Rmath
  18687.4 ms  ✓ Test
   3925.6 ms  ✓ FilePathsBase → FilePathsBaseMmapExt
   3506.4 ms  ✓ SortingAlgorithms
   4583.6 ms  ✓ OpenEXR_jll
   3420.2 ms  ✓ SuiteSparse
   3526.9 ms  ✓ Statistics → SparseArraysExt
   4000.9 ms  ✓ WoodburyMatrices
   3898.5 ms  ✓ FillArrays → FillArraysSparseArraysExt
   3698.5 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   4007.4 ms  ✓ XML2_jll
   8792.5 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   5808.6 ms  ✓ QuadGK
   3900.2 ms  ✓ Libgcrypt_jll
