Precompiling Pkg...
   1754.5 ms  ✓ nghttp2_jll
   1762.2 ms  ✓ Logging
   1758.4 ms  ✓ Unicode
   1754.1 ms  ✓ Zlib_jll
   1930.1 ms  ✓ NetworkOptions
   1842.0 ms  ✓ MozillaCACerts_jll
   1833.2 ms  ✓ Base64
   1844.7 ms  ✓ UUIDs
   1838.0 ms  ✓ MbedTLS_jll
   1851.3 ms  ✓ p7zip_jll
    512.9 ms  ✓ LibSSH2_jll
    686.1 ms  ✓ Printf
   2889.4 ms  ✓ ArgTools
    726.3 ms  ✓ LibCURL_jll
    754.3 ms  ✓ LibGit2_jll
    809.0 ms  ✓ Tar
    750.0 ms  ✓ LibCURL
   3149.9 ms  ✓ Markdown
   2825.4 ms  ✓ Dates
   2548.2 ms  ✓ LibGit2
    545.0 ms  ✓ TOML
   3285.9 ms  ✓ Downloads
  47259.6 ms  ✓ Pkg
  23 dependencies successfully precompiled in 55 seconds
Precompiling project...
   2371.2 ms  ✓ IteratorInterfaceExtensions
   2459.5 ms  ✓ LaTeXStrings
   2475.3 ms  ✓ GeoFormatTypes
   2567.7 ms  ✓ StatsAPI
   2566.2 ms  ✓ Contour
   2653.2 ms  ✓ PolygonOps
   2745.9 ms  ✓ TensorCore
   2967.9 ms  ✓ TriplotBase
   3357.7 ms  ✓ AbstractFFTs
   3856.5 ms  ✓ IndirectArrays
   3863.8 ms  ✓ CEnum
   4063.1 ms  ✓ RangeArrays
   2700.4 ms  ✓ OpenLibm_jll
   5142.0 ms  ✓ FillArrays
   2896.3 ms  ✓ InverseFunctions
   5454.1 ms  ✓ Serialization
   3087.9 ms  ✓ Statistics
   2999.2 ms  ✓ SuiteSparse_jll
   3203.9 ms  ✓ CompilerSupportLibraries_jll
   5957.2 ms  ✓ OffsetArrays
   3590.1 ms  ✓ IterTools
   2913.7 ms  ✓ Observables
   6362.0 ms  ✓ Format
   3471.1 ms  ✓ OrderedCollections
   3100.8 ms  ✓ EnumX
   3790.3 ms  ✓ DataValueInterfaces
   4201.3 ms  ✓ Requires
   5632.3 ms  ✓ Grisu
   3317.9 ms  ✓ StableRNGs
   2389.3 ms  ✓ PtrArrays
   3006.3 ms  ✓ IntervalSets
   3413.6 ms  ✓ Reexport
   3494.9 ms  ✓ AbstractTrees
   2889.2 ms  ✓ Extents
   3371.8 ms  ✓ RoundingEmulator
   3193.4 ms  ✓ Mmap
   3588.1 ms  ✓ PCRE2_jll
   4004.9 ms  ✓ TranscodingStreams
   2802.7 ms  ✓ LazyModules
   2483.3 ms  ✓ DataAPI
   2516.8 ms  ✓ CRC32c
   3187.1 ms  ✓ Inflate
   5714.9 ms  ✓ IrrationalConstants
   2689.8 ms  ✓ MappedArrays
   3797.9 ms  ✓ ConstructionBase
   3193.0 ms  ✓ Scratch
   3692.4 ms  ✓ AliasTables
   2616.0 ms  ✓ TableTraits
   3324.7 ms  ✓ Compat
   3386.6 ms  ✓ DocStringExtensions
   2813.0 ms  ✓ NaNMath
   3011.8 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   6622.8 ms  ✓ AdaptivePredicates
   2896.4 ms  ✓ FillArrays → FillArraysStatisticsExt
   5012.5 ms  ✓ Preferences
   3116.8 ms  ✓ Ratios
   3800.0 ms  ✓ Adapt
   2587.1 ms  ✓ StaticArraysCore
   2796.8 ms  ✓ Showoff
   2714.1 ms  ✓ IntervalSets → IntervalSetsRandomExt
   2522.2 ms  ✓ IntervalSets → IntervalSetsStatisticsExt
   2913.4 ms  ✓ ConstructionBase → ConstructionBaseIntervalSetsExt
   2901.7 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   4078.4 ms  ✓ Missings
   2503.7 ms  ✓ Compat → CompatLinearAlgebraExt
  10104.1 ms  ✓ InteractiveUtils
   5284.8 ms  ✓ GeoInterface
   4589.3 ms  ✓ RelocatableFolders
   2897.7 ms  ✓ OffsetArrays → OffsetArraysAdaptExt
  11321.1 ms  ✓ MacroTools
   4181.1 ms  ✓ LogExpFunctions
   4081.5 ms  ✓ JLLWrappers
   9589.8 ms  ✓ Distributed
   4480.0 ms  ✓ PrecompileTools
   5186.2 ms  ✓ Tables
   4567.9 ms  ✓ AxisArrays
   2983.8 ms  ✓ StackViews
   3198.7 ms  ✓ PaddedViews
   3329.7 ms  ✓ OpenSSL_jll
   3182.6 ms  ✓ Libmount_jll
   3904.9 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   3710.9 ms  ✓ LLVMOpenMP_jll
   4692.8 ms  ✓ SimpleTraits
   4122.6 ms  ✓ Rmath_jll
   6709.3 ms  ✓ FilePathsBase
   3405.4 ms  ✓ Xorg_libXau_jll
   7870.5 ms  ✓ ChainRulesCore
   3502.1 ms  ✓ libfdk_aac_jll
   4125.1 ms  ✓ libpng_jll
   3723.1 ms  ✓ Giflib_jll
   4078.9 ms  ✓ Imath_jll
   9095.8 ms  ✓ DataStructures
   4191.0 ms  ✓ LAME_jll
   3884.9 ms  ✓ JpegTurbo_jll
   4376.9 ms  ✓ LERC_jll
   3907.9 ms  ✓ XZ_jll
   3903.2 ms  ✓ oneTBB_jll
   3193.1 ms  ✓ x264_jll
   4225.7 ms  ✓ Xorg_libXdmcp_jll
  18188.4 ms  ✓ SparseArrays
   3922.1 ms  ✓ x265_jll
   3881.7 ms  ✓ libaom_jll
   3108.1 ms  ✓ Opus_jll
   4384.7 ms  ✓ Zstd_jll
   3812.0 ms  ✓ LZO_jll
   4191.3 ms  ✓ Expat_jll
   3267.9 ms  ✓ Libgpg_error_jll
   3605.4 ms  ✓ Xorg_xtrans_jll
   3626.8 ms  ✓ Libiconv_jll
   3383.0 ms  ✓ Xorg_libpthread_stubs_jll
   4068.8 ms  ✓ FriBidi_jll
   5176.7 ms  ✓ Libuuid_jll
   2777.8 ms  ✓ AbstractFFTs → AbstractFFTsChainRulesCoreExt
   4895.6 ms  ✓ ProgressMeter
   3688.8 ms  ✓ MosaicViews
   6179.2 ms  ✓ SharedArrays
   4218.5 ms  ✓ Rmath
  17614.6 ms  ✓ Test
   5214.3 ms  ✓ Pixman_jll
   5205.7 ms  ✓ FilePathsBase → FilePathsBaseMmapExt
