Precompiling Pkg...
   1124.8 ms  ✓ Logging
   1191.0 ms  ✓ UUIDs
   1420.1 ms  ✓ MozillaCACerts_jll
   1401.0 ms  ✓ Unicode
   1478.3 ms  ✓ p7zip_jll
   1575.3 ms  ✓ nghttp2_jll
   1546.8 ms  ✓ Base64
   1696.2 ms  ✓ NetworkOptions
   1695.5 ms  ✓ MbedTLS_jll
   1737.0 ms  ✓ Zlib_jll
    811.2 ms  ✓ Printf
    675.0 ms  ✓ LibSSH2_jll
    739.4 ms  ✓ LibGit2_jll
    803.3 ms  ✓ LibCURL_jll
   3347.0 ms  ✓ ArgTools
   1041.2 ms  ✓ LibCURL
   1120.7 ms  ✓ Tar
   3896.5 ms  ✓ Dates
   5092.1 ms  ✓ Markdown
   3854.9 ms  ✓ LibGit2
    900.2 ms  ✓ TOML
   5088.9 ms  ✓ Downloads
  74987.9 ms  ✓ Pkg
  23 dependencies successfully precompiled in 85 seconds
Precompiling project...
   1638.4 ms  ✓ IteratorInterfaceExtensions
   1688.2 ms  ✓ PolygonOps
   1697.0 ms  ✓ IndirectArrays
   1709.4 ms  ✓ RangeArrays
   1794.7 ms  ✓ Contour
   1934.3 ms  ✓ StatsAPI
   1985.3 ms  ✓ LaTeXStrings
   2117.8 ms  ✓ TensorCore
   2640.8 ms  ✓ AbstractFFTs
   2618.3 ms  ✓ CEnum
   3276.0 ms  ✓ TriplotBase
   3441.6 ms  ✓ GeoFormatTypes
   3673.0 ms  ✓ Serialization
   2192.9 ms  ✓ InverseFunctions
   2613.3 ms  ✓ OpenLibm_jll
   2580.1 ms  ✓ Statistics
   2825.4 ms  ✓ CompilerSupportLibraries_jll
   2523.8 ms  ✓ OrderedCollections
   2795.6 ms  ✓ SuiteSparse_jll
   4688.9 ms  ✓ FillArrays
   3038.9 ms  ✓ IterTools
   2843.9 ms  ✓ Requires
   5513.0 ms  ✓ OffsetArrays
   2218.3 ms  ✓ EnumX
   3051.9 ms  ✓ Observables
   5638.4 ms  ✓ Format
   2446.5 ms  ✓ DataValueInterfaces
   2103.6 ms  ✓ Reexport
   2667.0 ms  ✓ StableRNGs
   5029.5 ms  ✓ Grisu
   2501.8 ms  ✓ IntervalSets
   2946.5 ms  ✓ AbstractTrees
   1869.7 ms  ✓ PtrArrays
   2025.2 ms  ✓ PCRE2_jll
   2978.0 ms  ✓ RoundingEmulator
   2867.9 ms  ✓ Extents
   3105.7 ms  ✓ Mmap
   2100.9 ms  ✓ Inflate
   1799.8 ms  ✓ DataAPI
   3027.9 ms  ✓ LazyModules
   1816.5 ms  ✓ CRC32c
   4392.4 ms  ✓ IrrationalConstants
   2686.7 ms  ✓ ConstructionBase
   2408.0 ms  ✓ MappedArrays
   3677.3 ms  ✓ StaticArraysCore
   5151.9 ms  ✓ TranscodingStreams
   3387.3 ms  ✓ Scratch
   3097.7 ms  ✓ Compat
   2016.7 ms  ✓ TableTraits
   2803.4 ms  ✓ DocStringExtensions
   4210.1 ms  ✓ Preferences
   6848.3 ms  ✓ AdaptivePredicates
   3402.9 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   2315.1 ms  ✓ NaNMath
   2185.3 ms  ✓ FillArrays → FillArraysStatisticsExt
   2292.6 ms  ✓ Adapt
   2855.4 ms  ✓ RelocatableFolders
   6415.3 ms  ✓ InteractiveUtils
   5707.7 ms  ✓ LazyArtifacts
   2199.1 ms  ✓ StackViews
   1985.2 ms  ✓ PaddedViews
   2205.7 ms  ✓ Showoff
   2687.6 ms  ✓ IntervalSets → IntervalSetsRandomExt
   2426.9 ms  ✓ IntervalSets → IntervalSetsStatisticsExt
   2024.6 ms  ✓ Missings
   7755.4 ms  ✓ PkgVersion
   2030.0 ms  ✓ ConstructionBase → ConstructionBaseIntervalSetsExt
   2374.1 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   3696.4 ms  ✓ AliasTables
   2309.6 ms  ✓ Compat → CompatLinearAlgebraExt
   2180.6 ms  ✓ Ratios
   9402.7 ms  ✓ Distributed
   2906.3 ms  ✓ JLLWrappers
   3128.2 ms  ✓ LogExpFunctions
   2912.8 ms  ✓ PrecompileTools
   2799.8 ms  ✓ OffsetArrays → OffsetArraysAdaptExt
  12524.3 ms  ✓ MacroTools
   4873.2 ms  ✓ Tables
   6599.8 ms  ✓ GeoInterface
   3799.5 ms  ✓ MosaicViews
  11688.3 ms  ✓ FixedPointNumbers
   4806.6 ms  ✓ AxisArrays
   2609.1 ms  ✓ Graphite2_jll
   3685.7 ms  ✓ SharedArrays
   3107.2 ms  ✓ OpenSSL_jll
   3168.5 ms  ✓ Libmount_jll
   5508.9 ms  ✓ FilePathsBase
   2804.4 ms  ✓ LLVMOpenMP_jll
