Precompiling Pkg...
   1467.7 ms  ✓ Unicode
   1696.9 ms  ✓ MozillaCACerts_jll
   1778.9 ms  ✓ MbedTLS_jll
   1930.5 ms  ✓ Logging
   2066.3 ms  ✓ NetworkOptions
   2106.6 ms  ✓ UUIDs
   2072.8 ms  ✓ Zlib_jll
   2174.2 ms  ✓ nghttp2_jll
   2203.7 ms  ✓ p7zip_jll
   1117.5 ms  ✓ Printf
   2633.1 ms  ✓ Base64
   1210.1 ms  ✓ LibSSH2_jll
    645.4 ms  ✓ LibCURL_jll
    743.6 ms  ✓ LibGit2_jll
   1150.7 ms  ✓ LibCURL
   6474.0 ms  ✓ ArgTools
   3893.3 ms  ✓ Dates
   3286.0 ms  ✓ LibGit2
    965.9 ms  ✓ TOML
   1416.0 ms  ✓ Tar
   6104.2 ms  ✓ Markdown
   5177.4 ms  ✓ Downloads
  85538.5 ms  ✓ Pkg
  23 dependencies successfully precompiled in 97 seconds
Precompiling project...
   1627.7 ms  ✓ CEnum
   1707.6 ms  ✓ StatsAPI
   1879.5 ms  ✓ PolygonOps
   2020.1 ms  ✓ RangeArrays
   2222.0 ms  ✓ LaTeXStrings
   2226.8 ms  ✓ IndirectArrays
   2312.2 ms  ✓ AbstractFFTs
   2401.2 ms  ✓ GeoFormatTypes
   2457.8 ms  ✓ IteratorInterfaceExtensions
   2979.0 ms  ✓ Contour
   3176.0 ms  ✓ TriplotBase
   1828.9 ms  ✓ OpenLibm_jll
   2107.4 ms  ✓ InverseFunctions
   1901.2 ms  ✓ CompilerSupportLibraries_jll
   3931.5 ms  ✓ TensorCore
   3997.3 ms  ✓ Serialization
   2075.1 ms  ✓ IterTools
   4184.5 ms  ✓ FillArrays
   2743.9 ms  ✓ OrderedCollections
   3010.5 ms  ✓ SuiteSparse_jll
   2039.2 ms  ✓ DataValueInterfaces
   3459.4 ms  ✓ Statistics
   2939.7 ms  ✓ Observables
   2018.6 ms  ✓ EnumX
   2651.6 ms  ✓ Requires
   2104.9 ms  ✓ Reexport
   6163.8 ms  ✓ Format
   2781.2 ms  ✓ StableRNGs
   1678.3 ms  ✓ PtrArrays
   2164.7 ms  ✓ RoundingEmulator
   5172.7 ms  ✓ Grisu
   3338.1 ms  ✓ AbstractTrees
   3232.2 ms  ✓ IntervalSets
   1659.1 ms  ✓ LazyModules
   7700.2 ms  ✓ OffsetArrays
   2646.3 ms  ✓ PCRE2_jll
   3010.2 ms  ✓ Extents
   3324.4 ms  ✓ Mmap
   1716.0 ms  ✓ CRC32c
   2577.7 ms  ✓ ConstructionBase
   3727.8 ms  ✓ TranscodingStreams
   3024.7 ms  ✓ Inflate
   1747.0 ms  ✓ Scratch
   2424.8 ms  ✓ StaticArraysCore
   3810.1 ms  ✓ MappedArrays
   4315.2 ms  ✓ DataAPI
   2001.3 ms  ✓ TableTraits
   1892.0 ms  ✓ NaNMath
   7072.0 ms  ✓ IrrationalConstants
   2803.1 ms  ✓ Compat
   2329.0 ms  ✓ DocStringExtensions
   2941.5 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   1511.8 ms  ✓ Ratios
   7788.0 ms  ✓ AdaptivePredicates
   5535.3 ms  ✓ InteractiveUtils
   2407.8 ms  ✓ FillArrays → FillArraysStatisticsExt
   2397.2 ms  ✓ Adapt
   5896.1 ms  ✓ Preferences
   1882.4 ms  ✓ Showoff
   5609.6 ms  ✓ LazyArtifacts
   2416.2 ms  ✓ AliasTables
   2314.4 ms  ✓ IntervalSets → IntervalSetsStatisticsExt
   1747.4 ms  ✓ ConstructionBase → ConstructionBaseIntervalSetsExt
   4683.8 ms  ✓ Tables
   2671.9 ms  ✓ IntervalSets → IntervalSetsRandomExt
   7300.0 ms  ✓ PkgVersion
   3047.3 ms  ✓ PaddedViews
   3369.4 ms  ✓ StackViews
   2593.6 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2561.5 ms  ✓ RelocatableFolders
   2889.3 ms  ✓ Missings
   2494.7 ms  ✓ OffsetArrays → OffsetArraysAdaptExt
   8419.5 ms  ✓ Distributed
   3949.9 ms  ✓ Compat → CompatLinearAlgebraExt
   2912.4 ms  ✓ JLLWrappers
   2775.7 ms  ✓ PrecompileTools
  12694.3 ms  ✓ MacroTools
   5138.2 ms  ✓ LogExpFunctions
   3891.3 ms  ✓ AxisArrays
   2742.8 ms  ✓ MosaicViews
   3517.1 ms  ✓ SharedArrays
   1732.7 ms  ✓ Libmount_jll
   8119.5 ms  ✓ GeoInterface
   4667.1 ms  ✓ StructArrays
   2938.0 ms  ✓ Graphite2_jll
   5166.1 ms  ✓ ProgressMeter
   1851.1 ms  ✓ Rmath_jll
   2233.2 ms  ✓ Bzip2_jll
   5882.2 ms  ✓ FilePathsBase
   4647.9 ms  ✓ OpenSSL_jll
   2240.6 ms  ✓ Xorg_libXau_jll
   6338.1 ms  ✓ ChainRulesCore
   4864.5 ms  ✓ LLVMOpenMP_jll
   3559.9 ms  ✓ libfdk_aac_jll
   3130.2 ms  ✓ LERC_jll
  13536.4 ms  ✓ FixedPointNumbers
   5298.3 ms  ✓ libpng_jll
   4007.1 ms  ✓ LAME_jll
   4247.0 ms  ✓ Giflib_jll
   5292.1 ms  ✓ Imath_jll
   4169.2 ms  ✓ EarCut_jll
  10677.5 ms  ✓ DataStructures
   3466.5 ms  ✓ CRlibm_jll
   4116.4 ms  ✓ JpegTurbo_jll
   3354.9 ms  ✓ oneTBB_jll
   3458.8 ms  ✓ Ogg_jll
   3288.8 ms  ✓ Xorg_libXdmcp_jll
   3531.3 ms  ✓ libaom_jll
   5466.1 ms  ✓ XZ_jll
  18373.2 ms  ✓ Test
   4561.6 ms  ✓ x264_jll
   3942.5 ms  ✓ Zstd_jll
   3629.2 ms  ✓ Expat_jll
   2865.1 ms  ✓ Opus_jll
   5697.1 ms  ✓ x265_jll
  10780.3 ms  ✓ IntelOpenMP_jll
   4101.2 ms  ✓ LZO_jll
   4533.8 ms  ✓ Xorg_xtrans_jll
   4679.0 ms  ✓ Libiconv_jll
   2995.9 ms  ✓ isoband_jll
   4262.8 ms  ✓ Libffi_jll
   3443.3 ms  ✓ Libuuid_jll
   1380.8 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   3559.4 ms  ✓ FriBidi_jll
   4510.6 ms  ✓ Xorg_libpthread_stubs_jll
   4830.8 ms  ✓ Libgpg_error_jll
   1950.2 ms  ✓ SimpleTraits
   4212.0 ms  ✓ OpenSpecFun_jll
   5135.5 ms  ✓ FFTW_jll
  28972.2 ms  ✓ FileIO
  30001.9 ms  ✓ SparseArrays
   1456.5 ms  ✓ AbstractFFTs → AbstractFFTsChainRulesCoreExt
   2997.8 ms  ✓ StructArrays → StructArraysLinearAlgebraExt
   3617.5 ms  ✓ StructArrays → StructArraysAdaptExt
   2889.8 ms  ✓ FreeType2_jll
   2284.2 ms  ✓ Pixman_jll
   3203.6 ms  ✓ FilePathsBase → FilePathsBaseMmapExt
   3713.1 ms  ✓ FilePaths
   1880.5 ms  ✓ SortingAlgorithms
   2758.7 ms  ✓ WoodburyMatrices
   2903.4 ms  ✓ Ratios → RatiosFixedPointNumbersExt
   1158.8 ms  ✓ SignedDistanceFields
   5937.2 ms  ✓ Rmath
   5563.9 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   3630.6 ms  ✓ libsixel_jll
   2717.4 ms  ✓ InverseFunctions → InverseFunctionsTestExt
   4144.1 ms  ✓ libvorbis_jll
   5436.4 ms  ✓ QuadGK
   3288.1 ms  ✓ Libtiff_jll
   3249.3 ms  ✓ Isoband
   3779.8 ms  ✓ XML2_jll
   2790.2 ms  ✓ SuiteSparse
   7391.6 ms  ✓ AbstractFFTs → AbstractFFTsTestExt
   4978.9 ms  ✓ Libgcrypt_jll
   2948.4 ms  ✓ FillArrays → FillArraysSparseArraysExt
   2389.6 ms  ✓ Statistics → SparseArraysExt
   7809.3 ms  ✓ FilePathsBase → FilePathsBaseTestExt
   6879.4 ms  ✓ MKL_jll
   3816.5 ms  ✓ StructArrays → StructArraysSparseArraysExt
   3853.4 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
  11922.4 ms  ✓ IntervalArithmetic
   2518.2 ms  ✓ AxisAlgorithms
   3089.1 ms  ✓ Gettext_jll
   4255.7 ms  ✓ FreeType
   4828.9 ms  ✓ OpenEXR_jll
  15274.6 ms  ✓ ColorTypes
   5300.0 ms  ✓ Fontconfig_jll
   3588.7 ms  ✓ XSLT_jll
   3339.2 ms  ✓ IntervalArithmetic → IntervalArithmeticIntervalSetsExt
   5672.3 ms  ✓ PDMats
   4377.6 ms  ✓ FillArrays → FillArraysPDMatsExt
  15740.0 ms  ✓ SpecialFunctions
   7924.9 ms  ✓ Glib_jll
   7758.3 ms  ✓ Xorg_libxcb_jll
   9543.3 ms  ✓ QOI
