Precompiling Pkg...
   1077.2 ms  ✓ p7zip_jll
   1075.0 ms  ✓ Zlib_jll
   1082.5 ms  ✓ Logging
   1088.3 ms  ✓ MozillaCACerts_jll
   1135.1 ms  ✓ NetworkOptions
   1103.8 ms  ✓ Unicode
   1177.3 ms  ✓ UUIDs
   1182.8 ms  ✓ nghttp2_jll
   1178.1 ms  ✓ Base64
   1190.0 ms  ✓ MbedTLS_jll
    313.7 ms  ✓ LibSSH2_jll
    439.7 ms  ✓ Printf
    383.9 ms  ✓ LibCURL_jll
    395.3 ms  ✓ LibGit2_jll
   2033.8 ms  ✓ ArgTools
    572.9 ms  ✓ LibCURL
    563.0 ms  ✓ Tar
   2387.1 ms  ✓ Dates
   2818.5 ms  ✓ Markdown
   2312.0 ms  ✓ LibGit2
    378.1 ms  ✓ TOML
   2822.5 ms  ✓ Downloads
  38885.0 ms  ✓ Pkg
  23 dependencies successfully precompiled in 44 seconds
Precompiling project...
   1836.4 ms  ✓ PolygonOps
   1843.8 ms  ✓ CEnum
   1937.7 ms  ✓ IteratorInterfaceExtensions
   2220.1 ms  ✓ Contour
   2226.6 ms  ✓ IndirectArrays
   2227.7 ms  ✓ LaTeXStrings
   2223.2 ms  ✓ GeoFormatTypes
   2214.7 ms  ✓ TriplotBase
   2329.4 ms  ✓ StatsAPI
   2337.8 ms  ✓ RangeArrays
   2338.5 ms  ✓ TensorCore
   2556.3 ms  ✓ AbstractFFTs
   1899.7 ms  ✓ OpenLibm_jll
   4027.7 ms  ✓ Serialization
   2378.0 ms  ✓ InverseFunctions
   4310.3 ms  ✓ FillArrays
   2410.2 ms  ✓ Statistics
   2195.8 ms  ✓ SuiteSparse_jll
   1813.6 ms  ✓ DataValueInterfaces
   4732.2 ms  ✓ OffsetArrays
   2584.6 ms  ✓ Requires
   2708.9 ms  ✓ CompilerSupportLibraries_jll
   2706.4 ms  ✓ IterTools
   2690.6 ms  ✓ Observables
   2693.0 ms  ✓ OrderedCollections
   5731.1 ms  ✓ Format
   1794.3 ms  ✓ Reexport
   2401.1 ms  ✓ EnumX
   2292.4 ms  ✓ StableRNGs
   4386.1 ms  ✓ Grisu
   1691.5 ms  ✓ PtrArrays
   2411.5 ms  ✓ IntervalSets
   2497.3 ms  ✓ AbstractTrees
   2318.1 ms  ✓ Mmap
   2407.7 ms  ✓ Extents
   2685.7 ms  ✓ RoundingEmulator
   2409.6 ms  ✓ PCRE2_jll
   2806.7 ms  ✓ TranscodingStreams
   1911.0 ms  ✓ LazyModules
   1823.6 ms  ✓ DataAPI
   1891.6 ms  ✓ CRC32c
   2494.4 ms  ✓ Inflate
   1895.3 ms  ✓ StaticArraysCore
   2300.9 ms  ✓ ConstructionBase
   4623.6 ms  ✓ IrrationalConstants
   2295.5 ms  ✓ IntervalSets → IntervalSetsRandomExt
   2096.1 ms  ✓ Scratch
   1804.1 ms  ✓ TableTraits
   2695.5 ms  ✓ Compat
   2814.3 ms  ✓ DocStringExtensions
   2190.4 ms  ✓ NaNMath
   2110.1 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   4197.5 ms  ✓ Preferences
   2598.9 ms  ✓ FillArrays → FillArraysStatisticsExt
   6687.7 ms  ✓ AdaptivePredicates
   2111.9 ms  ✓ StackViews
   1993.6 ms  ✓ Ratios
   2391.5 ms  ✓ PaddedViews
   6012.1 ms  ✓ InteractiveUtils
  11292.1 ms  ✓ MacroTools
   5492.2 ms  ✓ LazyArtifacts
   2893.3 ms  ✓ Adapt
   2189.3 ms  ✓ Showoff
   2095.3 ms  ✓ IntervalSets → IntervalSetsStatisticsExt
   2499.4 ms  ✓ AliasTables
   2200.9 ms  ✓ MappedArrays
   6696.8 ms  ✓ PkgVersion
   1923.3 ms  ✓ ConstructionBase → ConstructionBaseIntervalSetsExt
   2293.2 ms  ✓ Missings
   2084.2 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2093.8 ms  ✓ RelocatableFolders
   2394.9 ms  ✓ Compat → CompatLinearAlgebraExt
   2319.8 ms  ✓ JLLWrappers
   4599.2 ms  ✓ GeoInterface
   2389.4 ms  ✓ PrecompileTools
   3800.1 ms  ✓ AxisArrays
   9101.1 ms  ✓ Distributed
   3297.2 ms  ✓ LogExpFunctions
   2426.7 ms  ✓ OffsetArrays → OffsetArraysAdaptExt
   4594.1 ms  ✓ Tables
   3406.4 ms  ✓ SimpleTraits
   2295.2 ms  ✓ MosaicViews
  10778.9 ms  ✓ FixedPointNumbers
   2714.4 ms  ✓ OpenSSL_jll
   3008.3 ms  ✓ Graphite2_jll
   2698.5 ms  ✓ LLVMOpenMP_jll
   3126.6 ms  ✓ Libmount_jll
   2407.0 ms  ✓ Rmath_jll
   2603.8 ms  ✓ Xorg_libXau_jll
   3216.2 ms  ✓ Bzip2_jll
   5086.3 ms  ✓ FilePathsBase
   2896.7 ms  ✓ libpng_jll
   3082.1 ms  ✓ libfdk_aac_jll
   2795.3 ms  ✓ Imath_jll
   6384.1 ms  ✓ ChainRulesCore
   2970.5 ms  ✓ Giflib_jll
   2810.9 ms  ✓ LAME_jll
   2611.9 ms  ✓ LERC_jll
   2914.2 ms  ✓ CRlibm_jll
   3079.1 ms  ✓ EarCut_jll
   2917.4 ms  ✓ JpegTurbo_jll
   8186.5 ms  ✓ DataStructures
   2790.8 ms  ✓ Ogg_jll
   2816.9 ms  ✓ XZ_jll
   3099.3 ms  ✓ oneTBB_jll
   2808.8 ms  ✓ Xorg_libXdmcp_jll
   2682.9 ms  ✓ x265_jll
  17104.5 ms  ✓ SparseArrays
   6093.6 ms  ✓ IntelOpenMP_jll
   2784.3 ms  ✓ x264_jll
   3195.6 ms  ✓ Zstd_jll
   2683.0 ms  ✓ Xorg_xtrans_jll
   3796.0 ms  ✓ libaom_jll
   3892.6 ms  ✓ Expat_jll
   3110.2 ms  ✓ Opus_jll
   3616.0 ms  ✓ LZO_jll
   2914.0 ms  ✓ Libgpg_error_jll
   3593.9 ms  ✓ isoband_jll
   4114.1 ms  ✓ Libffi_jll
   4226.6 ms  ✓ Libiconv_jll
  20190.1 ms  ✓ FileIO
   4387.0 ms  ✓ WoodburyMatrices
   2718.2 ms  ✓ FriBidi_jll
   3115.7 ms  ✓ Libuuid_jll
   4316.7 ms  ✓ Xorg_libpthread_stubs_jll
  16613.3 ms  ✓ Test
   3490.6 ms  ✓ OpenSpecFun_jll
   2283.8 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   2011.5 ms  ✓ Ratios → RatiosFixedPointNumbersExt
   4083.3 ms  ✓ SharedArrays
   2684.7 ms  ✓ Pixman_jll
   2898.2 ms  ✓ FreeType2_jll
   3802.9 ms  ✓ ProgressMeter
   3580.9 ms  ✓ StructArrays
   3090.7 ms  ✓ FilePathsBase → FilePathsBaseMmapExt
   3682.9 ms  ✓ Rmath
   2492.9 ms  ✓ AbstractFFTs → AbstractFFTsChainRulesCoreExt
   4010.4 ms  ✓ FilePaths
   3203.3 ms  ✓ OpenEXR_jll
   2583.4 ms  ✓ SortingAlgorithms
   2902.3 ms  ✓ libsixel_jll
   2421.8 ms  ✓ SuiteSparse
   3299.4 ms  ✓ libvorbis_jll
   2911.1 ms  ✓ FillArrays → FillArraysSparseArraysExt
   2782.0 ms  ✓ Statistics → SparseArraysExt
   4811.9 ms  ✓ QuadGK
   2622.7 ms  ✓ FFTW_jll
   3317.6 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   6512.4 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   3192.1 ms  ✓ Libtiff_jll
   2474.8 ms  ✓ Isoband
   3497.5 ms  ✓ Libgcrypt_jll
  10707.6 ms  ✓ ColorTypes
   3214.4 ms  ✓ XML2_jll
   3006.5 ms  ✓ AxisAlgorithms
   2381.9 ms  ✓ SignedDistanceFields
   3181.3 ms  ✓ InverseFunctions → InverseFunctionsTestExt
   6195.7 ms  ✓ MKL_jll
  11196.6 ms  ✓ IntervalArithmetic
   3687.6 ms  ✓ Fontconfig_jll
   6388.3 ms  ✓ AbstractFFTs → AbstractFFTsTestExt
   3610.0 ms  ✓ StructArrays → StructArraysLinearAlgebraExt
   5089.0 ms  ✓ StructArrays → StructArraysAdaptExt
   5489.0 ms  ✓ StructArrays → StructArraysSparseArraysExt
   8010.8 ms  ✓ FilePathsBase → FilePathsBaseTestExt
   7694.9 ms  ✓ FreeType
   6705.0 ms  ✓ PDMats
   4285.9 ms  ✓ Gettext_jll
   3907.0 ms  ✓ XSLT_jll
   6823.0 ms  ✓ QOI
   3480.5 ms  ✓ IntervalArithmetic → IntervalArithmeticIntervalSetsExt
   2603.1 ms  ✓ FillArrays → FillArraysPDMatsExt
  11103.4 ms  ✓ SpecialFunctions
  48910.1 ms  ✓ StyledStrings
   3020.0 ms  ✓ Glib_jll
  11179.3 ms  ✓ StatsBase
   4313.3 ms  ✓ Xorg_libxcb_jll
  10224.4 ms  ✓ ColorVectorSpace
   3520.9 ms  ✓ HypergeometricFunctions
   3074.5 ms  ✓ ColorVectorSpace → SpecialFunctionsExt
