Precompiling Pkg...
    984.4 ms  ✓ Unicode
    988.5 ms  ✓ UUIDs
   1057.6 ms  ✓ MbedTLS_jll
   1077.2 ms  ✓ nghttp2_jll
   1083.4 ms  ✓ Logging
   1086.6 ms  ✓ MozillaCACerts_jll
   1204.4 ms  ✓ NetworkOptions
   1172.8 ms  ✓ Zlib_jll
   1204.2 ms  ✓ p7zip_jll
   1266.5 ms  ✓ Base64
    390.1 ms  ✓ LibSSH2_jll
    530.5 ms  ✓ Printf
    354.0 ms  ✓ LibGit2_jll
    356.5 ms  ✓ LibCURL_jll
   2093.6 ms  ✓ ArgTools
    616.9 ms  ✓ LibCURL
    550.2 ms  ✓ Tar
   2163.2 ms  ✓ Dates
   2713.4 ms  ✓ Markdown
   2302.3 ms  ✓ LibGit2
    516.4 ms  ✓ TOML
   2824.3 ms  ✓ Downloads
  37945.1 ms  ✓ Pkg
  23 dependencies successfully precompiled in 43 seconds
Precompiling project...
   1842.8 ms  ✓ IteratorInterfaceExtensions
   1945.8 ms  ✓ IndirectArrays
   2041.7 ms  ✓ PolygonOps
   2133.8 ms  ✓ CEnum
   2217.9 ms  ✓ GeoFormatTypes
   2215.3 ms  ✓ Contour
   2224.0 ms  ✓ RangeArrays
   2225.0 ms  ✓ StatsAPI
   2236.4 ms  ✓ TriplotBase
   2249.0 ms  ✓ LaTeXStrings
   2643.5 ms  ✓ TensorCore
   3321.3 ms  ✓ AbstractFFTs
   3420.0 ms  ✓ Serialization
   2399.8 ms  ✓ OpenLibm_jll
   2479.5 ms  ✓ InverseFunctions
   2401.9 ms  ✓ SuiteSparse_jll
   4709.4 ms  ✓ FillArrays
   2608.1 ms  ✓ Observables
   2801.0 ms  ✓ CompilerSupportLibraries_jll
   2905.4 ms  ✓ Statistics
   2919.2 ms  ✓ IterTools
   1820.2 ms  ✓ DataValueInterfaces
   2579.1 ms  ✓ Requires
   5234.7 ms  ✓ OffsetArrays
   3172.8 ms  ✓ OrderedCollections
   5623.6 ms  ✓ Format
   2283.3 ms  ✓ EnumX
   1919.4 ms  ✓ Reexport
   4417.5 ms  ✓ Grisu
   2411.6 ms  ✓ StableRNGs
   1908.0 ms  ✓ PtrArrays
