Precompiling Pkg...
   1037.7 ms  ✓ MozillaCACerts_jll
   1050.2 ms  ✓ Logging
   1045.2 ms  ✓ Zlib_jll
   1148.8 ms  ✓ UUIDs
   1145.9 ms  ✓ Unicode
   1153.2 ms  ✓ MbedTLS_jll
   1155.4 ms  ✓ nghttp2_jll
   1171.4 ms  ✓ p7zip_jll
   1215.9 ms  ✓ NetworkOptions
   1236.8 ms  ✓ Base64
    353.3 ms  ✓ LibSSH2_jll
    428.8 ms  ✓ Printf
    424.2 ms  ✓ LibGit2_jll
    429.9 ms  ✓ LibCURL_jll
   2065.1 ms  ✓ ArgTools
    546.2 ms  ✓ LibCURL
    547.8 ms  ✓ Tar
   2187.1 ms  ✓ Dates
   2807.4 ms  ✓ Markdown
   2276.6 ms  ✓ LibGit2
    504.8 ms  ✓ TOML
   2864.0 ms  ✓ Downloads
  37547.9 ms  ✓ Pkg
  23 dependencies successfully precompiled in 43 seconds
Precompiling project...
   1791.3 ms  ✓ IteratorInterfaceExtensions
   1983.7 ms  ✓ LaTeXStrings
   1983.5 ms  ✓ IndirectArrays
   1988.1 ms  ✓ PolygonOps
   1982.7 ms  ✓ CEnum
   2081.3 ms  ✓ GeoFormatTypes
   2087.3 ms  ✓ StatsAPI
   2098.9 ms  ✓ RangeArrays
   2094.9 ms  ✓ Contour
   2105.1 ms  ✓ TensorCore
   2593.2 ms  ✓ AbstractFFTs
   2206.3 ms  ✓ TriplotBase
   3194.7 ms  ✓ Serialization
   2210.2 ms  ✓ OpenLibm_jll
   1792.7 ms  ✓ DataValueInterfaces
   2504.3 ms  ✓ InverseFunctions
   2601.0 ms  ✓ SuiteSparse_jll
   2699.3 ms  ✓ Statistics
   2586.6 ms  ✓ Observables
   2723.8 ms  ✓ CompilerSupportLibraries_jll
   2808.3 ms  ✓ IterTools
   4688.4 ms  ✓ FillArrays
   2591.7 ms  ✓ Requires
   5285.9 ms  ✓ OffsetArrays
   3286.2 ms  ✓ OrderedCollections
   2113.0 ms  ✓ EnumX
   5818.8 ms  ✓ Format
   4204.4 ms  ✓ Grisu
   1815.4 ms  ✓ Reexport
   2410.1 ms  ✓ StableRNGs
   1817.0 ms  ✓ PtrArrays
   2488.0 ms  ✓ IntervalSets
   2303.7 ms  ✓ Mmap
   2591.6 ms  ✓ RoundingEmulator
   2817.3 ms  ✓ DocStringExtensions
   2120.5 ms  ✓ PCRE2_jll
   2511.0 ms  ✓ Extents
   2188.0 ms  ✓ LazyModules
   2783.7 ms  ✓ TranscodingStreams
   2583.1 ms  ✓ Inflate
   1705.0 ms  ✓ CRC32c
   2088.4 ms  ✓ DataAPI
   2493.3 ms  ✓ ConstructionBase
   2293.1 ms  ✓ MappedArrays
   2313.1 ms  ✓ StaticArraysCore
   2803.2 ms  ✓ Scratch
