Precompiling Pkg...
    976.0 ms  ✓ MozillaCACerts_jll
   1043.2 ms  ✓ MbedTLS_jll
   1045.4 ms  ✓ nghttp2_jll
   1050.8 ms  ✓ UUIDs
   1066.4 ms  ✓ Logging
   1061.8 ms  ✓ Zlib_jll
   1078.9 ms  ✓ Unicode
   1192.6 ms  ✓ NetworkOptions
   1165.2 ms  ✓ p7zip_jll
   1216.8 ms  ✓ Base64
    372.8 ms  ✓ LibSSH2_jll
    480.1 ms  ✓ Printf
    378.4 ms  ✓ LibGit2_jll
    377.2 ms  ✓ LibCURL_jll
   2009.1 ms  ✓ ArgTools
    592.4 ms  ✓ LibCURL
    559.3 ms  ✓ Tar
   2281.8 ms  ✓ Dates
   2828.7 ms  ✓ Markdown
   2341.2 ms  ✓ LibGit2
    443.8 ms  ✓ TOML
   2825.9 ms  ✓ Downloads
  38387.2 ms  ✓ Pkg
  23 dependencies successfully precompiled in 44 seconds
Precompiling project...
   1788.7 ms  ✓ IteratorInterfaceExtensions
   1969.7 ms  ✓ IndirectArrays
   1977.5 ms  ✓ LaTeXStrings
   1983.8 ms  ✓ RangeArrays
   1992.4 ms  ✓ PolygonOps
   2079.7 ms  ✓ StatsAPI
   2164.1 ms  ✓ Contour
   2166.6 ms  ✓ GeoFormatTypes
   2276.0 ms  ✓ TensorCore
   2283.9 ms  ✓ CEnum
   2465.2 ms  ✓ TriplotBase
   2983.7 ms  ✓ AbstractFFTs
   2299.7 ms  ✓ InverseFunctions
   2398.0 ms  ✓ OpenLibm_jll
   2680.0 ms  ✓ CompilerSupportLibraries_jll
   2511.7 ms  ✓ SuiteSparse_jll
   2791.9 ms  ✓ IterTools
   2902.3 ms  ✓ Statistics
   4950.9 ms  ✓ FillArrays
   2594.8 ms  ✓ Observables
   3281.5 ms  ✓ Serialization
   2797.7 ms  ✓ OrderedCollections
   5170.2 ms  ✓ OffsetArrays
   2694.6 ms  ✓ Requires
   5663.3 ms  ✓ Format
   1910.7 ms  ✓ DataValueInterfaces
   2121.5 ms  ✓ EnumX
   4313.6 ms  ✓ Grisu
   1811.9 ms  ✓ Reexport
   2305.8 ms  ✓ StableRNGs
   2293.1 ms  ✓ Mmap
   2805.3 ms  ✓ DocStringExtensions
   2601.2 ms  ✓ RoundingEmulator
   2616.8 ms  ✓ IntervalSets
   2726.3 ms  ✓ AbstractTrees
   2598.3 ms  ✓ Ratios
   2713.5 ms  ✓ Extents
   2203.4 ms  ✓ PCRE2_jll
   1883.0 ms  ✓ LazyModules
   2698.3 ms  ✓ TranscodingStreams
   2297.4 ms  ✓ Inflate
   1794.1 ms  ✓ CRC32c
   1987.7 ms  ✓ DataAPI
   2207.4 ms  ✓ ConstructionBase
   2470.2 ms  ✓ StaticArraysCore
   2698.8 ms  ✓ IntervalSets → IntervalSetsRandomExt
   2387.1 ms  ✓ Scratch
   5805.0 ms  ✓ IrrationalConstants
   2191.7 ms  ✓ TableTraits
   3080.4 ms  ✓ Compat
   2607.1 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   4198.3 ms  ✓ Preferences
   3118.1 ms  ✓ FillArrays → FillArraysStatisticsExt
