nice: cannot set niceness: Permission denied
Precompiling project...
   1708.9 ms  ✓ Unicode
   1689.1 ms  ✓ Reexport
   1704.5 ms  ✓ RealDot
   1894.4 ms  ✓ DefineSingletons
   2099.7 ms  ✓ OpenLibm_jll
   2191.6 ms  ✓ DataValueInterfaces
   2386.7 ms  ✓ Statistics
   2507.5 ms  ✓ OrderedCollections
   2792.9 ms  ✓ AbstractFFTs
   2786.2 ms  ✓ DocStringExtensions
   2884.4 ms  ✓ InverseFunctions
   3000.2 ms  ✓ Serialization
   1639.8 ms  ✓ IteratorInterfaceExtensions
   3382.3 ms  ✓ EnzymeCore
   2001.2 ms  ✓ PrettyPrint
   2195.1 ms  ✓ ConstructionBase
   4009.3 ms  ✓ FillArrays
   1903.6 ms  ✓ DataAPI
   2405.6 ms  ✓ ArgCheck
   2291.7 ms  ✓ StatsAPI
   2290.8 ms  ✓ ShowCases
   2005.8 ms  ✓ ProgressLogging
   2105.8 ms  ✓ CompilerSupportLibraries_jll
   1919.0 ms  ✓ Mmap
   2305.7 ms  ✓ SuiteSparse_jll
   2007.8 ms  ✓ CompositionsBase
   1814.2 ms  ✓ Future
   5929.9 ms  ✓ IrrationalConstants
   2090.4 ms  ✓ PtrArrays
   2493.0 ms  ✓ FillArrays → FillArraysStatisticsExt
   1994.1 ms  ✓ StaticArraysCore
   1907.1 ms  ✓ HashArrayMappedTries
   2151.8 ms  ✓ NaNMath
   2596.1 ms  ✓ Requires
   2188.9 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   1714.5 ms  ✓ TableTraits
   2916.3 ms  ✓ Compat
   3180.8 ms  ✓ Preferences
   1907.8 ms  ✓ NameResolution
   2059.4 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2241.7 ms  ✓ Missings
   1882.3 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   8106.2 ms  ✓ UnsafeAtomics
   2681.7 ms  ✓ DelimitedFiles
   2201.8 ms  ✓ AliasTables
   5553.9 ms  ✓ Baselet
   1766.8 ms  ✓ ScopedValues
   2599.1 ms  ✓ LogExpFunctions
   2082.6 ms  ✓ DiffResults
   6649.8 ms  ✓ InteractiveUtils
   4292.7 ms  ✓ InitialValues
   1908.3 ms  ✓ Adapt
   1708.4 ms  ✓ PrecompileTools
   1395.0 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   2220.6 ms  ✓ Compat → CompatLinearAlgebraExt
   1994.2 ms  ✓ JLLWrappers
   1957.6 ms  ✓ Atomix
   7008.3 ms  ✓ DataStructures
   3105.3 ms  ✓ Tables
   1807.1 ms  ✓ EnzymeCore → AdaptExt
   2012.9 ms  ✓ GPUArraysCore
  10543.8 ms  ✓ MacroTools
   7992.0 ms  ✓ Distributed
   2582.0 ms  ✓ SortingAlgorithms
   2793.7 ms  ✓ ContextVariablesX
   2713.4 ms  ✓ OpenSpecFun_jll
   3195.2 ms  ✓ Functors
   3002.0 ms  ✓ StructArrays
   2111.1 ms  ✓ CommonSubexpressions
   3403.3 ms  ✓ SimpleTraits
   2487.3 ms  ✓ FLoopsBase
   1812.5 ms  ✓ StructArrays → StructArraysAdaptExt
   5446.9 ms  ✓ ChainRulesCore
   1996.3 ms  ✓ StructArrays → StructArraysLinearAlgebraExt
   3013.3 ms  ✓ MLDataDevices
   5095.4 ms  ✓ Setfield
   2005.3 ms  ✓ AbstractFFTs → AbstractFFTsChainRulesCoreExt
   1806.5 ms  ✓ MLDataDevices → MLDataDevicesFillArraysExt
   6517.4 ms  ✓ IRTools
   2098.1 ms  ✓ MLDataDevices → MLDataDevicesChainRulesCoreExt
   3395.9 ms  ✓ MLCore
   3026.5 ms  ✓ ZygoteRules
   7802.7 ms  ✓ Accessors
  13919.8 ms  ✓ SparseArrays
   4601.3 ms  ✓ Optimisers
   5395.1 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
  13542.2 ms  ✓ Test
   2012.2 ms  ✓ Optimisers → OptimisersEnzymeCoreExt
   2613.5 ms  ✓ Accessors → LinearAlgebraExt
   2094.2 ms  ✓ Optimisers → OptimisersAdaptExt
   2702.8 ms  ✓ Adapt → AdaptSparseArraysExt
   3017.0 ms  ✓ SuiteSparse
   3194.0 ms  ✓ Accessors → StructArraysExt
   3275.2 ms  ✓ Statistics → SparseArraysExt
   3085.5 ms  ✓ MLDataDevices → MLDataDevicesSparseArraysExt
   3105.6 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   3209.7 ms  ✓ FillArrays → FillArraysSparseArraysExt
   3389.4 ms  ✓ StructArrays → StructArraysSparseArraysExt
  10302.1 ms  ✓ SpecialFunctions
   1759.0 ms  ✓ Accessors → TestExt
   2009.0 ms  ✓ InverseFunctions → InverseFunctionsTestExt
   1494.7 ms  ✓ SparseInverseSubset
   2306.9 ms  ✓ BangBang
   2408.2 ms  ✓ SplittablesBase
   1681.1 ms  ✓ DiffRules
   1495.9 ms  ✓ BangBang → BangBangStructArraysExt
   1507.2 ms  ✓ BangBang → BangBangChainRulesCoreExt
   4200.6 ms  ✓ AbstractFFTs → AbstractFFTsTestExt
   1592.1 ms  ✓ BangBang → BangBangTablesExt
   1680.5 ms  ✓ MicroCollections
   3597.8 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   4305.1 ms  ✓ StatsBase
  19192.8 ms  ✓ StaticArrays
   1608.4 ms  ✓ Adapt → AdaptStaticArraysExt
   2105.3 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   2106.4 ms  ✓ BangBang → BangBangStaticArraysExt
   2158.1 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   2193.7 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   2211.8 ms  ✓ StructArrays → StructArraysStaticArraysExt
   2223.6 ms  ✓ Accessors → StaticArraysExt
   4835.9 ms  ✓ Transducers
   6309.4 ms  ✓ ForwardDiff
    604.8 ms  ✓ Transducers → TransducersAdaptExt
    661.5 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
   8511.3 ms  ✓ ChainRules
   1237.8 ms  ✓ MLDataDevices → MLDataDevicesChainRulesExt
   4853.2 ms  ✓ KernelAbstractions
  39995.4 ms  ✓ MLStyle
   2512.6 ms  ✓ KernelAbstractions → LinearAlgebraExt
   2517.3 ms  ✓ KernelAbstractions → EnzymeExt
   2605.7 ms  ✓ StructArrays → StructArraysGPUArraysCoreExt
   2704.1 ms  ✓ KernelAbstractions → SparseArraysExt
   1894.2 ms  ✓ JuliaVariables
   3658.5 ms  ✓ NNlib
    936.2 ms  ✓ NNlib → NNlibSpecialFunctionsExt
    956.5 ms  ✓ NNlib → NNlibForwardDiffExt
   1000.6 ms  ✓ OneHotArrays
   1002.6 ms  ✓ NNlib → NNlibEnzymeCoreExt
   2838.9 ms  ✓ FLoops
    587.0 ms  ✓ MLDataDevices → MLDataDevicesOneHotArraysExt
   4481.0 ms  ✓ MLUtils
   1024.2 ms  ✓ MLDataDevices → MLDataDevicesMLUtilsExt
  25902.7 ms  ✓ Zygote
    944.2 ms  ✓ MLDataDevices → MLDataDevicesZygoteExt
   4081.4 ms  ✓ Flux
  145 dependencies successfully precompiled in 66 seconds. 7 already precompiled.
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +1.11.6 --project=F/Flux/Basic-Model-Gradient -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 316.07
	System time (seconds): 27.56
	Percent of CPU this job got: 271%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 2:06.57
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 2047716
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 508
	Minor (reclaiming a frame) page faults: 6862616
	Voluntary context switches: 192415
	Involuntary context switches: 83339
	Swaps: 0
	File system inputs: 16
	File system outputs: 902808
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
