Precompiling project...
   1763.8 ms  ✓ DataValueInterfaces
   1775.5 ms  ✓ RealDot
   1748.7 ms  ✓ Reexport
   1789.0 ms  ✓ DefineSingletons
   1894.5 ms  ✓ Unicode
   2380.9 ms  ✓ OpenLibm_jll
   2483.4 ms  ✓ AbstractFFTs
   2555.8 ms  ✓ InverseFunctions
   2668.0 ms  ✓ OrderedCollections
   2734.9 ms  ✓ DocStringExtensions
   2823.2 ms  ✓ Statistics
   2970.4 ms  ✓ Serialization
   3045.9 ms  ✓ EnzymeCore
   1910.2 ms  ✓ IteratorInterfaceExtensions
   1991.6 ms  ✓ PrettyPrint
   2304.0 ms  ✓ ConstructionBase
   2273.4 ms  ✓ DataAPI
   4272.1 ms  ✓ FillArrays
   2001.8 ms  ✓ ArgCheck
   2166.2 ms  ✓ StatsAPI
   2191.4 ms  ✓ ShowCases
   2514.3 ms  ✓ CompilerSupportLibraries_jll
   2316.1 ms  ✓ Mmap
   2596.8 ms  ✓ ProgressLogging
   2500.9 ms  ✓ SuiteSparse_jll
   1900.8 ms  ✓ CompositionsBase
   2211.3 ms  ✓ Future
   1916.3 ms  ✓ PtrArrays
   6209.5 ms  ✓ IrrationalConstants
   1885.9 ms  ✓ StaticArraysCore
   1825.5 ms  ✓ HashArrayMappedTries
   2306.8 ms  ✓ Requires
   2299.3 ms  ✓ NaNMath
   2300.6 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   2602.0 ms  ✓ Compat
   1810.6 ms  ✓ TableTraits
   1891.2 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   4499.7 ms  ✓ InitialValues
   3406.5 ms  ✓ Preferences
   3001.5 ms  ✓ LogExpFunctions
   7881.7 ms  ✓ UnsafeAtomics
   2497.5 ms  ✓ Missings
   2402.2 ms  ✓ FillArrays → FillArraysStatisticsExt
   2192.3 ms  ✓ DelimitedFiles
   6203.2 ms  ✓ InteractiveUtils
   2199.0 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   2005.2 ms  ✓ AliasTables
   5705.5 ms  ✓ Baselet
   1906.5 ms  ✓ NameResolution
   2011.2 ms  ✓ DiffResults
   1893.2 ms  ✓ ScopedValues
   1816.9 ms  ✓ Adapt
   1994.8 ms  ✓ Compat → CompatLinearAlgebraExt
   2179.8 ms  ✓ PrecompileTools
   1990.0 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   2112.4 ms  ✓ JLLWrappers
   2379.8 ms  ✓ Atomix
   9905.7 ms  ✓ MacroTools
   7402.4 ms  ✓ DataStructures
   3804.4 ms  ✓ Tables
   2517.9 ms  ✓ EnzymeCore → AdaptExt
   2801.8 ms  ✓ GPUArraysCore
   2606.3 ms  ✓ ContextVariablesX
   8870.9 ms  ✓ Distributed
   2701.4 ms  ✓ OpenSpecFun_jll
   3110.8 ms  ✓ Functors
   2292.1 ms  ✓ CommonSubexpressions
   2194.3 ms  ✓ SortingAlgorithms
   4833.1 ms  ✓ ChainRulesCore
   2374.6 ms  ✓ FLoopsBase
   3379.6 ms  ✓ SimpleTraits
   3197.9 ms  ✓ StructArrays
   4891.9 ms  ✓ Setfield
   3295.1 ms  ✓ MLDataDevices
   2287.8 ms  ✓ AbstractFFTs → AbstractFFTsChainRulesCoreExt
   2003.5 ms  ✓ StructArrays → StructArraysAdaptExt
   2097.6 ms  ✓ StructArrays → StructArraysLinearAlgebraExt
   3184.5 ms  ✓ ZygoteRules
   1897.2 ms  ✓ MLDataDevices → MLDataDevicesFillArraysExt
   7084.0 ms  ✓ IRTools
   2299.7 ms  ✓ MLDataDevices → MLDataDevicesChainRulesCoreExt
   7900.5 ms  ✓ Accessors
   3701.5 ms  ✓ MLCore
   4679.2 ms  ✓ Optimisers
   5191.3 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
  14501.4 ms  ✓ SparseArrays
   1989.3 ms  ✓ Accessors → StructArraysExt
   2090.6 ms  ✓ Accessors → LinearAlgebraExt
  12924.6 ms  ✓ Test
   2399.2 ms  ✓ Optimisers → OptimisersEnzymeCoreExt
   2689.5 ms  ✓ Optimisers → OptimisersAdaptExt
   2403.9 ms  ✓ SuiteSparse
   2401.7 ms  ✓ Adapt → AdaptSparseArraysExt
   2524.3 ms  ✓ Statistics → SparseArraysExt
   2614.0 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
  10103.6 ms  ✓ SpecialFunctions
   2617.4 ms  ✓ StructArrays → StructArraysSparseArraysExt
   2608.0 ms  ✓ MLDataDevices → MLDataDevicesSparseArraysExt
   2789.7 ms  ✓ FillArrays → FillArraysSparseArraysExt
   2293.9 ms  ✓ InverseFunctions → InverseFunctionsTestExt
   3025.7 ms  ✓ BangBang
   2109.9 ms  ✓ Accessors → TestExt
   2998.5 ms  ✓ SplittablesBase
   1523.8 ms  ✓ SparseInverseSubset
   1809.3 ms  ✓ DiffRules
   4197.2 ms  ✓ AbstractFFTs → AbstractFFTsTestExt
   1580.7 ms  ✓ BangBang → BangBangChainRulesCoreExt
   1551.3 ms  ✓ BangBang → BangBangTablesExt
   1599.7 ms  ✓ BangBang → BangBangStructArraysExt
   1648.9 ms  ✓ MicroCollections
   3396.5 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   3989.3 ms  ✓ StatsBase
  18381.7 ms  ✓ StaticArrays
   3464.3 ms  ✓ Transducers
   1619.5 ms  ✓ Adapt → AdaptStaticArraysExt
   1733.6 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   1740.3 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   1914.6 ms  ✓ Accessors → StaticArraysExt
   1936.4 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   1928.5 ms  ✓ BangBang → BangBangStaticArraysExt
   5612.5 ms  ✓ ForwardDiff
   2007.6 ms  ✓ StructArrays → StructArraysStaticArraysExt
   1594.9 ms  ✓ Transducers → TransducersAdaptExt
    613.2 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
   7593.4 ms  ✓ ChainRules
   1792.1 ms  ✓ MLDataDevices → MLDataDevicesChainRulesExt
   5380.3 ms  ✓ KernelAbstractions
  38624.7 ms  ✓ MLStyle
   1102.2 ms  ✓ KernelAbstractions → LinearAlgebraExt
   1198.3 ms  ✓ KernelAbstractions → EnzymeExt
   1212.4 ms  ✓ StructArrays → StructArraysGPUArraysCoreExt
   1268.1 ms  ✓ KernelAbstractions → SparseArraysExt
   1768.9 ms  ✓ JuliaVariables
   3459.7 ms  ✓ NNlib
   2580.3 ms  ✓ FLoops
    856.5 ms  ✓ NNlib → NNlibSpecialFunctionsExt
    864.3 ms  ✓ NNlib → NNlibForwardDiffExt
    900.9 ms  ✓ NNlib → NNlibEnzymeCoreExt
    931.4 ms  ✓ OneHotArrays
    590.1 ms  ✓ MLDataDevices → MLDataDevicesOneHotArraysExt
   4040.5 ms  ✓ MLUtils
    993.9 ms  ✓ MLDataDevices → MLDataDevicesMLUtilsExt
  24748.4 ms  ✓ Zygote
    948.2 ms  ✓ MLDataDevices → MLDataDevicesZygoteExt
   4065.5 ms  ✓ Flux
  145 dependencies successfully precompiled in 64 seconds. 7 already precompiled.
	Command being timed: "julia +1.11.6 --project=F/Flux/Basic-Model-Gradient -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 297.29
	System time (seconds): 27.13
	Percent of CPU this job got: 277%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 1:56.81
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 2034816
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 570
	Minor (reclaiming a frame) page faults: 6873262
	Voluntary context switches: 195527
	Involuntary context switches: 73691
	Swaps: 0
	File system inputs: 0
	File system outputs: 900600
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
