nice: cannot set niceness: Permission denied
Precompiling project...
   1811.2 ms  ✓ DataValueInterfaces
   1921.5 ms  ✓ DefineSingletons
   2004.9 ms  ✓ Unicode
   2096.6 ms  ✓ RealDot
   2102.0 ms  ✓ OpenLibm_jll
   2280.3 ms  ✓ Reexport
   2578.2 ms  ✓ InverseFunctions
   2719.0 ms  ✓ OrderedCollections
   2811.6 ms  ✓ AbstractFFTs
   2807.3 ms  ✓ Statistics
   3004.3 ms  ✓ Serialization
   3155.4 ms  ✓ EnzymeCore
   3300.4 ms  ✓ DocStringExtensions
   1981.0 ms  ✓ IteratorInterfaceExtensions
   2394.9 ms  ✓ ConstructionBase
   2105.3 ms  ✓ DataAPI
   2096.7 ms  ✓ ArgCheck
   4492.8 ms  ✓ FillArrays
   2110.7 ms  ✓ StatsAPI
   2903.4 ms  ✓ PrettyPrint
   2373.3 ms  ✓ ShowCases
   2495.5 ms  ✓ CompilerSupportLibraries_jll
   2199.1 ms  ✓ Mmap
   2498.3 ms  ✓ ProgressLogging
   2984.4 ms  ✓ SuiteSparse_jll
   2195.7 ms  ✓ CompositionsBase
   2199.6 ms  ✓ PtrArrays
   2403.6 ms  ✓ Future
   6691.6 ms  ✓ IrrationalConstants
   2106.9 ms  ✓ StaticArraysCore
   1910.4 ms  ✓ HashArrayMappedTries
   2620.0 ms  ✓ Compat
   2125.7 ms  ✓ NaNMath
   3005.6 ms  ✓ Requires
   3207.8 ms  ✓ Preferences
   2514.3 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   1861.3 ms  ✓ TableTraits
   2099.1 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   4619.3 ms  ✓ InitialValues
   2633.9 ms  ✓ AliasTables
   2887.1 ms  ✓ Missings
   2198.3 ms  ✓ FillArrays → FillArraysStatisticsExt
   8198.0 ms  ✓ UnsafeAtomics
   2380.4 ms  ✓ DelimitedFiles
   5706.1 ms  ✓ Baselet
   6639.1 ms  ✓ InteractiveUtils
   2797.1 ms  ✓ NameResolution
   2306.4 ms  ✓ PrecompileTools
   2148.7 ms  ✓ ScopedValues
   2212.4 ms  ✓ Compat → CompatLinearAlgebraExt
   2987.6 ms  ✓ DiffResults
   3196.8 ms  ✓ LogExpFunctions
   2343.3 ms  ✓ Adapt
   2215.6 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   2902.6 ms  ✓ JLLWrappers
   2901.3 ms  ✓ Atomix
   7390.4 ms  ✓ DataStructures
   3499.6 ms  ✓ Tables
  11138.9 ms  ✓ MacroTools
   2585.5 ms  ✓ ContextVariablesX
   2802.1 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   2892.2 ms  ✓ Functors
   2438.6 ms  ✓ GPUArraysCore
   2638.6 ms  ✓ EnzymeCore → AdaptExt
   3118.4 ms  ✓ OpenSpecFun_jll
   2504.5 ms  ✓ SortingAlgorithms
   2524.6 ms  ✓ CommonSubexpressions
   3298.9 ms  ✓ StructArrays
   9348.6 ms  ✓ Distributed
   6444.0 ms  ✓ ChainRulesCore
   3799.2 ms  ✓ SimpleTraits
   3223.4 ms  ✓ FLoopsBase
   4192.0 ms  ✓ MLDataDevices
   2349.0 ms  ✓ StructArrays → StructArraysLinearAlgebraExt
   2498.4 ms  ✓ StructArrays → StructArraysAdaptExt
   5794.7 ms  ✓ Setfield
   2189.7 ms  ✓ AbstractFFTs → AbstractFFTsChainRulesCoreExt
   2414.2 ms  ✓ MLDataDevices → MLDataDevicesFillArraysExt
   3418.2 ms  ✓ ZygoteRules
