nice: cannot set niceness: Permission denied
Precompiling packages...
   3108.5 ms  ✓ Unicode
   3574.2 ms  ✓ DataValueInterfaces
   3909.4 ms  ✓ DefineSingletons
   3820.3 ms  ✓ AbstractFFTs
   3999.8 ms  ✓ Statistics
   4341.8 ms  ✓ RealDot
   4826.0 ms  ✓ InverseFunctions
   5439.1 ms  ✓ OpenLibm_jll
   5741.3 ms  ✓ EnzymeCore
   5889.1 ms  ✓ Reexport
   3077.1 ms  ✓ ConstructionBase
   2687.6 ms  ✓ PrettyPrint
   7347.0 ms  ✓ DocStringExtensions
   3786.0 ms  ✓ ArgCheck
   3716.4 ms  ✓ StatsAPI
   4411.9 ms  ✓ DataAPI
   8689.8 ms  ✓ Serialization
   8831.4 ms  ✓ OrderedCollections
   5665.0 ms  ✓ IteratorInterfaceExtensions
   9720.0 ms  ✓ FillArrays
   4149.6 ms  ✓ SuiteSparse_jll
   1895.3 ms  ✓ SciMLPublic
   5035.3 ms  ✓ Mmap
   5928.1 ms  ✓ CompilerSupportLibraries_jll
   4429.8 ms  ✓ CompositionsBase
   3413.7 ms  ✓ StaticArraysCore
   4456.5 ms  ✓ Future
   4527.7 ms  ✓ PtrArrays
   7209.2 ms  ✓ ProgressLogging
   4788.5 ms  ✓ HashArrayMappedTries
  14360.7 ms  ✓ IrrationalConstants
   8174.3 ms  ✓ InitialValues
   3801.3 ms  ✓ NameResolution
   4565.6 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   7021.3 ms  ✓ Requires
   5929.4 ms  ✓ Compat
   3529.1 ms  ✓ Missings
   4889.7 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   5613.2 ms  ✓ NaNMath
   1922.6 ms  ✓ TableTraits
   1581.6 ms  ✓ DiffResults
   1414.8 ms  ✓ AliasTables
   4050.5 ms  ✓ FillArrays → FillArraysStatisticsExt
  11193.3 ms  ✓ Baselet
   9631.1 ms  ✓ Preferences
   3594.1 ms  ✓ ScopedValues
   5137.6 ms  ✓ DelimitedFiles
   1865.4 ms  ✓ Compat → CompatLinearAlgebraExt
  18252.3 ms  ✓ ShowCases
   5273.2 ms  ✓ LogExpFunctions
   6959.9 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   2837.3 ms  ✓ PrecompileTools
   5205.0 ms  ✓ Adapt
  22549.2 ms  ✓ UnsafeAtomics
   1801.9 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   1923.8 ms  ✓ EnzymeCore → AdaptExt
   6195.2 ms  ✓ Tables
   6262.4 ms  ✓ JLLWrappers
  17433.8 ms  ✓ InteractiveUtils
  12716.6 ms  ✓ DataStructures
   6634.8 ms  ✓ ContextVariablesX
   3858.4 ms  ✓ Atomix
   5308.7 ms  ✓ GPUArraysCore
   1623.3 ms  ✓ SortingAlgorithms
   8271.2 ms  ✓ Functors
   4551.3 ms  ✓ StructArrays
  27025.1 ms  ✓ MacroTools
   2786.6 ms  ✓ StructArrays → StructArraysAdaptExt
   5082.1 ms  ✓ FLoopsBase
   6603.1 ms  ✓ OpenSpecFun_jll
  12241.0 ms  ✓ ChainRulesCore
   6852.6 ms  ✓ StructArrays → StructArraysLinearAlgebraExt
  24633.2 ms  ✓ Distributed
   4807.6 ms  ✓ CommonSubexpressions
   5500.3 ms  ✓ SimpleTraits
   9607.6 ms  ✓ MLDataDevices
   6417.6 ms  ✓ AbstractFFTs → AbstractFFTsChainRulesCoreExt
   6463.7 ms  ✓ Optimisers
   8460.9 ms  ✓ ZygoteRules
   2525.3 ms  ✓ Optimisers → OptimisersAdaptExt
   3371.9 ms  ✓ MLDataDevices → MLDataDevicesFillArraysExt
   3945.6 ms  ✓ Optimisers → OptimisersEnzymeCoreExt
  11809.6 ms  ✓ Setfield
   5530.2 ms  ✓ MLDataDevices → MLDataDevicesChainRulesCoreExt
  12802.1 ms  ✓ IRTools
  11898.6 ms  ✓ MLCore
  34691.6 ms  ✓ SparseArrays
  14984.1 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
  25860.8 ms  ✓ Test
   2617.5 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   3435.1 ms  ✓ Statistics → SparseArraysExt
  21367.2 ms  ✓ Accessors
   3709.9 ms  ✓ StructArrays → StructArraysSparseArraysExt
   4100.9 ms  ✓ MLDataDevices → MLDataDevicesSparseArraysExt
   6237.0 ms  ✓ Adapt → AdaptSparseArraysExt
   6639.3 ms  ✓ SuiteSparse
   3275.6 ms  ✓ Accessors → StructArraysExt
   3845.8 ms  ✓ Accessors → TestExt
   4092.6 ms  ✓ Accessors → LinearAlgebraExt
   7630.8 ms  ✓ FillArrays → FillArraysSparseArraysExt
   5917.9 ms  ✓ InverseFunctions → InverseFunctionsTestExt
   6340.8 ms  ✓ SplittablesBase
   2836.9 ms  ✓ SparseInverseSubset
  26489.7 ms  ✓ SpecialFunctions
   3698.8 ms  ✓ BangBang
   3764.4 ms  ✓ DiffRules
   3506.4 ms  ✓ MicroCollections
  12633.8 ms  ✓ AbstractFFTs → AbstractFFTsTestExt
   3877.5 ms  ✓ BangBang → BangBangStructArraysExt
   3962.6 ms  ✓ BangBang → BangBangChainRulesCoreExt
   3980.6 ms  ✓ BangBang → BangBangTablesExt
  15755.6 ms  ✓ StatsBase
  10958.3 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
  47871.6 ms  ✓ StaticArrays
   1543.1 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   4372.3 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   4336.6 ms  ✓ BangBang → BangBangStaticArraysExt
   4481.6 ms  ✓ Adapt → AdaptStaticArraysExt
   4558.4 ms  ✓ Accessors → StaticArraysExt
   4773.8 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   4981.4 ms  ✓ StructArrays → StructArraysStaticArraysExt
  10892.0 ms  ✓ Transducers
   1793.8 ms  ✓ Transducers → TransducersAdaptExt
  16203.7 ms  ✓ ForwardDiff
   1300.9 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
  24539.6 ms  ✓ ChainRules
   9184.9 ms  ✓ KernelAbstractions
   2484.6 ms  ✓ StructArrays → StructArraysGPUArraysCoreExt
   3554.6 ms  ✓ MLDataDevices → MLDataDevicesChainRulesExt
   3429.9 ms  ✓ KernelAbstractions → LinearAlgebraExt
   3610.6 ms  ✓ KernelAbstractions → EnzymeExt
   4415.3 ms  ✓ KernelAbstractions → SparseArraysExt
 108924.2 ms  ✓ MLStyle
  21568.2 ms  ✓ NNlib
   1629.3 ms  ✓ NNlib → NNlibSpecialFunctionsExt
   2976.0 ms  ✓ NNlib → NNlibForwardDiffExt
   2983.5 ms  ✓ NNlib → NNlibEnzymeCoreExt
   3230.2 ms  ✓ OneHotArrays
   6835.9 ms  ✓ JuliaVariables
   1613.6 ms  ✓ MLDataDevices → MLDataDevicesOneHotArraysExt
   6376.9 ms  ✓ FLoops
  14699.6 ms  ✓ MLUtils
   2654.5 ms  ✓ MLDataDevices → MLDataDevicesMLUtilsExt
  78110.7 ms  ✓ Zygote
   2558.2 ms  ✓ MLDataDevices → MLDataDevicesZygoteExt
  12831.7 ms  ✓ Flux
  146 dependencies successfully precompiled in 180 seconds. 9 already precompiled.
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +1.12.0 --project=F/Flux/Basic-Model-Gradient -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 675.44
	System time (seconds): 39.57
	Percent of CPU this job got: 188%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 6:19.55
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 2112308
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 364
	Minor (reclaiming a frame) page faults: 8132728
	Voluntary context switches: 21783
	Involuntary context switches: 169486
	Swaps: 0
	File system inputs: 3568
	File system outputs: 805768
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
