nice: cannot set niceness: Permission denied
Precompiling packages...
  72942.7 ms  ✓ Pkg (serial)
  1 dependency successfully precompiled in 73 seconds
Precompiling packages...
   2377.8 ms  ✓ DataValueInterfaces
   2391.7 ms  ✓ RealDot
   2400.2 ms  ✓ DefineSingletons
   2485.5 ms  ✓ Unicode
   2575.3 ms  ✓ OpenLibm_jll
   2569.1 ms  ✓ Reexport
   2874.2 ms  ✓ InverseFunctions
   3481.0 ms  ✓ AbstractFFTs
   3652.8 ms  ✓ DocStringExtensions
   3883.1 ms  ✓ Serialization
   3815.3 ms  ✓ Statistics
   4164.3 ms  ✓ EnzymeCore
   2396.6 ms  ✓ IteratorInterfaceExtensions
   2894.4 ms  ✓ PrettyPrint
   2717.4 ms  ✓ DataAPI
   2763.8 ms  ✓ StatsAPI
   5681.7 ms  ✓ FillArrays
   3102.1 ms  ✓ ArgCheck
   2900.5 ms  ✓ ProgressLogging
   3087.8 ms  ✓ SuiteSparse_jll
   2788.6 ms  ✓ Mmap
   3497.3 ms  ✓ CompilerSupportLibraries_jll
   2487.8 ms  ✓ CompositionsBase
   2496.2 ms  ✓ Future
   2399.4 ms  ✓ PtrArrays
   3590.1 ms  ✓ SciMLPublic
   2698.7 ms  ✓ StaticArraysCore
   2606.9 ms  ✓ HashArrayMappedTries
  10251.2 ms  ✓ OrderedCollections
   5269.4 ms  ✓ InitialValues
   9005.1 ms  ✓ ConstructionBase
   3650.6 ms  ✓ Preferences
   4598.3 ms  ✓ Requires
   2506.1 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   2525.4 ms  ✓ TableTraits
   2446.4 ms  ✓ NameResolution
   6596.1 ms  ✓ Baselet
  10289.9 ms  ✓ ShowCases
  11516.5 ms  ✓ UnsafeAtomics
  14309.0 ms  ✓ IrrationalConstants
   2982.5 ms  ✓ FillArrays → FillArraysStatisticsExt
   3002.7 ms  ✓ DelimitedFiles
   3100.1 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   2602.7 ms  ✓ DiffResults
   3085.2 ms  ✓ AliasTables
   2712.5 ms  ✓ ScopedValues
   2409.1 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2802.4 ms  ✓ PrecompileTools
   9880.9 ms  ✓ Compat
   3299.5 ms  ✓ JLLWrappers
   2501.9 ms  ✓ Adapt
   9110.4 ms  ✓ NaNMath
   2701.8 ms  ✓ Atomix
   3405.6 ms  ✓ LogExpFunctions
   8597.8 ms  ✓ Missings
   2322.7 ms  ✓ Compat → CompatLinearAlgebraExt
  12667.7 ms  ✓ InteractiveUtils
   2318.0 ms  ✓ EnzymeCore → AdaptExt
   3117.3 ms  ✓ GPUArraysCore
   3490.9 ms  ✓ OpenSpecFun_jll
   2106.8 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
  17388.5 ms  ✓ MacroTools
   2587.2 ms  ✓ ContextVariablesX
   8775.3 ms  ✓ DataStructures
   3098.5 ms  ✓ CommonSubexpressions
   2801.3 ms  ✓ FLoopsBase
   2912.9 ms  ✓ SortingAlgorithms
  16416.7 ms  ✓ Distributed
   4006.4 ms  ✓ SimpleTraits
  10201.9 ms  ✓ Tables
   5325.7 ms  ✓ Setfield
   7714.0 ms  ✓ Functors
   3211.4 ms  ✓ MLCore
   9680.3 ms  ✓ ChainRulesCore
   2515.0 ms  ✓ MLDataDevices
   1903.9 ms  ✓ AbstractFFTs → AbstractFFTsChainRulesCoreExt
  10022.7 ms  ✓ SpecialFunctions
   2174.5 ms  ✓ MLDataDevices → MLDataDevicesFillArraysExt
   6618.6 ms  ✓ StructArrays
   3397.6 ms  ✓ ZygoteRules
   2733.6 ms  ✓ MLDataDevices → MLDataDevicesChainRulesCoreExt
  12104.0 ms  ✓ IRTools
