nice: cannot set niceness: Permission denied
Precompiling packages...
   1997.5 ms  ✓ RealDot
   2006.5 ms  ✓ DataValueInterfaces
   2001.2 ms  ✓ Reexport
   2004.6 ms  ✓ OpenLibm_jll
   2175.0 ms  ✓ DefineSingletons
   2205.9 ms  ✓ InverseFunctions
   2394.1 ms  ✓ Requires
   2402.7 ms  ✓ DelimitedFiles
   2726.9 ms  ✓ Compat
   2893.4 ms  ✓ AbstractFFTs
   2872.8 ms  ✓ DocStringExtensions
   3101.3 ms  ✓ OrderedCollections
   3375.4 ms  ✓ EnzymeCore
   1680.9 ms  ✓ IteratorInterfaceExtensions
   2004.1 ms  ✓ PrettyPrint
   2072.6 ms  ✓ DataAPI
   2309.5 ms  ✓ ConstructionBase
   2163.5 ms  ✓ ArgCheck
   4398.7 ms  ✓ FillArrays
   2099.7 ms  ✓ StatsAPI
   2323.6 ms  ✓ ShowCases
   2194.4 ms  ✓ CompilerSupportLibraries_jll
   2504.3 ms  ✓ ProgressLogging
   2022.0 ms  ✓ CompositionsBase
   2594.0 ms  ✓ SuiteSparse_jll
   1706.3 ms  ✓ PtrArrays
   5787.2 ms  ✓ IrrationalConstants
   2026.0 ms  ✓ SciMLPublic
   2031.2 ms  ✓ HashArrayMappedTries
   2395.1 ms  ✓ StaticArraysCore
   1980.1 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   2224.0 ms  ✓ NaNMath
   1897.6 ms  ✓ Compat → CompatLinearAlgebraExt
   2129.2 ms  ✓ Adapt
   3700.8 ms  ✓ InitialValues
   3298.8 ms  ✓ Preferences
   1803.4 ms  ✓ TableTraits
   1998.5 ms  ✓ NameResolution
   2200.1 ms  ✓ Missings
   2413.9 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2006.0 ms  ✓ ScopedValues
   2076.3 ms  ✓ DiffResults
   2497.5 ms  ✓ AliasTables
   5289.1 ms  ✓ Baselet
   2376.9 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   2100.7 ms  ✓ ContextVariablesX
   8206.9 ms  ✓ Distributed
