nice: cannot set niceness: Permission denied
Precompiling packages...
   1901.2 ms  ✓ OpenLibm_jll
   1913.2 ms  ✓ DataValueInterfaces
   1909.2 ms  ✓ Reexport
   1916.8 ms  ✓ RealDot
   2149.9 ms  ✓ DefineSingletons
   2210.4 ms  ✓ DelimitedFiles
   2277.6 ms  ✓ InverseFunctions
   2406.3 ms  ✓ Requires
   2805.8 ms  ✓ Compat
   2785.9 ms  ✓ DocStringExtensions
   2896.5 ms  ✓ AbstractFFTs
   3097.3 ms  ✓ OrderedCollections
   3190.7 ms  ✓ EnzymeCore
   1796.5 ms  ✓ IteratorInterfaceExtensions
   1900.1 ms  ✓ PrettyPrint
   2010.2 ms  ✓ DataAPI
   2007.3 ms  ✓ ArgCheck
   2307.3 ms  ✓ ConstructionBase
   1921.3 ms  ✓ StatsAPI
   4610.2 ms  ✓ FillArrays
   2400.6 ms  ✓ ShowCases
   2104.4 ms  ✓ CompilerSupportLibraries_jll
   2401.9 ms  ✓ ProgressLogging
   2182.8 ms  ✓ CompositionsBase
   2319.2 ms  ✓ SuiteSparse_jll
   5766.0 ms  ✓ IrrationalConstants
   1722.7 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   1892.1 ms  ✓ PtrArrays
   2089.4 ms  ✓ StaticArraysCore
   2696.0 ms  ✓ ADTypes
   2010.8 ms  ✓ HashArrayMappedTries
   1894.6 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   2097.6 ms  ✓ NaNMath
   1908.0 ms  ✓ Adapt
   3601.1 ms  ✓ InitialValues
   1875.5 ms  ✓ Compat → CompatLinearAlgebraExt
   3002.3 ms  ✓ Preferences
   1577.5 ms  ✓ TableTraits
   1910.6 ms  ✓ NameResolution
   2194.8 ms  ✓ Missings
   2004.6 ms  ✓ SciMLPublic
   2111.3 ms  ✓ AliasTables
   2103.1 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   4895.5 ms  ✓ Baselet
   2311.3 ms  ✓ DiffResults
   2145.1 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   7702.0 ms  ✓ Distributed
   2999.6 ms  ✓ LogExpFunctions
   2390.9 ms  ✓ ScopedValues
   2084.5 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   9181.6 ms  ✓ UnsafeAtomics
   2087.5 ms  ✓ EnzymeCore → AdaptExt
   2083.7 ms  ✓ ContextVariablesX
