nice: cannot set niceness: Permission denied
Precompiling packages...
  73652.3 ms  ✓ Pkg (serial)
  1 dependency successfully precompiled in 74 seconds
Precompiling packages...
   2395.6 ms  ✓ DataValueInterfaces
   2399.2 ms  ✓ RealDot
   2484.2 ms  ✓ DefineSingletons
   2581.0 ms  ✓ Unicode
   2584.8 ms  ✓ OpenLibm_jll
   2590.7 ms  ✓ Reexport
   3088.6 ms  ✓ InverseFunctions
   3579.7 ms  ✓ AbstractFFTs
   3523.7 ms  ✓ Statistics
   3761.7 ms  ✓ DocStringExtensions
   4355.3 ms  ✓ EnzymeCore
   4385.6 ms  ✓ Serialization
   2694.5 ms  ✓ IteratorInterfaceExtensions
   2813.6 ms  ✓ PrettyPrint
   2790.1 ms  ✓ DataAPI
   5504.2 ms  ✓ FillArrays
   2985.4 ms  ✓ ArgCheck
   3157.0 ms  ✓ StatsAPI
   2929.1 ms  ✓ CompilerSupportLibraries_jll
   3088.6 ms  ✓ ProgressLogging
   2899.9 ms  ✓ Mmap
   2911.4 ms  ✓ SuiteSparse_jll
   2513.3 ms  ✓ Future
   2664.7 ms  ✓ CompositionsBase
   2597.1 ms  ✓ PtrArrays
   3894.9 ms  ✓ ADTypes
   2904.4 ms  ✓ SciMLPublic
   2801.6 ms  ✓ StaticArraysCore
   2668.5 ms  ✓ HashArrayMappedTries
  10687.9 ms  ✓ OrderedCollections
   5221.1 ms  ✓ InitialValues
   2497.9 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   9890.0 ms  ✓ ConstructionBase
   4490.4 ms  ✓ Requires
   2404.2 ms  ✓ TableTraits
   9806.8 ms  ✓ ShowCases
   4389.3 ms  ✓ Preferences
   2900.2 ms  ✓ NameResolution
   2397.6 ms  ✓ FillArrays → FillArraysStatisticsExt
   7391.3 ms  ✓ Baselet
  14801.0 ms  ✓ IrrationalConstants
  12503.9 ms  ✓ UnsafeAtomics
   2910.4 ms  ✓ DelimitedFiles
   3197.2 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   2509.2 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   3408.8 ms  ✓ AliasTables
   2600.5 ms  ✓ DiffResults
   2608.2 ms  ✓ ScopedValues
   2605.0 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2596.3 ms  ✓ ADTypes → ADTypesConstructionBaseExt
  10200.1 ms  ✓ Compat
   2616.4 ms  ✓ Adapt
   9984.2 ms  ✓ NaNMath
   2488.8 ms  ✓ PrecompileTools
   2874.6 ms  ✓ JLLWrappers
   2800.1 ms  ✓ Atomix
   2302.0 ms  ✓ Compat → CompatLinearAlgebraExt
   3491.0 ms  ✓ LogExpFunctions
   2518.3 ms  ✓ EnzymeCore → AdaptExt
   9612.5 ms  ✓ Missings
  14238.7 ms  ✓ InteractiveUtils
   3001.2 ms  ✓ GPUArraysCore
