nice: cannot set niceness: Permission denied
Precompiling packages...
   2023.8 ms  ✓ DataValueInterfaces
   2043.7 ms  ✓ RealDot
   2269.2 ms  ✓ DefineSingletons
   2124.0 ms  ✓ OpenLibm_jll
   2222.0 ms  ✓ Reexport
   2436.1 ms  ✓ DelimitedFiles
   2524.4 ms  ✓ Requires
   2616.0 ms  ✓ InverseFunctions
   2706.6 ms  ✓ DocStringExtensions
   2824.2 ms  ✓ Compat
   2832.5 ms  ✓ AbstractFFTs
   3115.4 ms  ✓ EnzymeCore
   3236.6 ms  ✓ OrderedCollections
   1779.7 ms  ✓ IteratorInterfaceExtensions
   2125.9 ms  ✓ PrettyPrint
   2105.6 ms  ✓ DataAPI
   4339.9 ms  ✓ FillArrays
   1911.7 ms  ✓ ArgCheck
   2311.9 ms  ✓ ConstructionBase
   2100.7 ms  ✓ StatsAPI
   2184.8 ms  ✓ CompilerSupportLibraries_jll
   2394.2 ms  ✓ ShowCases
   2299.9 ms  ✓ ProgressLogging
   2197.7 ms  ✓ LazyArtifacts
   5699.8 ms  ✓ IrrationalConstants
   2713.2 ms  ✓ SuiteSparse_jll
   1887.7 ms  ✓ CompositionsBase
   2079.3 ms  ✓ PtrArrays
   2104.3 ms  ✓ CEnum
   1917.3 ms  ✓ SciMLPublic
   2028.6 ms  ✓ HashArrayMappedTries
   2887.1 ms  ✓ ADTypes
   2406.1 ms  ✓ StaticArraysCore
   3701.0 ms  ✓ InitialValues
   1996.9 ms  ✓ Adapt
   2295.8 ms  ✓ NaNMath
   3006.1 ms  ✓ Preferences
   2003.4 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   2002.6 ms  ✓ Compat → CompatLinearAlgebraExt
   1784.3 ms  ✓ TableTraits
   2098.3 ms  ✓ NameResolution
   2561.2 ms  ✓ Missings
   2106.3 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2303.4 ms  ✓ AliasTables
   2346.6 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   2102.1 ms  ✓ ScopedValues
   5113.4 ms  ✓ Baselet
   1993.2 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   2909.3 ms  ✓ LogExpFunctions
   8404.5 ms  ✓ Distributed
