nice: cannot set niceness: Permission denied
Precompiling packages...
   1644.5 ms  ✓ CompilerSupportLibraries_jll
   1643.7 ms  ✓ MozillaCACerts_jll
   1646.7 ms  ✓ Logging
   1697.6 ms  ✓ OpenSSL_jll
   1662.0 ms  ✓ Zlib_jll
   1742.4 ms  ✓ UUIDs
   1764.8 ms  ✓ nghttp2_jll
   1767.2 ms  ✓ Unicode
   1853.9 ms  ✓ NetworkOptions
   1873.8 ms  ✓ Base64
    566.6 ms  ✓ LibSSH2_jll
    633.1 ms  ✓ p7zip_jll
    684.8 ms  ✓ Printf
    450.4 ms  ✓ LibGit2_jll
    448.5 ms  ✓ LibCURL_jll
   3251.4 ms  ✓ ArgTools
    792.1 ms  ✓ LibCURL
    635.8 ms  ✓ Tar
   2976.5 ms  ✓ Dates
   3104.5 ms  ✓ LibGit2
    477.7 ms  ✓ TOML
   3176.3 ms  ✓ Downloads
   9428.5 ms  ✓ StyledStrings
   1804.0 ms  ✓ JuliaSyntaxHighlighting
   3921.0 ms  ✓ Markdown
  47309.0 ms  ✓ Pkg
  26 dependencies successfully precompiled in 63 seconds
Precompiling packages...
   2588.5 ms  ✓ IteratorInterfaceExtensions
   2605.6 ms  ✓ StatsAPI
   2604.8 ms  ✓ Future
   2676.8 ms  ✓ OpenLibm_jll
   2676.9 ms  ✓ PrettyPrint
   2972.9 ms  ✓ InverseFunctions
   3081.4 ms  ✓ ArgCheck
   3309.4 ms  ✓ AbstractFFTs
   3588.0 ms  ✓ Statistics
   4084.5 ms  ✓ Serialization
   4104.9 ms  ✓ ADTypes
   2506.8 ms  ✓ DataValueInterfaces
   5296.3 ms  ✓ FillArrays
   2417.4 ms  ✓ RealDot
   3006.1 ms  ✓ SuiteSparse_jll
   2486.6 ms  ✓ Reexport
   5688.7 ms  ✓ InitialValues
   3292.7 ms  ✓ DocStringExtensions
   2589.8 ms  ✓ CompositionsBase
   2809.6 ms  ✓ Mmap
   4707.9 ms  ✓ Requires
   2483.9 ms  ✓ PtrArrays
   2701.9 ms  ✓ DefineSingletons
   3089.9 ms  ✓ HashArrayMappedTries
   2690.8 ms  ✓ DataAPI
   9384.9 ms  ✓ CEnum
   2994.7 ms  ✓ ProgressLogging
   9781.9 ms  ✓ ShowCases
   2712.0 ms  ✓ StaticArraysCore
   3304.9 ms  ✓ SciMLPublic
  11586.9 ms  ✓ UnsafeAtomics
   2205.8 ms  ✓ TableTraits
   4513.2 ms  ✓ Preferences
   3081.0 ms  ✓ NameResolution
   3107.9 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
  11587.2 ms  ✓ OrderedCollections
   9197.2 ms  ✓ ConstructionBase
   7200.9 ms  ✓ Baselet
   5507.7 ms  ✓ LazyArtifacts
   3305.9 ms  ✓ FillArrays → FillArraysStatisticsExt
   2500.0 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   2679.0 ms  ✓ DelimitedFiles
   3586.0 ms  ✓ EnzymeCore
   2711.1 ms  ✓ Adapt
   2807.1 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2899.5 ms  ✓ AliasTables
   3104.6 ms  ✓ DiffResults
   2800.5 ms  ✓ Atomix
  15091.3 ms  ✓ IrrationalConstants
   9177.2 ms  ✓ NaNMath
   2575.1 ms  ✓ PrecompileTools
   9813.6 ms  ✓ Compat
   3503.4 ms  ✓ JLLWrappers
  18399.2 ms  ✓ MacroTools
   2785.2 ms  ✓ ScopedValues
   3377.9 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   2900.2 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   2412.0 ms  ✓ EnzymeCore → AdaptExt
   3095.6 ms  ✓ GPUArraysCore
   2501.5 ms  ✓ Compat → CompatLinearAlgebraExt
  14197.6 ms  ✓ InteractiveUtils
   3700.7 ms  ✓ LogExpFunctions
   9092.7 ms  ✓ Missings
   3342.6 ms  ✓ CommonSubexpressions
   2604.4 ms  ✓ ContextVariablesX
   3609.6 ms  ✓ OpenSpecFun_jll
   9860.9 ms  ✓ DataStructures
   2658.1 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   2799.5 ms  ✓ FLoopsBase
  16008.7 ms  ✓ Distributed
   6326.5 ms  ✓ Setfield
   7289.0 ms  ✓ LLVMExtra_jll
   4281.4 ms  ✓ SimpleTraits
  11618.8 ms  ✓ Tables
   2332.2 ms  ✓ SortingAlgorithms
  24516.6 ms  ✓ SparseArrays
   9099.2 ms  ✓ Functors
   2769.0 ms  ✓ SuiteSparse
   2719.7 ms  ✓ Adapt → AdaptSparseArraysExt
   3069.0 ms  ✓ Statistics → SparseArraysExt
   3176.6 ms  ✓ FillArrays → FillArraysSparseArraysExt
  11913.3 ms  ✓ ChainRulesCore
   3689.1 ms  ✓ MLDataDevices
   6033.2 ms  ✓ MLCore
   2903.6 ms  ✓ SparseInverseSubset
   2312.1 ms  ✓ AbstractFFTs → AbstractFFTsChainRulesCoreExt
  15483.6 ms  ✓ Accessors
  13103.1 ms  ✓ IRTools
   3717.9 ms  ✓ ZygoteRules
   2617.2 ms  ✓ ADTypes → ADTypesChainRulesCoreExt
   2992.2 ms  ✓ EnzymeCore → EnzymeCoreChainRulesCoreExt
  12298.5 ms  ✓ SpecialFunctions
   2424.7 ms  ✓ MLDataDevices → FillArraysExt
   3202.5 ms  ✓ MLDataDevices → ChainRulesCoreExt
  10680.1 ms  ✓ StructArrays
   2425.5 ms  ✓ Accessors → LinearAlgebraExt
   3101.1 ms  ✓ MLDataDevices → SparseArraysExt
   2389.9 ms  ✓ StructArrays → StructArraysAdaptExt
   3309.4 ms  ✓ DiffRules
   2876.4 ms  ✓ Accessors → StructArraysExt
   8987.5 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   2997.3 ms  ✓ StructArrays → StructArraysLinearAlgebraExt
   3088.0 ms  ✓ StructArrays → StructArraysSparseArraysExt
   7317.9 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
  21734.4 ms  ✓ Test
   4391.5 ms  ✓ BangBang
  12181.0 ms  ✓ Optimisers
   8120.3 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   2782.2 ms  ✓ BangBang → BangBangChainRulesCoreExt
   3166.9 ms  ✓ BangBang → BangBangTablesExt
   3280.6 ms  ✓ BangBang → BangBangStructArraysExt
   3395.4 ms  ✓ Accessors → TestExt
   3482.9 ms  ✓ InverseFunctions → InverseFunctionsTestExt
   3427.9 ms  ✓ MicroCollections
   2318.2 ms  ✓ Optimisers → OptimisersEnzymeCoreExt
   1426.8 ms  ✓ Optimisers → OptimisersAdaptExt
   4299.7 ms  ✓ SplittablesBase
  15726.7 ms  ✓ StatsBase
   5065.8 ms  ✓ AbstractFFTs → AbstractFFTsTestExt
  32663.8 ms  ✓ StaticArrays
   2319.5 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   2606.9 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   2610.1 ms  ✓ Adapt → AdaptStaticArraysExt
   2622.4 ms  ✓ FillArrays → FillArraysStaticArraysExt
   2678.0 ms  ✓ Accessors → StaticArraysExt
   2810.0 ms  ✓ BangBang → BangBangStaticArraysExt
  13305.1 ms  ✓ ForwardDiff
   5158.2 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
  29390.1 ms  ✓ LLVM
   6117.3 ms  ✓ StructArrays → StructArraysStaticArraysExt
   2508.9 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
   9888.3 ms  ✓ Transducers
   2095.3 ms  ✓ Transducers → TransducersAdaptExt
  19718.5 ms  ✓ ChainRules
   5704.1 ms  ✓ UnsafeAtomics → UnsafeAtomicsLLVM
   2085.8 ms  ✓ MLDataDevices → ChainRulesExt
  59387.7 ms  ✓ MLStyle
  11320.4 ms  ✓ KernelAbstractions
    824.9 ms  ✓ KernelAbstractions → LinearAlgebraExt
    902.4 ms  ✓ StructArrays → StructArraysGPUArraysCoreExt
    948.9 ms  ✓ KernelAbstractions → EnzymeExt
   1058.7 ms  ✓ KernelAbstractions → SparseArraysExt
   2671.4 ms  ✓ JuliaVariables
   3023.4 ms  ✓ FLoops
   4189.4 ms  ✓ NNlib
   4933.3 ms  ✓ GPUArrays
   1185.3 ms  ✓ NNlib → NNlibSpecialFunctionsExt
   1196.4 ms  ✓ NNlib → NNlibForwardDiffExt
   1292.8 ms  ✓ NNlib → NNlibEnzymeCoreExt
   1344.6 ms  ✓ OneHotArrays
    682.1 ms  ✓ MLDataDevices → OneHotArraysExt
   1572.3 ms  ✓ MLDataDevices → GPUArraysSparseArraysExt
   6145.6 ms  ✓ MLUtils
   1202.4 ms  ✓ MLDataDevices → MLUtilsExt
  26781.5 ms  ✓ Zygote
   1086.2 ms  ✓ MLDataDevices → ZygoteExt
   7022.5 ms  ✓ Flux
  157 dependencies successfully precompiled in 98 seconds. 26 already precompiled.
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +1.12.6 --project=F/Flux/Basic-Model-Gradient -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 467.01
	System time (seconds): 37.89
	Percent of CPU this job got: 312%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 2:41.41
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 2173884
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 622
	Minor (reclaiming a frame) page faults: 9688035
	Voluntary context switches: 27405
	Involuntary context switches: 35965
	Swaps: 0
	File system inputs: 0
	File system outputs: 885224
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
