nice: cannot set niceness: Permission denied
Precompiling packages...
   1510.3 ms  ✓ nghttp2_jll
   1593.0 ms  ✓ MozillaCACerts_jll
   1595.5 ms  ✓ Logging
   1613.9 ms  ✓ UUIDs
   1642.7 ms  ✓ OpenSSL_jll
   1713.1 ms  ✓ Unicode
   1711.0 ms  ✓ Zlib_jll
   1726.0 ms  ✓ NetworkOptions
   1723.3 ms  ✓ CompilerSupportLibraries_jll
   1810.6 ms  ✓ Base64
    580.0 ms  ✓ LibSSH2_jll
    681.2 ms  ✓ p7zip_jll
    701.3 ms  ✓ Printf
    496.3 ms  ✓ LibGit2_jll
    511.0 ms  ✓ LibCURL_jll
   3215.8 ms  ✓ ArgTools
    757.0 ms  ✓ LibCURL
    634.2 ms  ✓ Tar
   2973.6 ms  ✓ Dates
   3089.0 ms  ✓ LibGit2
    453.3 ms  ✓ TOML
   3057.5 ms  ✓ Downloads
   9864.7 ms  ✓ StyledStrings
   1708.3 ms  ✓ JuliaSyntaxHighlighting
   4155.7 ms  ✓ Markdown
  49642.7 ms  ✓ Pkg
  26 dependencies successfully precompiled in 65 seconds
Precompiling packages...
   2401.2 ms  ✓ IteratorInterfaceExtensions
   2618.1 ms  ✓ Future
   2702.9 ms  ✓ StatsAPI
   2788.1 ms  ✓ InverseFunctions
   3112.9 ms  ✓ OpenLibm_jll
   3208.8 ms  ✓ AbstractFFTs
   3207.1 ms  ✓ PrettyPrint
   3199.0 ms  ✓ ArgCheck
   3317.4 ms  ✓ Statistics
   3925.3 ms  ✓ ADTypes
   4427.6 ms  ✓ Serialization
   5013.6 ms  ✓ FillArrays
   2926.2 ms  ✓ SuiteSparse_jll
   2182.1 ms  ✓ Reexport
   5423.8 ms  ✓ InitialValues
   2482.7 ms  ✓ DataValueInterfaces
   2424.6 ms  ✓ RealDot
   2602.0 ms  ✓ NameResolution
   4031.8 ms  ✓ Requires
   2906.5 ms  ✓ Mmap
   2380.1 ms  ✓ PtrArrays
   3093.3 ms  ✓ CompositionsBase
   2491.2 ms  ✓ HashArrayMappedTries
   2489.9 ms  ✓ DefineSingletons
   3170.6 ms  ✓ DataAPI
   9298.1 ms  ✓ CEnum
   3827.5 ms  ✓ EnzymeCore
   9423.4 ms  ✓ ShowCases
   2799.6 ms  ✓ Adapt
   3180.5 ms  ✓ ProgressLogging
   2625.9 ms  ✓ StaticArraysCore
   2389.3 ms  ✓ TableTraits
   4326.7 ms  ✓ Preferences
  12427.1 ms  ✓ UnsafeAtomics
   2905.1 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
  10414.6 ms  ✓ OrderedCollections
   3382.4 ms  ✓ DocStringExtensions
   2906.0 ms  ✓ FillArrays → FillArraysStatisticsExt
   7490.2 ms  ✓ Baselet
   2919.2 ms  ✓ Atomix
   2498.1 ms  ✓ AliasTables
   9987.1 ms  ✓ ConstructionBase
   3277.4 ms  ✓ SciMLPublic
   6428.7 ms  ✓ LazyArtifacts
   2610.0 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   2312.3 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   3105.7 ms  ✓ ScopedValues
   2609.2 ms  ✓ EnzymeCore → AdaptExt
   2720.0 ms  ✓ DiffResults
   9422.3 ms  ✓ Compat
  15265.7 ms  ✓ IrrationalConstants
   3006.4 ms  ✓ GPUArraysCore
   2821.0 ms  ✓ PrecompileTools
   3474.0 ms  ✓ JLLWrappers
   9823.0 ms  ✓ NaNMath
   3294.1 ms  ✓ DelimitedFiles
  18585.9 ms  ✓ MacroTools
   2797.9 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2706.5 ms  ✓ Compat → CompatLinearAlgebraExt
   2993.7 ms  ✓ ADTypes → ADTypesConstructionBaseExt
  13698.8 ms  ✓ InteractiveUtils
   3706.9 ms  ✓ LogExpFunctions
   4004.9 ms  ✓ OpenSpecFun_jll
   2715.7 ms  ✓ CommonSubexpressions
   2907.9 ms  ✓ ContextVariablesX
  10779.8 ms  ✓ Missings
   9199.2 ms  ✓ DataStructures
   2700.7 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
  17195.2 ms  ✓ Distributed
   8196.5 ms  ✓ LLVMExtra_jll
   6296.9 ms  ✓ Setfield
  10600.1 ms  ✓ Tables
   5011.5 ms  ✓ SimpleTraits
   2220.3 ms  ✓ FLoopsBase
   2512.1 ms  ✓ SortingAlgorithms
   9404.0 ms  ✓ Functors
  10528.5 ms  ✓ ChainRulesCore
   5098.8 ms  ✓ MLCore
   2605.2 ms  ✓ AbstractFFTs → AbstractFFTsChainRulesCoreExt
   2627.4 ms  ✓ ADTypes → ADTypesChainRulesCoreExt
   3687.4 ms  ✓ MLDataDevices
   3381.6 ms  ✓ EnzymeCore → EnzymeCoreChainRulesCoreExt
   3899.3 ms  ✓ ZygoteRules
  13194.6 ms  ✓ IRTools
  15994.4 ms  ✓ Accessors
   2605.9 ms  ✓ MLDataDevices → FillArraysExt
   2830.6 ms  ✓ MLDataDevices → ChainRulesCoreExt
   8692.2 ms  ✓ StructArrays
  25300.7 ms  ✓ SparseArrays
  12420.0 ms  ✓ SpecialFunctions
   2477.8 ms  ✓ StructArrays → StructArraysAdaptExt
   2781.4 ms  ✓ Accessors → LinearAlgebraExt
   2999.5 ms  ✓ StructArrays → StructArraysLinearAlgebraExt
   3006.2 ms  ✓ SuiteSparse
   3069.1 ms  ✓ Accessors → StructArraysExt
   3202.2 ms  ✓ StructArrays → StructArraysSparseArraysExt
   6888.5 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   3430.2 ms  ✓ FillArrays → FillArraysSparseArraysExt
   3419.0 ms  ✓ Adapt → AdaptSparseArraysExt
   3790.1 ms  ✓ Statistics → SparseArraysExt
   3026.2 ms  ✓ MLDataDevices → SparseArraysExt
  11282.5 ms  ✓ Optimisers
   2884.5 ms  ✓ DiffRules
   3177.2 ms  ✓ SparseInverseSubset
   3325.3 ms  ✓ BangBang
  22493.5 ms  ✓ Test
   2408.8 ms  ✓ Optimisers → OptimisersEnzymeCoreExt
   2694.6 ms  ✓ Optimisers → OptimisersAdaptExt
   2598.5 ms  ✓ BangBang → BangBangTablesExt
   2674.7 ms  ✓ BangBang → BangBangChainRulesCoreExt
   2695.6 ms  ✓ BangBang → BangBangStructArraysExt
   3171.4 ms  ✓ MicroCollections
   7509.2 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   2784.6 ms  ✓ InverseFunctions → InverseFunctionsTestExt
   9528.1 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   2218.7 ms  ✓ Accessors → TestExt
   3273.5 ms  ✓ SplittablesBase
   4122.6 ms  ✓ AbstractFFTs → AbstractFFTsTestExt
  32397.0 ms  ✓ StaticArrays
  10200.5 ms  ✓ StatsBase
   2373.5 ms  ✓ FillArrays → FillArraysStaticArraysExt
   2392.3 ms  ✓ Adapt → AdaptStaticArraysExt
   2411.1 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   2497.7 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   2803.2 ms  ✓ BangBang → BangBangStaticArraysExt
   2872.2 ms  ✓ Accessors → StaticArraysExt
  12818.0 ms  ✓ ForwardDiff
  29429.9 ms  ✓ LLVM
   5605.7 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   5594.9 ms  ✓ StructArrays → StructArraysStaticArraysExt
   2069.0 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
  10497.9 ms  ✓ Transducers
   2237.7 ms  ✓ Transducers → TransducersAdaptExt
   5872.2 ms  ✓ UnsafeAtomics → UnsafeAtomicsLLVM
  16851.6 ms  ✓ ChainRules
  11315.5 ms  ✓ KernelAbstractions
  59714.3 ms  ✓ MLStyle
   1163.9 ms  ✓ MLDataDevices → ChainRulesExt
   1075.8 ms  ✓ KernelAbstractions → LinearAlgebraExt
   1101.2 ms  ✓ KernelAbstractions → EnzymeExt
   1114.3 ms  ✓ StructArrays → StructArraysGPUArraysCoreExt
   1208.5 ms  ✓ KernelAbstractions → SparseArraysExt
   2519.5 ms  ✓ JuliaVariables
   4198.2 ms  ✓ NNlib
   3243.2 ms  ✓ FLoops
   1186.3 ms  ✓ NNlib → NNlibSpecialFunctionsExt
   5313.1 ms  ✓ GPUArrays
   1258.3 ms  ✓ NNlib → NNlibForwardDiffExt
   1324.0 ms  ✓ NNlib → NNlibEnzymeCoreExt
   1360.2 ms  ✓ OneHotArrays
    727.7 ms  ✓ MLDataDevices → OneHotArraysExt
   1471.9 ms  ✓ MLDataDevices → GPUArraysSparseArraysExt
   6025.0 ms  ✓ MLUtils
   1177.8 ms  ✓ MLDataDevices → MLUtilsExt
  25539.3 ms  ✓ Zygote
   1046.1 ms  ✓ MLDataDevices → ZygoteExt
   7056.4 ms  ✓ Flux
  157 dependencies successfully precompiled in 98 seconds. 26 already precompiled.
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +release --project=F/Flux/Basic-Model-Gradient -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 472.96
	System time (seconds): 37.78
	Percent of CPU this job got: 309%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 2:44.85
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 2176192
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 447
	Minor (reclaiming a frame) page faults: 9675395
	Voluntary context switches: 27076
	Involuntary context switches: 46667
	Swaps: 0
	File system inputs: 0
	File system outputs: 885128
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
