nice: cannot set niceness: Permission denied
Precompiling packages...
   1594.7 ms  ✓ nghttp2_jll
   1602.4 ms  ✓ MozillaCACerts_jll
   1694.5 ms  ✓ UUIDs
   1691.7 ms  ✓ Unicode
   1802.7 ms  ✓ OpenSSL_jll
   1772.5 ms  ✓ Logging
   1786.1 ms  ✓ Zlib_jll
   1799.8 ms  ✓ NetworkOptions
   1837.0 ms  ✓ CompilerSupportLibraries_jll
   1901.0 ms  ✓ Base64
    497.3 ms  ✓ LibSSH2_jll
    575.4 ms  ✓ p7zip_jll
    717.6 ms  ✓ Printf
    476.2 ms  ✓ LibGit2_jll
    487.7 ms  ✓ LibCURL_jll
   3272.0 ms  ✓ ArgTools
    785.2 ms  ✓ LibCURL
    665.4 ms  ✓ Tar
   2970.7 ms  ✓ Dates
    463.7 ms  ✓ TOML
   3118.2 ms  ✓ LibGit2
   3141.4 ms  ✓ Downloads
   9648.1 ms  ✓ StyledStrings
   1720.3 ms  ✓ JuliaSyntaxHighlighting
   3982.6 ms  ✓ Markdown
  46996.9 ms  ✓ Pkg
  26 dependencies successfully precompiled in 62 seconds
Precompiling packages...
   2335.7 ms  ✓ IteratorInterfaceExtensions
   2457.4 ms  ✓ Future
   2466.6 ms  ✓ StatsAPI
   2568.6 ms  ✓ OpenLibm_jll
   2842.5 ms  ✓ PrettyPrint
   2865.6 ms  ✓ InverseFunctions
   3263.9 ms  ✓ AbstractFFTs
   3260.3 ms  ✓ Statistics
   3413.3 ms  ✓ ArgCheck
   4049.4 ms  ✓ Serialization
   4066.0 ms  ✓ ADTypes
   2720.6 ms  ✓ SuiteSparse_jll
   5060.6 ms  ✓ FillArrays
   2309.5 ms  ✓ DataValueInterfaces
   2383.8 ms  ✓ RealDot
   5270.6 ms  ✓ InitialValues
   2308.8 ms  ✓ Reexport
   2666.0 ms  ✓ CompositionsBase
   2707.7 ms  ✓ Mmap
   3694.1 ms  ✓ DocStringExtensions
   4501.3 ms  ✓ Requires
   2404.5 ms  ✓ PtrArrays
   2381.4 ms  ✓ DefineSingletons
   3192.2 ms  ✓ HashArrayMappedTries
   3587.6 ms  ✓ EnzymeCore
   2618.1 ms  ✓ DataAPI
   9459.5 ms  ✓ CEnum
   2804.6 ms  ✓ ProgressLogging
   9927.5 ms  ✓ ShowCases
   2989.4 ms  ✓ SciMLPublic
   2990.1 ms  ✓ StaticArraysCore
   2394.5 ms  ✓ TableTraits
  11974.3 ms  ✓ UnsafeAtomics
   3716.3 ms  ✓ Preferences
   2111.5 ms  ✓ NameResolution
   2306.4 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
  10166.5 ms  ✓ OrderedCollections
   2486.8 ms  ✓ FillArrays → FillArraysStatisticsExt
   7105.9 ms  ✓ Baselet
   2694.4 ms  ✓ DelimitedFiles
   2740.1 ms  ✓ Atomix
   2904.6 ms  ✓ Adapt
   5817.5 ms  ✓ LazyArtifacts
   2633.9 ms  ✓ AliasTables
  10193.3 ms  ✓ ConstructionBase
  12832.8 ms  ✓ IrrationalConstants
   2406.4 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   2616.8 ms  ✓ ScopedValues
   2503.8 ms  ✓ DiffResults
   3097.2 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   3083.1 ms  ✓ PrecompileTools
   3430.4 ms  ✓ GPUArraysCore
   9606.6 ms  ✓ NaNMath
   2400.8 ms  ✓ EnzymeCore → AdaptExt
  10694.1 ms  ✓ Compat
   2490.0 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2926.8 ms  ✓ JLLWrappers
   2205.7 ms  ✓ ADTypes → ADTypesConstructionBaseExt
  18218.8 ms  ✓ MacroTools
   2220.9 ms  ✓ Compat → CompatLinearAlgebraExt
   3610.2 ms  ✓ LogExpFunctions
  14600.2 ms  ✓ InteractiveUtils
   3412.1 ms  ✓ OpenSpecFun_jll
   3173.7 ms  ✓ CommonSubexpressions
   9497.4 ms  ✓ Missings
   2216.4 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   2635.9 ms  ✓ ContextVariablesX
   9089.6 ms  ✓ DataStructures
  10266.9 ms  ✓ Tables
   6587.5 ms  ✓ Setfield
   7299.6 ms  ✓ LLVMExtra_jll
  17295.6 ms  ✓ Distributed
   3091.8 ms  ✓ FLoopsBase
   2919.8 ms  ✓ SortingAlgorithms
   4409.3 ms  ✓ SimpleTraits
   8212.8 ms  ✓ Functors
   9894.0 ms  ✓ ChainRulesCore
   3985.9 ms  ✓ MLCore
   3504.5 ms  ✓ MLDataDevices
   2580.3 ms  ✓ AbstractFFTs → AbstractFFTsChainRulesCoreExt
   2577.3 ms  ✓ ADTypes → ADTypesChainRulesCoreExt
  22615.2 ms  ✓ SparseArrays
   3303.2 ms  ✓ EnzymeCore → EnzymeCoreChainRulesCoreExt
   3883.5 ms  ✓ ZygoteRules
   9137.2 ms  ✓ StructArrays
  16023.6 ms  ✓ Accessors
   2700.6 ms  ✓ MLDataDevices → FillArraysExt
   3291.5 ms  ✓ MLDataDevices → ChainRulesCoreExt
  12792.9 ms  ✓ SpecialFunctions
   2723.7 ms  ✓ SuiteSparse
  13702.7 ms  ✓ IRTools
   3391.7 ms  ✓ Statistics → SparseArraysExt
   3516.9 ms  ✓ FillArrays → FillArraysSparseArraysExt
   3220.0 ms  ✓ Adapt → AdaptSparseArraysExt
   2501.8 ms  ✓ StructArrays → StructArraysAdaptExt
   2898.2 ms  ✓ Accessors → StructArraysExt
   3599.8 ms  ✓ MLDataDevices → SparseArraysExt
   3403.8 ms  ✓ StructArrays → StructArraysSparseArraysExt
   3299.8 ms  ✓ StructArrays → StructArraysLinearAlgebraExt
   3003.1 ms  ✓ Accessors → LinearAlgebraExt
   8103.4 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   2458.5 ms  ✓ SparseInverseSubset
   2685.8 ms  ✓ DiffRules
  11264.3 ms  ✓ Optimisers
   2724.8 ms  ✓ BangBang
  20173.9 ms  ✓ Test
   9100.1 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   7504.8 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   2517.7 ms  ✓ Optimisers → OptimisersAdaptExt
   2523.3 ms  ✓ Optimisers → OptimisersEnzymeCoreExt
   2677.1 ms  ✓ BangBang → BangBangTablesExt
   2692.4 ms  ✓ BangBang → BangBangStructArraysExt
   2878.0 ms  ✓ BangBang → BangBangChainRulesCoreExt
   2938.4 ms  ✓ MicroCollections
   2810.4 ms  ✓ InverseFunctions → InverseFunctionsTestExt
   2306.9 ms  ✓ Accessors → TestExt
   3639.7 ms  ✓ SplittablesBase
   4621.2 ms  ✓ AbstractFFTs → AbstractFFTsTestExt
  10120.5 ms  ✓ StatsBase
  31619.7 ms  ✓ StaticArrays
   2390.7 ms  ✓ FillArrays → FillArraysStaticArraysExt
   2484.7 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   2482.7 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   2574.4 ms  ✓ Adapt → AdaptStaticArraysExt
   2601.1 ms  ✓ BangBang → BangBangStaticArraysExt
   2662.7 ms  ✓ Accessors → StaticArraysExt
  13294.9 ms  ✓ ForwardDiff
   5012.5 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   5163.8 ms  ✓ StructArrays → StructArraysStaticArraysExt
   1711.2 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
  29405.1 ms  ✓ LLVM
  10358.3 ms  ✓ Transducers
   2293.2 ms  ✓ Transducers → TransducersAdaptExt
   5006.1 ms  ✓ UnsafeAtomics → UnsafeAtomicsLLVM
  17116.7 ms  ✓ ChainRules
  58737.9 ms  ✓ MLStyle
  11166.6 ms  ✓ KernelAbstractions
   1548.7 ms  ✓ MLDataDevices → ChainRulesExt
    870.6 ms  ✓ KernelAbstractions → LinearAlgebraExt
    951.9 ms  ✓ KernelAbstractions → EnzymeExt
    973.3 ms  ✓ StructArrays → StructArraysGPUArraysCoreExt
   1114.1 ms  ✓ KernelAbstractions → SparseArraysExt
   2432.9 ms  ✓ JuliaVariables
   4251.0 ms  ✓ NNlib
   3135.8 ms  ✓ FLoops
   5144.2 ms  ✓ GPUArrays
   1182.5 ms  ✓ NNlib → NNlibSpecialFunctionsExt
   1233.4 ms  ✓ NNlib → NNlibForwardDiffExt
   1308.4 ms  ✓ NNlib → NNlibEnzymeCoreExt
   1374.9 ms  ✓ OneHotArrays
    673.6 ms  ✓ MLDataDevices → OneHotArraysExt
   1545.6 ms  ✓ MLDataDevices → GPUArraysSparseArraysExt
   6154.6 ms  ✓ MLUtils
   1182.2 ms  ✓ MLDataDevices → MLUtilsExt
  26051.6 ms  ✓ Zygote
   1040.3 ms  ✓ MLDataDevices → ZygoteExt
   7120.8 ms  ✓ Flux
  157 dependencies successfully precompiled in 97 seconds. 26 already precompiled.
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +1.12.6 --project=F/Flux/Basic-Model-Gradient -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 461.92
	System time (seconds): 37.37
	Percent of CPU this job got: 311%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 2:40.29
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 2175444
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 477
	Minor (reclaiming a frame) page faults: 9660336
	Voluntary context switches: 25959
	Involuntary context switches: 37002
	Swaps: 0
	File system inputs: 0
	File system outputs: 885696
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
