nice: cannot set niceness: Permission denied
Precompiling packages...
    424.3 ms  ✓ Reexport
    457.3 ms  ✓ PrettyPrint
    537.8 ms  ✓ ConstructionBase
    428.8 ms  ✓ DataValueInterfaces
    480.7 ms  ✓ StatsAPI
    443.8 ms  ✓ CEnum
   1338.4 ms  ✓ IrrationalConstants
    493.7 ms  ✓ ArgCheck
    641.7 ms  ✓ Statistics
    509.8 ms  ✓ StaticArraysCore
    844.1 ms  ✓ SuiteSparse_jll
    470.7 ms  ✓ PtrArrays
   1386.9 ms  ✓ Baselet
    717.5 ms  ✓ EnzymeCore
    540.9 ms  ✓ Mmap
    464.5 ms  ✓ DataAPI
    480.7 ms  ✓ Adapt
    418.4 ms  ✓ RealDot
    848.6 ms  ✓ SciMLPublic
    441.4 ms  ✓ Future
    508.7 ms  ✓ InverseFunctions
    434.0 ms  ✓ CompositionsBase
   1391.0 ms  ✓ ShowCases
   2076.9 ms  ✓ UnsafeAtomics
    718.0 ms  ✓ AbstractFFTs
   5552.8 ms  ✓ MacroTools
   1386.5 ms  ✓ InitialValues
    676.7 ms  ✓ OpenLibm_jll
    495.3 ms  ✓ HashArrayMappedTries
   1201.4 ms  ✓ FillArrays
    680.5 ms  ✓ OrderedCollections
    520.2 ms  ✓ ProgressLogging
    665.8 ms  ✓ ADTypes
    667.9 ms  ✓ Serialization
    607.8 ms  ✓ DocStringExtensions
    441.7 ms  ✓ DefineSingletons
    430.9 ms  ✓ IteratorInterfaceExtensions
    734.2 ms  ✓ Requires
    592.7 ms  ✓ Compat
    426.4 ms  ✓ NameResolution
   1285.2 ms  ✓ InteractiveUtils
    961.7 ms  ✓ LazyArtifacts
    429.4 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
    471.4 ms  ✓ DiffResults
    535.3 ms  ✓ AliasTables
    555.8 ms  ✓ DelimitedFiles
    556.5 ms  ✓ Missings
   2267.5 ms  ✓ Preferences
    453.4 ms  ✓ EnzymeCore → AdaptExt
    609.5 ms  ✓ GPUArraysCore
    551.8 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
    447.6 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
    561.9 ms  ✓ CommonSubexpressions
    533.5 ms  ✓ NaNMath
    490.4 ms  ✓ ScopedValues
    906.2 ms  ✓ Atomix
    519.7 ms  ✓ FillArrays → FillArraysStatisticsExt
    420.0 ms  ✓ ADTypes → ADTypesConstructionBaseExt
    455.6 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
    613.3 ms  ✓ LogExpFunctions
    397.8 ms  ✓ TableTraits
   1790.4 ms  ✓ DataStructures
    424.4 ms  ✓ Compat → CompatLinearAlgebraExt
   2536.6 ms  ✓ Distributed
    743.7 ms  ✓ SimpleTraits
   2240.7 ms  ✓ IRTools
   4381.1 ms  ✓ SparseArrays
    819.2 ms  ✓ PrecompileTools
   1595.1 ms  ✓ Setfield
    979.5 ms  ✓ JLLWrappers
    486.7 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   1037.1 ms  ✓ Tables
   1056.2 ms  ✓ OpenSpecFun_jll
    597.2 ms  ✓ ContextVariablesX
    801.6 ms  ✓ Functors
   3143.2 ms  ✓ Accessors
   1713.3 ms  ✓ ChainRulesCore
    748.8 ms  ✓ Statistics → SparseArraysExt
    747.8 ms  ✓ Adapt → AdaptSparseArraysExt
    798.5 ms  ✓ FillArrays → FillArraysSparseArraysExt
    713.2 ms  ✓ SuiteSparse
    724.3 ms  ✓ SortingAlgorithms
   1867.6 ms  ✓ LLVMExtra_jll
   1158.5 ms  ✓ StructArrays
   1185.2 ms  ✓ MLCore
  10920.8 ms  ✓ Test
    625.0 ms  ✓ FLoopsBase
    670.4 ms  ✓ Accessors → LinearAlgebraExt
    993.3 ms  ✓ MLDataDevices
    718.4 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   3345.1 ms  ✓ SpecialFunctions
   1352.1 ms  ✓ Optimisers
    823.7 ms  ✓ ZygoteRules
    573.5 ms  ✓ EnzymeCore → EnzymeCoreChainRulesCoreExt
    628.3 ms  ✓ AbstractFFTs → AbstractFFTsChainRulesCoreExt
    585.0 ms  ✓ ADTypes → ADTypesChainRulesCoreExt
  23067.7 ms  ✓ MLStyle
    629.1 ms  ✓ SparseInverseSubset
   1251.4 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
    611.5 ms  ✓ StructArrays → StructArraysSparseArraysExt
    467.3 ms  ✓ StructArrays → StructArraysLinearAlgebraExt
    432.3 ms  ✓ StructArrays → StructArraysAdaptExt
    579.0 ms  ✓ Accessors → StructArraysExt
    573.5 ms  ✓ InverseFunctions → InverseFunctionsTestExt
   2476.7 ms  ✓ StatsBase
    888.2 ms  ✓ SplittablesBase
    659.0 ms  ✓ Accessors → TestExt
   1282.1 ms  ✓ AbstractFFTs → AbstractFFTsTestExt
    663.7 ms  ✓ MLDataDevices → ChainRulesCoreExt
    825.0 ms  ✓ BangBang
    740.1 ms  ✓ MLDataDevices → SparseArraysExt
    716.3 ms  ✓ MLDataDevices → FillArraysExt
    758.5 ms  ✓ DiffRules
    506.2 ms  ✓ Optimisers → OptimisersEnzymeCoreExt
    560.4 ms  ✓ Optimisers → OptimisersAdaptExt
   1889.8 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
    672.8 ms  ✓ BangBang → BangBangChainRulesCoreExt
    675.0 ms  ✓ BangBang → BangBangTablesExt
   2750.1 ms  ✓ JuliaVariables
    712.0 ms  ✓ BangBang → BangBangStructArraysExt
    859.6 ms  ✓ MicroCollections
  16386.2 ms  ✓ StaticArrays
   9591.1 ms  ✓ LLVM
    641.7 ms  ✓ StaticArrays → StaticArraysStatisticsExt
    687.7 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
    657.6 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
    667.8 ms  ✓ Adapt → AdaptStaticArraysExt
   2842.0 ms  ✓ Transducers
   6163.9 ms  ✓ ChainRules
    746.7 ms  ✓ FillArrays → FillArraysStaticArraysExt
    737.6 ms  ✓ Accessors → StaticArraysExt
   4352.3 ms  ✓ ForwardDiff
    800.9 ms  ✓ StructArrays → StructArraysStaticArraysExt
    796.8 ms  ✓ BangBang → BangBangStaticArraysExt
    697.4 ms  ✓ Transducers → TransducersAdaptExt
    813.6 ms  ✓ MLDataDevices → ChainRulesExt
   1803.1 ms  ✓ UnsafeAtomics → UnsafeAtomicsLLVM
    748.4 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
   2891.4 ms  ✓ FLoops
   3608.2 ms  ✓ KernelAbstractions
    742.6 ms  ✓ KernelAbstractions → LinearAlgebraExt
    778.3 ms  ✓ StructArrays → StructArraysGPUArraysCoreExt
    818.9 ms  ✓ KernelAbstractions → EnzymeExt
    920.9 ms  ✓ KernelAbstractions → SparseArraysExt
   3464.7 ms  ✓ GPUArrays
   3710.4 ms  ✓ NNlib
    819.0 ms  ✓ NNlib → NNlibSpecialFunctionsExt
    852.2 ms  ✓ NNlib → NNlibForwardDiffExt
    914.7 ms  ✓ NNlib → NNlibEnzymeCoreExt
   1651.0 ms  ✓ MLDataDevices → GPUArraysSparseArraysExt
    862.3 ms  ✓ OneHotArrays
    695.7 ms  ✓ MLDataDevices → OneHotArraysExt
   5221.5 ms  ✓ MLUtils
   1194.2 ms  ✓ MLDataDevices → MLUtilsExt
  32094.7 ms  ✓ Zygote
    987.1 ms  ✓ MLDataDevices → ZygoteExt
   6097.1 ms  ✓ Flux
  157 dependencies successfully precompiled in 78 seconds. 27 already precompiled.
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +alpha --project=F/Flux/Basic-Model-Gradient -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 373.19
	System time (seconds): 28.06
	Percent of CPU this job got: 232%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 2:52.24
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 2656320
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 661
	Minor (reclaiming a frame) page faults: 10138110
	Voluntary context switches: 27650
	Involuntary context switches: 9202
	Swaps: 0
	File system inputs: 0
	File system outputs: 919592
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
