nice: cannot set niceness: Permission denied
Precompiling packages...
   1565.3 ms  ✓ MozillaCACerts_jll
   1584.2 ms  ✓ CompilerSupportLibraries_jll
   1654.9 ms  ✓ Zlib_jll
   1655.7 ms  ✓ Logging
   1708.7 ms  ✓ OpenSSL_jll
   1688.8 ms  ✓ UUIDs
   1696.3 ms  ✓ Unicode
   1768.9 ms  ✓ NetworkOptions
   1769.4 ms  ✓ nghttp2_jll
   1857.4 ms  ✓ Base64
    534.9 ms  ✓ LibSSH2_jll
    640.1 ms  ✓ p7zip_jll
    671.7 ms  ✓ Printf
    460.1 ms  ✓ LibGit2_jll
    464.8 ms  ✓ LibCURL_jll
   3216.8 ms  ✓ ArgTools
    817.5 ms  ✓ LibCURL
    654.9 ms  ✓ Tar
   2948.4 ms  ✓ Dates
    449.9 ms  ✓ TOML
   3095.1 ms  ✓ LibGit2
   3065.6 ms  ✓ Downloads
   9430.9 ms  ✓ StyledStrings
   1753.3 ms  ✓ JuliaSyntaxHighlighting
   3959.2 ms  ✓ Markdown
  47463.1 ms  ✓ Pkg
  26 dependencies successfully precompiled in 63 seconds
Precompiling packages...
   2423.4 ms  ✓ RealDot
   2499.2 ms  ✓ DataValueInterfaces
   2500.0 ms  ✓ IteratorInterfaceExtensions
   2521.9 ms  ✓ Reexport
   2715.5 ms  ✓ OpenLibm_jll
   2972.1 ms  ✓ Adapt
   3409.3 ms  ✓ AbstractFFTs
   3605.8 ms  ✓ Statistics
   3623.7 ms  ✓ DocStringExtensions
   3919.7 ms  ✓ EnzymeCore
   4118.0 ms  ✓ Serialization
   2490.9 ms  ✓ TableTraits
   2688.2 ms  ✓ DataAPI
   2830.3 ms  ✓ StatsAPI
   2706.5 ms  ✓ Mmap
   5427.4 ms  ✓ FillArrays
   3217.4 ms  ✓ SuiteSparse_jll
   2703.4 ms  ✓ Future
   2607.4 ms  ✓ PtrArrays
   4086.5 ms  ✓ ADTypes
   2897.5 ms  ✓ SciMLPublic
   2885.7 ms  ✓ HashArrayMappedTries
   3113.5 ms  ✓ StaticArraysCore
   3130.5 ms  ✓ DelimitedFiles
