nice: cannot set niceness: Permission denied
Precompiling packages...
   1573.0 ms  ✓ UUIDs
   1576.6 ms  ✓ MozillaCACerts_jll
   1655.3 ms  ✓ nghttp2_jll
   1700.8 ms  ✓ OpenSSL_jll
   1676.8 ms  ✓ Logging
   1702.8 ms  ✓ NetworkOptions
   1756.8 ms  ✓ Zlib_jll
   1762.2 ms  ✓ Unicode
   1803.8 ms  ✓ CompilerSupportLibraries_jll
   1860.3 ms  ✓ Base64
    517.1 ms  ✓ LibSSH2_jll
    588.5 ms  ✓ p7zip_jll
    659.7 ms  ✓ Printf
    504.6 ms  ✓ LibGit2_jll
    508.6 ms  ✓ LibCURL_jll
   3378.0 ms  ✓ ArgTools
    774.9 ms  ✓ LibCURL
    634.1 ms  ✓ Tar
   3003.8 ms  ✓ Dates
   3184.9 ms  ✓ LibGit2
    472.7 ms  ✓ TOML
   3111.1 ms  ✓ Downloads
   9662.7 ms  ✓ StyledStrings
   1665.2 ms  ✓ JuliaSyntaxHighlighting
   3980.8 ms  ✓ Markdown
  47044.8 ms  ✓ Pkg
  26 dependencies successfully precompiled in 62 seconds
Precompiling packages...
   2301.0 ms  ✓ IteratorInterfaceExtensions
   2415.8 ms  ✓ DataValueInterfaces
   2421.4 ms  ✓ Reexport
   2434.2 ms  ✓ RealDot
   3033.9 ms  ✓ OpenLibm_jll
   3190.0 ms  ✓ Adapt
   3201.8 ms  ✓ Statistics
   3417.7 ms  ✓ AbstractFFTs
   3615.5 ms  ✓ EnzymeCore
   3705.2 ms  ✓ DocStringExtensions
   4024.6 ms  ✓ Serialization
   2582.5 ms  ✓ DataAPI
   2713.3 ms  ✓ StatsAPI
   5330.6 ms  ✓ FillArrays
   3173.3 ms  ✓ ProgressLogging
   2391.9 ms  ✓ Future
   2721.1 ms  ✓ SuiteSparse_jll
   2999.6 ms  ✓ Mmap
   2622.4 ms  ✓ PtrArrays
   3385.7 ms  ✓ GPUArraysCore
   3685.1 ms  ✓ ADTypes
   2619.4 ms  ✓ SciMLPublic
   2905.3 ms  ✓ StaticArraysCore
   2778.4 ms  ✓ HashArrayMappedTries
   2425.3 ms  ✓ TableTraits
   3690.4 ms  ✓ Preferences
  10216.8 ms  ✓ OrderedCollections
   4731.2 ms  ✓ Requires
  10602.8 ms  ✓ ConstructionBase
   2701.0 ms  ✓ EnzymeCore → AdaptExt
   5176.8 ms  ✓ LazyArtifacts
   9303.8 ms  ✓ ShowCases
   2610.0 ms  ✓ FillArrays → FillArraysStatisticsExt
  12395.5 ms  ✓ UnsafeAtomics
   9099.0 ms  ✓ CEnum
   2974.0 ms  ✓ DelimitedFiles
   2784.8 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   3105.6 ms  ✓ AliasTables
  14295.2 ms  ✓ IrrationalConstants
   2821.7 ms  ✓ DiffResults
   2899.6 ms  ✓ ScopedValues
   2686.9 ms  ✓ PrecompileTools
   9696.4 ms  ✓ Compat
   3080.0 ms  ✓ JLLWrappers
   2110.6 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   2624.1 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2482.8 ms  ✓ Atomix
   9215.5 ms  ✓ NaNMath
   2626.5 ms  ✓ LogExpFunctions
   8086.9 ms  ✓ Missings
   1697.3 ms  ✓ Compat → CompatLinearAlgebraExt
   2220.9 ms  ✓ OpenSpecFun_jll
  12079.8 ms  ✓ InteractiveUtils
   4123.8 ms  ✓ LLVMExtra_jll
   6917.2 ms  ✓ Tables
  12403.8 ms  ✓ Distributed
  14285.4 ms  ✓ MacroTools
   5131.7 ms  ✓ Functors
   6699.6 ms  ✓ ChainRulesCore
   2213.7 ms  ✓ CommonSubexpressions
   2709.1 ms  ✓ SimpleTraits
   3698.8 ms  ✓ MLDataDevices
   2523.9 ms  ✓ AbstractFFTs → AbstractFFTsChainRulesCoreExt
   2621.6 ms  ✓ EnzymeCore → EnzymeCoreChainRulesCoreExt
   2699.5 ms  ✓ ADTypes → ADTypesChainRulesCoreExt
   8901.6 ms  ✓ SpecialFunctions
   4992.8 ms  ✓ Setfield
   3904.9 ms  ✓ ZygoteRules
   8188.6 ms  ✓ StructArrays
   2178.7 ms  ✓ MLDataDevices → FillArraysExt
   2734.0 ms  ✓ MLDataDevices → ChainRulesCoreExt
  18926.9 ms  ✓ SparseArrays
   2627.9 ms  ✓ DiffRules
   5694.4 ms  ✓ MLCore
   2408.9 ms  ✓ StructArrays → StructArraysAdaptExt
   2874.5 ms  ✓ StructArrays → StructArraysLinearAlgebraExt
   7890.7 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   3075.6 ms  ✓ Adapt → AdaptSparseArraysExt
   3010.2 ms  ✓ SuiteSparse
   3124.2 ms  ✓ FillArrays → FillArraysSparseArraysExt
   3273.9 ms  ✓ Statistics → SparseArraysExt
   3295.3 ms  ✓ MLDataDevices → SparseArraysExt
   2795.7 ms  ✓ StructArrays → StructArraysSparseArraysExt
  11494.7 ms  ✓ IRTools
   6999.7 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   2020.9 ms  ✓ SparseInverseSubset
  10517.7 ms  ✓ Optimisers
  16543.6 ms  ✓ Test
   5903.1 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
    891.5 ms  ✓ Optimisers → OptimisersEnzymeCoreExt
    916.7 ms  ✓ Optimisers → OptimisersAdaptExt
   1958.2 ms  ✓ DataStructures
   1989.6 ms  ✓ AbstractFFTs → AbstractFFTsTestExt
    990.4 ms  ✓ SortingAlgorithms
  23390.0 ms  ✓ StaticArrays
   1423.3 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   1528.0 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   1622.6 ms  ✓ Adapt → AdaptStaticArraysExt
   1743.6 ms  ✓ FillArrays → FillArraysStaticArraysExt
  10279.4 ms  ✓ ForwardDiff
   3613.4 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   1427.8 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
   4220.0 ms  ✓ StructArrays → StructArraysStaticArraysExt
  23046.0 ms  ✓ LLVM
   6010.2 ms  ✓ StatsBase
   1496.3 ms  ✓ UnsafeAtomics → UnsafeAtomicsLLVM
   9379.9 ms  ✓ ChainRules
   5227.2 ms  ✓ KernelAbstractions
   1013.7 ms  ✓ MLDataDevices → ChainRulesExt
    769.7 ms  ✓ KernelAbstractions → LinearAlgebraExt
    843.1 ms  ✓ StructArrays → StructArraysGPUArraysCoreExt
    843.8 ms  ✓ KernelAbstractions → EnzymeExt
    934.0 ms  ✓ KernelAbstractions → SparseArraysExt
   3936.2 ms  ✓ NNlib
   1190.7 ms  ✓ NNlib → NNlibSpecialFunctionsExt
   1232.7 ms  ✓ NNlib → NNlibForwardDiffExt
   1305.2 ms  ✓ NNlib → NNlibEnzymeCoreExt
   5112.8 ms  ✓ GPUArrays
   1371.7 ms  ✓ OneHotArrays
    707.8 ms  ✓ MLDataDevices → OneHotArraysExt
   1438.2 ms  ✓ MLDataDevices → GPUArraysSparseArraysExt
   3126.1 ms  ✓ MLUtils
    966.1 ms  ✓ MLDataDevices → MLUtilsExt
  25041.2 ms  ✓ Zygote
   1061.4 ms  ✓ MLDataDevices → ZygoteExt
   7072.9 ms  ✓ Flux
  126 dependencies successfully precompiled in 78 seconds. 26 already precompiled.
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +1.12.6 --project=F/Flux/Basic-Model-Gradient -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 373.48
	System time (seconds): 30.59
	Percent of CPU this job got: 285%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 2:21.35
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 2168668
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 601
	Minor (reclaiming a frame) page faults: 8154684
	Voluntary context switches: 23828
	Involuntary context switches: 25971
	Swaps: 0
	File system inputs: 0
	File system outputs: 789120
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
