nice: cannot set niceness: Permission denied
Precompiling packages...
   1668.3 ms  ✓ Logging
   1701.4 ms  ✓ OpenSSL_jll
   1673.0 ms  ✓ Unicode
   1669.7 ms  ✓ UUIDs
   1699.7 ms  ✓ MozillaCACerts_jll
   1727.0 ms  ✓ Zlib_jll
   1787.3 ms  ✓ nghttp2_jll
   1791.8 ms  ✓ CompilerSupportLibraries_jll
   1800.8 ms  ✓ NetworkOptions
   1816.5 ms  ✓ Base64
    521.1 ms  ✓ LibSSH2_jll
    597.0 ms  ✓ p7zip_jll
    718.9 ms  ✓ Printf
    463.7 ms  ✓ LibGit2_jll
    462.2 ms  ✓ LibCURL_jll
   3320.6 ms  ✓ ArgTools
    793.4 ms  ✓ LibCURL
    628.0 ms  ✓ Tar
   3022.1 ms  ✓ Dates
   3132.7 ms  ✓ LibGit2
    454.3 ms  ✓ TOML
   3080.3 ms  ✓ Downloads
   9542.1 ms  ✓ StyledStrings
   1753.9 ms  ✓ JuliaSyntaxHighlighting
   3873.7 ms  ✓ Markdown
  48069.8 ms  ✓ Pkg
  26 dependencies successfully precompiled in 63 seconds
Precompiling packages...
   2398.0 ms  ✓ DataValueInterfaces
   2462.4 ms  ✓ RealDot
   2499.9 ms  ✓ IteratorInterfaceExtensions
   2578.0 ms  ✓ OpenLibm_jll
   2777.3 ms  ✓ Reexport
   3155.1 ms  ✓ Adapt
   3290.7 ms  ✓ AbstractFFTs
   3574.1 ms  ✓ Statistics
   3760.5 ms  ✓ Serialization
   3776.1 ms  ✓ DocStringExtensions
   4179.8 ms  ✓ EnzymeCore
   2596.8 ms  ✓ StatsAPI
   2691.5 ms  ✓ DataAPI
   5395.8 ms  ✓ FillArrays
   3008.3 ms  ✓ ProgressLogging
   3006.4 ms  ✓ Mmap
   2212.3 ms  ✓ Future
   3081.2 ms  ✓ SuiteSparse_jll
   2476.2 ms  ✓ PtrArrays
   2617.9 ms  ✓ SciMLPublic
   4127.5 ms  ✓ ADTypes
   2799.6 ms  ✓ StaticArraysCore
   2710.0 ms  ✓ HashArrayMappedTries
   3990.1 ms  ✓ Preferences
   2384.9 ms  ✓ TableTraits
   4601.8 ms  ✓ Requires
  10262.4 ms  ✓ ConstructionBase
  10294.2 ms  ✓ OrderedCollections
   3284.3 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   2694.7 ms  ✓ EnzymeCore → AdaptExt
  10019.5 ms  ✓ ShowCases
  12901.4 ms  ✓ UnsafeAtomics
   3013.0 ms  ✓ DelimitedFiles
   9219.5 ms  ✓ CEnum
   3391.7 ms  ✓ FillArrays → FillArraysStatisticsExt
   3615.6 ms  ✓ AliasTables
  15161.4 ms  ✓ IrrationalConstants
   5193.9 ms  ✓ LazyArtifacts
   2714.7 ms  ✓ ScopedValues
   9989.0 ms  ✓ Compat
   3309.9 ms  ✓ GPUArraysCore
