nice: cannot set niceness: Permission denied
Precompiling packages...
   1611.9 ms  ✓ Zlib_jll
   1691.7 ms  ✓ UUIDs
   1724.6 ms  ✓ Logging
   1726.4 ms  ✓ CompilerSupportLibraries_jll
   1729.1 ms  ✓ MozillaCACerts_jll
   1840.7 ms  ✓ OpenSSL_jll
   1827.6 ms  ✓ NetworkOptions
   1817.2 ms  ✓ nghttp2_jll
   1837.4 ms  ✓ Unicode
   1836.4 ms  ✓ Base64
    455.8 ms  ✓ LibSSH2_jll
    592.3 ms  ✓ p7zip_jll
    659.5 ms  ✓ Printf
    468.3 ms  ✓ LibCURL_jll
    478.3 ms  ✓ LibGit2_jll
   3295.2 ms  ✓ ArgTools
    765.5 ms  ✓ LibCURL
    622.3 ms  ✓ Tar
   2982.2 ms  ✓ Dates
   3155.4 ms  ✓ LibGit2
    462.1 ms  ✓ TOML
   3135.2 ms  ✓ Downloads
   9592.7 ms  ✓ StyledStrings
   1656.9 ms  ✓ JuliaSyntaxHighlighting
   3889.7 ms  ✓ Markdown
  47355.0 ms  ✓ Pkg
  26 dependencies successfully precompiled in 63 seconds
Precompiling packages...
   2264.1 ms  ✓ DataValueInterfaces
   2459.6 ms  ✓ RealDot
   2464.3 ms  ✓ OpenLibm_jll
   2557.3 ms  ✓ Reexport
   2844.8 ms  ✓ Adapt
   3153.6 ms  ✓ IteratorInterfaceExtensions
   3357.2 ms  ✓ DocStringExtensions
   3446.8 ms  ✓ Statistics
   3461.0 ms  ✓ AbstractFFTs
   3783.8 ms  ✓ Serialization
   4131.7 ms  ✓ EnzymeCore
   2513.4 ms  ✓ DataAPI
   2321.5 ms  ✓ StatsAPI
   5468.8 ms  ✓ FillArrays
   3009.8 ms  ✓ ProgressLogging
   2306.8 ms  ✓ Future
   2971.7 ms  ✓ Mmap
   2395.5 ms  ✓ PtrArrays
   3399.3 ms  ✓ SuiteSparse_jll
   3904.9 ms  ✓ ADTypes
   2597.0 ms  ✓ SciMLPublic
   2800.6 ms  ✓ StaticArraysCore
   2893.6 ms  ✓ HashArrayMappedTries
   3640.5 ms  ✓ Preferences
   9866.3 ms  ✓ OrderedCollections
   9845.4 ms  ✓ ConstructionBase
   2476.1 ms  ✓ TableTraits
   4695.2 ms  ✓ Requires
   3800.4 ms  ✓ GPUArraysCore
   5293.3 ms  ✓ LazyArtifacts
   2682.7 ms  ✓ EnzymeCore → AdaptExt
   9693.6 ms  ✓ ShowCases
  12118.8 ms  ✓ UnsafeAtomics
   2792.4 ms  ✓ FillArrays → FillArraysStatisticsExt
   2777.5 ms  ✓ DelimitedFiles
   3508.0 ms  ✓ AliasTables
  13848.5 ms  ✓ IrrationalConstants
   9935.5 ms  ✓ CEnum
   2694.4 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
