nice: cannot set niceness: Permission denied
Precompiling packages...
   1608.8 ms  ✓ UUIDs
   1684.5 ms  ✓ nghttp2_jll
   1688.4 ms  ✓ MozillaCACerts_jll
   1731.2 ms  ✓ OpenSSL_jll
   1705.9 ms  ✓ Logging
   1778.6 ms  ✓ Zlib_jll
   1806.9 ms  ✓ Unicode
   1805.0 ms  ✓ CompilerSupportLibraries_jll
   1887.3 ms  ✓ NetworkOptions
   1883.5 ms  ✓ Base64
    551.4 ms  ✓ LibSSH2_jll
    584.7 ms  ✓ p7zip_jll
    706.6 ms  ✓ Printf
    489.8 ms  ✓ LibGit2_jll
    488.0 ms  ✓ LibCURL_jll
   3515.2 ms  ✓ ArgTools
    861.4 ms  ✓ LibCURL
    660.0 ms  ✓ Tar
   3169.1 ms  ✓ Dates
   3191.7 ms  ✓ LibGit2
    448.4 ms  ✓ TOML
   3176.4 ms  ✓ Downloads
   9924.7 ms  ✓ StyledStrings
   1772.4 ms  ✓ JuliaSyntaxHighlighting
   4020.2 ms  ✓ Markdown
  46867.5 ms  ✓ Pkg
  26 dependencies successfully precompiled in 63 seconds
Precompiling packages...
   2308.1 ms  ✓ DataValueInterfaces
   2401.3 ms  ✓ Reexport
   2510.3 ms  ✓ RealDot
   2518.4 ms  ✓ OpenLibm_jll
   2691.4 ms  ✓ IteratorInterfaceExtensions
   2994.3 ms  ✓ Adapt
   3208.1 ms  ✓ AbstractFFTs
   3397.0 ms  ✓ DocStringExtensions
   3485.3 ms  ✓ Statistics
   3807.5 ms  ✓ Serialization
   4001.3 ms  ✓ EnzymeCore
   2601.3 ms  ✓ StatsAPI
   2793.7 ms  ✓ DataAPI
   5602.9 ms  ✓ FillArrays
   3085.8 ms  ✓ ProgressLogging
   2891.4 ms  ✓ Mmap
   2501.4 ms  ✓ Future
   3003.6 ms  ✓ SuiteSparse_jll
   2317.6 ms  ✓ PtrArrays
   3812.7 ms  ✓ ADTypes
   2701.8 ms  ✓ SciMLPublic
   2804.2 ms  ✓ StaticArraysCore
   2777.5 ms  ✓ HashArrayMappedTries
   3895.0 ms  ✓ Preferences
   2198.3 ms  ✓ TableTraits
   4299.9 ms  ✓ Requires
  10105.7 ms  ✓ OrderedCollections
  10692.3 ms  ✓ ConstructionBase
   3302.0 ms  ✓ GPUArraysCore
   5089.8 ms  ✓ LazyArtifacts
  11447.3 ms  ✓ UnsafeAtomics
   2306.5 ms  ✓ EnzymeCore → AdaptExt
   9669.9 ms  ✓ ShowCases
   2588.6 ms  ✓ FillArrays → FillArraysStatisticsExt
   9310.0 ms  ✓ CEnum
   3601.6 ms  ✓ DelimitedFiles
   2497.6 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
  13883.1 ms  ✓ IrrationalConstants
   2838.0 ms  ✓ DiffResults
   3403.6 ms  ✓ AliasTables
   2591.4 ms  ✓ ScopedValues
   2719.4 ms  ✓ PrecompileTools
   9502.6 ms  ✓ Compat
   3418.0 ms  ✓ JLLWrappers
   2283.1 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   2291.3 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2509.2 ms  ✓ Atomix
