nice: cannot set niceness: Permission denied
Precompiling packages...
   1731.5 ms  ✓ OpenSSL_jll
   1699.6 ms  ✓ UUIDs
   1715.0 ms  ✓ Unicode
   1718.3 ms  ✓ Logging
   1794.8 ms  ✓ MozillaCACerts_jll
   1801.9 ms  ✓ Zlib_jll
   1806.6 ms  ✓ NetworkOptions
   1798.5 ms  ✓ nghttp2_jll
   1852.1 ms  ✓ Base64
   1895.7 ms  ✓ CompilerSupportLibraries_jll
    532.1 ms  ✓ LibSSH2_jll
    722.8 ms  ✓ Printf
    559.0 ms  ✓ p7zip_jll
    502.2 ms  ✓ LibCURL_jll
    511.2 ms  ✓ LibGit2_jll
   3334.4 ms  ✓ ArgTools
    747.5 ms  ✓ LibCURL
    628.7 ms  ✓ Tar
   2933.9 ms  ✓ Dates
    457.3 ms  ✓ TOML
   3164.1 ms  ✓ LibGit2
   3105.7 ms  ✓ Downloads
   9705.2 ms  ✓ StyledStrings
   1703.3 ms  ✓ JuliaSyntaxHighlighting
   3879.2 ms  ✓ Markdown
  47383.2 ms  ✓ Pkg
  26 dependencies successfully precompiled in 63 seconds
Precompiling packages...
   2352.2 ms  ✓ DataValueInterfaces
   2351.9 ms  ✓ Reexport
   2361.4 ms  ✓ RealDot
   2442.8 ms  ✓ OpenLibm_jll
   2518.2 ms  ✓ IteratorInterfaceExtensions
   3020.3 ms  ✓ Adapt
   3248.0 ms  ✓ AbstractFFTs
   3437.2 ms  ✓ Statistics
   3745.0 ms  ✓ DocStringExtensions
   4034.4 ms  ✓ EnzymeCore
   4146.8 ms  ✓ Serialization
   2408.7 ms  ✓ DataAPI
   2895.1 ms  ✓ StatsAPI
   5263.7 ms  ✓ FillArrays
   2881.6 ms  ✓ ProgressLogging
   2809.2 ms  ✓ Mmap
   2412.1 ms  ✓ Future
   3102.5 ms  ✓ SuiteSparse_jll
   2414.5 ms  ✓ PtrArrays
   2667.9 ms  ✓ SciMLPublic
   3774.9 ms  ✓ ADTypes
   2501.8 ms  ✓ HashArrayMappedTries
   2604.9 ms  ✓ StaticArraysCore
   4224.7 ms  ✓ Requires
   2294.4 ms  ✓ TableTraits
   4062.0 ms  ✓ Preferences
  10231.7 ms  ✓ ConstructionBase
   2400.1 ms  ✓ EnzymeCore → AdaptExt
  10666.3 ms  ✓ OrderedCollections
   3479.3 ms  ✓ GPUArraysCore
   5472.0 ms  ✓ LazyArtifacts
   2423.5 ms  ✓ FillArrays → FillArraysStatisticsExt
  10161.6 ms  ✓ ShowCases
  12816.0 ms  ✓ UnsafeAtomics
   2805.9 ms  ✓ DelimitedFiles
   9513.3 ms  ✓ CEnum
   3095.2 ms  ✓ AliasTables
   3085.9 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   2517.0 ms  ✓ ScopedValues
  14647.1 ms  ✓ IrrationalConstants
   2426.5 ms  ✓ PrecompileTools
   2695.6 ms  ✓ DiffResults
   9802.5 ms  ✓ Compat
   2685.1 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2488.5 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   3406.6 ms  ✓ JLLWrappers
   9430.9 ms  ✓ NaNMath
   2504.8 ms  ✓ Atomix
   2088.6 ms  ✓ Compat → CompatLinearAlgebraExt
   3082.4 ms  ✓ LogExpFunctions
   8404.2 ms  ✓ Missings
   2798.8 ms  ✓ OpenSpecFun_jll
  13015.2 ms  ✓ InteractiveUtils
  16118.4 ms  ✓ MacroTools
   7107.4 ms  ✓ DataStructures
   2475.1 ms  ✓ CommonSubexpressions
   5991.5 ms  ✓ LLVMExtra_jll
   3298.5 ms  ✓ SimpleTraits
   8929.8 ms  ✓ Tables
   2393.6 ms  ✓ SortingAlgorithms
  13875.2 ms  ✓ Distributed
   4900.1 ms  ✓ Setfield
   7382.1 ms  ✓ Functors
   8907.0 ms  ✓ ChainRulesCore
   2421.3 ms  ✓ MLDataDevices
   4268.3 ms  ✓ MLCore
   2390.7 ms  ✓ ADTypes → ADTypesChainRulesCoreExt
   2592.7 ms  ✓ AbstractFFTs → AbstractFFTsChainRulesCoreExt
   2590.6 ms  ✓ EnzymeCore → EnzymeCoreChainRulesCoreExt
  10375.1 ms  ✓ SpecialFunctions
   2398.8 ms  ✓ MLDataDevices → FillArraysExt
   3478.0 ms  ✓ ZygoteRules
   2582.9 ms  ✓ MLDataDevices → ChainRulesCoreExt
   6515.7 ms  ✓ StructArrays
  19599.6 ms  ✓ SparseArrays
  11486.2 ms  ✓ IRTools
   2391.3 ms  ✓ StructArrays → StructArraysAdaptExt
   2920.0 ms  ✓ DiffRules
   2537.1 ms  ✓ StructArrays → StructArraysLinearAlgebraExt
   3072.6 ms  ✓ Adapt → AdaptSparseArraysExt
   3203.7 ms  ✓ SuiteSparse
   3288.0 ms  ✓ Statistics → SparseArraysExt
   7086.1 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   3399.5 ms  ✓ FillArrays → FillArraysSparseArraysExt
   3338.0 ms  ✓ MLDataDevices → SparseArraysExt
   2736.5 ms  ✓ StructArrays → StructArraysSparseArraysExt
   1304.9 ms  ✓ SparseInverseSubset
   8907.3 ms  ✓ Optimisers
   5638.1 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   5518.0 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
    869.2 ms  ✓ Optimisers → OptimisersEnzymeCoreExt
    914.6 ms  ✓ Optimisers → OptimisersAdaptExt
   5904.3 ms  ✓ StatsBase
  24255.6 ms  ✓ StaticArrays
   1641.0 ms  ✓ Adapt → AdaptStaticArraysExt
   1722.6 ms  ✓ FillArrays → FillArraysStaticArraysExt
   1727.7 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   1947.0 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   8892.3 ms  ✓ ForwardDiff
   1006.9 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
   3823.7 ms  ✓ StructArrays → StructArraysStaticArraysExt
   4019.0 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
  21215.9 ms  ✓ LLVM
   1443.8 ms  ✓ UnsafeAtomics → UnsafeAtomicsLLVM
   9828.5 ms  ✓ ChainRules
   5176.3 ms  ✓ KernelAbstractions
   1156.7 ms  ✓ MLDataDevices → ChainRulesExt
    939.0 ms  ✓ KernelAbstractions → LinearAlgebraExt
   1023.7 ms  ✓ StructArrays → StructArraysGPUArraysCoreExt
   1042.2 ms  ✓ KernelAbstractions → EnzymeExt
   1141.1 ms  ✓ KernelAbstractions → SparseArraysExt
   4137.1 ms  ✓ NNlib
   1172.2 ms  ✓ NNlib → NNlibSpecialFunctionsExt
   1236.9 ms  ✓ NNlib → NNlibForwardDiffExt
   5177.9 ms  ✓ GPUArrays
   1369.4 ms  ✓ OneHotArrays
   1388.5 ms  ✓ NNlib → NNlibEnzymeCoreExt
    685.5 ms  ✓ MLDataDevices → OneHotArraysExt
   1470.3 ms  ✓ MLDataDevices → GPUArraysSparseArraysExt
  52092.5 ms  ✓ REPL
    786.1 ms  ✓ CodeTracking
   4621.4 ms  ✓ MLUtils
   7872.2 ms  ✓ Pkg → REPLExt
   3613.5 ms  ✓ MLDataDevices → MLUtilsExt
  35359.1 ms  ✓ Zygote
   1053.5 ms  ✓ MLDataDevices → ZygoteExt
   6507.9 ms  ✓ Flux
  127 dependencies successfully precompiled in 88 seconds. 26 already precompiled.
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +1.12.6 --project=F/Flux/Basic-Model-Gradient -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 449.02
	System time (seconds): 32.42
	Percent of CPU this job got: 316%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 2:32.20
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 2169480
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 449
	Minor (reclaiming a frame) page faults: 8595673
	Voluntary context switches: 24334
	Involuntary context switches: 30064
	Swaps: 0
	File system inputs: 0
	File system outputs: 898512
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
