nice: cannot set niceness: Permission denied
Precompiling packages...
   1522.0 ms  ✓ OpenSSL_jll
   1683.9 ms  ✓ Logging
   1773.0 ms  ✓ UUIDs
   1784.6 ms  ✓ Zlib_jll
   1793.7 ms  ✓ NetworkOptions
   1796.6 ms  ✓ MozillaCACerts_jll
   1862.3 ms  ✓ nghttp2_jll
   1883.2 ms  ✓ Unicode
   1885.1 ms  ✓ CompilerSupportLibraries_jll
   1981.3 ms  ✓ Base64
    734.3 ms  ✓ LibSSH2_jll
    599.2 ms  ✓ p7zip_jll
    687.4 ms  ✓ Printf
    514.4 ms  ✓ LibCURL_jll
    516.0 ms  ✓ LibGit2_jll
   3333.8 ms  ✓ ArgTools
    781.1 ms  ✓ LibCURL
    664.4 ms  ✓ Tar
   2913.0 ms  ✓ Dates
   3028.8 ms  ✓ LibGit2
    455.1 ms  ✓ TOML
   3029.3 ms  ✓ Downloads
   9591.5 ms  ✓ StyledStrings
   1671.2 ms  ✓ JuliaSyntaxHighlighting
   3899.1 ms  ✓ Markdown
  47500.7 ms  ✓ Pkg
  26 dependencies successfully precompiled in 63 seconds
Precompiling packages...
   2413.9 ms  ✓ DataValueInterfaces
   2494.8 ms  ✓ RealDot
   2493.0 ms  ✓ OpenLibm_jll
   2502.6 ms  ✓ Reexport
   2487.3 ms  ✓ IteratorInterfaceExtensions
   3190.3 ms  ✓ Adapt
   3287.8 ms  ✓ AbstractFFTs
   3482.1 ms  ✓ Statistics
   3891.5 ms  ✓ EnzymeCore
   3899.0 ms  ✓ DocStringExtensions
   4001.0 ms  ✓ Serialization
   5015.0 ms  ✓ FillArrays
   2685.3 ms  ✓ DataAPI
   2619.4 ms  ✓ StatsAPI
   2892.2 ms  ✓ Mmap
   2996.2 ms  ✓ ProgressLogging
   2492.8 ms  ✓ Future
   2391.0 ms  ✓ PtrArrays
   3090.7 ms  ✓ SuiteSparse_jll
   2587.7 ms  ✓ SciMLPublic
   3907.1 ms  ✓ ADTypes
   2774.5 ms  ✓ HashArrayMappedTries
   3011.1 ms  ✓ StaticArraysCore
   3824.4 ms  ✓ Preferences
  10002.4 ms  ✓ OrderedCollections
   2207.4 ms  ✓ TableTraits
  10187.5 ms  ✓ ConstructionBase
   4905.8 ms  ✓ Requires
   2501.1 ms  ✓ EnzymeCore → AdaptExt
   3510.0 ms  ✓ GPUArraysCore
   5192.3 ms  ✓ LazyArtifacts
  11669.3 ms  ✓ UnsafeAtomics
   9970.4 ms  ✓ ShowCases
   2505.3 ms  ✓ FillArrays → FillArraysStatisticsExt
   2799.2 ms  ✓ DelimitedFiles
   9599.6 ms  ✓ CEnum
   2397.8 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   3600.5 ms  ✓ AliasTables
   2603.9 ms  ✓ ScopedValues
  14384.9 ms  ✓ IrrationalConstants
   3102.3 ms  ✓ DiffResults
   2742.1 ms  ✓ PrecompileTools
   3009.9 ms  ✓ JLLWrappers
  10297.6 ms  ✓ Compat
   2602.5 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2601.0 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   2797.4 ms  ✓ Atomix
   3013.4 ms  ✓ LogExpFunctions
   9990.2 ms  ✓ NaNMath
   2021.7 ms  ✓ Compat → CompatLinearAlgebraExt
   8380.4 ms  ✓ Missings
   2905.7 ms  ✓ OpenSpecFun_jll
  13015.9 ms  ✓ InteractiveUtils
  16112.7 ms  ✓ MacroTools
   7508.0 ms  ✓ DataStructures
   6184.5 ms  ✓ LLVMExtra_jll
   2403.6 ms  ✓ CommonSubexpressions
   9001.7 ms  ✓ Tables
   3494.6 ms  ✓ SimpleTraits
   2492.5 ms  ✓ SortingAlgorithms
  14298.7 ms  ✓ Distributed
   4902.6 ms  ✓ Setfield
   7138.7 ms  ✓ Functors
   3196.9 ms  ✓ MLCore
   8910.9 ms  ✓ ChainRulesCore
   2070.3 ms  ✓ MLDataDevices
   9506.7 ms  ✓ SpecialFunctions
   2290.8 ms  ✓ AbstractFFTs → AbstractFFTsChainRulesCoreExt
   6770.2 ms  ✓ StructArrays
   2686.7 ms  ✓ EnzymeCore → EnzymeCoreChainRulesCoreExt
  10187.4 ms  ✓ IRTools
   2881.1 ms  ✓ ADTypes → ADTypesChainRulesCoreExt
   2600.7 ms  ✓ MLDataDevices → FillArraysExt
   2997.5 ms  ✓ MLDataDevices → ChainRulesCoreExt
   3405.8 ms  ✓ ZygoteRules
   2475.5 ms  ✓ DiffRules
   1416.0 ms  ✓ StructArrays → StructArraysAdaptExt
  20216.1 ms  ✓ SparseArrays
   1704.2 ms  ✓ StructArrays → StructArraysLinearAlgebraExt
   6376.1 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   2668.6 ms  ✓ SuiteSparse
   2876.9 ms  ✓ Adapt → AdaptSparseArraysExt
   2886.0 ms  ✓ Statistics → SparseArraysExt
   3001.0 ms  ✓ StructArrays → StructArraysSparseArraysExt
   3011.8 ms  ✓ MLDataDevices → SparseArraysExt
   3054.9 ms  ✓ FillArrays → FillArraysSparseArraysExt
   1312.8 ms  ✓ SparseInverseSubset
   6820.9 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   8463.1 ms  ✓ Optimisers
   5321.0 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
    926.2 ms  ✓ Optimisers → OptimisersEnzymeCoreExt
   1028.0 ms  ✓ Optimisers → OptimisersAdaptExt
  24606.9 ms  ✓ StaticArrays
   6280.7 ms  ✓ StatsBase
  10505.5 ms  ✓ ForwardDiff
   1901.7 ms  ✓ Adapt → AdaptStaticArraysExt
   1902.0 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   2012.8 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   2076.8 ms  ✓ FillArrays → FillArraysStaticArraysExt
   1610.9 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
   4295.1 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   4437.2 ms  ✓ StructArrays → StructArraysStaticArraysExt
  22625.3 ms  ✓ LLVM
   1609.9 ms  ✓ UnsafeAtomics → UnsafeAtomicsLLVM
  10376.2 ms  ✓ ChainRules
   5671.5 ms  ✓ KernelAbstractions
   1344.5 ms  ✓ MLDataDevices → ChainRulesExt
   1090.8 ms  ✓ StructArrays → StructArraysGPUArraysCoreExt
   1113.7 ms  ✓ KernelAbstractions → LinearAlgebraExt
   1137.1 ms  ✓ KernelAbstractions → EnzymeExt
   1243.4 ms  ✓ KernelAbstractions → SparseArraysExt
   4380.0 ms  ✓ NNlib
   1473.1 ms  ✓ NNlib → NNlibSpecialFunctionsExt
   1614.5 ms  ✓ NNlib → NNlibForwardDiffExt
   1795.0 ms  ✓ NNlib → NNlibEnzymeCoreExt
   1918.8 ms  ✓ OneHotArrays
   6381.1 ms  ✓ GPUArrays
    811.5 ms  ✓ MLDataDevices → OneHotArraysExt
   1813.4 ms  ✓ MLDataDevices → GPUArraysSparseArraysExt
  54862.1 ms  ✓ REPL
    812.4 ms  ✓ CodeTracking
   3095.7 ms  ✓ MLUtils
   5538.9 ms  ✓ Pkg → REPLExt
   1657.9 ms  ✓ MLDataDevices → MLUtilsExt
  41210.4 ms  ✓ Zygote
   1108.4 ms  ✓ MLDataDevices → ZygoteExt
   7349.6 ms  ✓ Flux
  127 dependencies successfully precompiled in 96 seconds. 26 already precompiled.
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +release --project=F/Flux/Basic-Model-Gradient -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 471.58
	System time (seconds): 32.77
	Percent of CPU this job got: 314%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 2:40.29
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 2173992
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 427
	Minor (reclaiming a frame) page faults: 8599123
	Voluntary context switches: 23266
	Involuntary context switches: 31468
	Swaps: 0
	File system inputs: 0
	File system outputs: 894448
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
