nice: cannot set niceness: Permission denied
Precompiling packages...
   1623.9 ms  ✓ Zlib_jll
   1612.0 ms  ✓ MozillaCACerts_jll
   1656.2 ms  ✓ OpenSSL_jll
   1635.2 ms  ✓ Logging
   1696.5 ms  ✓ UUIDs
   1680.6 ms  ✓ nghttp2_jll
   1752.7 ms  ✓ NetworkOptions
   1754.1 ms  ✓ Unicode
   1824.8 ms  ✓ CompilerSupportLibraries_jll
   1827.7 ms  ✓ Base64
    591.1 ms  ✓ LibSSH2_jll
    597.0 ms  ✓ p7zip_jll
    701.2 ms  ✓ Printf
    485.7 ms  ✓ LibCURL_jll
    487.4 ms  ✓ LibGit2_jll
   3213.2 ms  ✓ ArgTools
    762.6 ms  ✓ LibCURL
    658.3 ms  ✓ Tar
   3031.6 ms  ✓ Dates
   3121.5 ms  ✓ LibGit2
    633.5 ms  ✓ TOML
   3023.2 ms  ✓ Downloads
   9502.8 ms  ✓ StyledStrings
   1725.9 ms  ✓ JuliaSyntaxHighlighting
   3918.6 ms  ✓ Markdown
  48085.5 ms  ✓ Pkg
  26 dependencies successfully precompiled in 63 seconds
Precompiling packages...
   2455.6 ms  ✓ DataValueInterfaces
   2460.8 ms  ✓ OpenLibm_jll
   2549.9 ms  ✓ RealDot
   2655.0 ms  ✓ Reexport
   2797.9 ms  ✓ IteratorInterfaceExtensions
   3354.1 ms  ✓ AbstractFFTs
   3339.7 ms  ✓ Adapt
   3537.2 ms  ✓ Statistics
   3916.9 ms  ✓ DocStringExtensions
   4149.3 ms  ✓ EnzymeCore
   4527.9 ms  ✓ Serialization
   2703.0 ms  ✓ DataAPI
   2781.4 ms  ✓ StatsAPI
   5346.0 ms  ✓ FillArrays
   3191.3 ms  ✓ ProgressLogging
   2220.9 ms  ✓ Future
   3000.9 ms  ✓ Mmap
   3062.5 ms  ✓ SuiteSparse_jll
   2736.3 ms  ✓ PtrArrays
   2600.8 ms  ✓ SciMLPublic
   3908.6 ms  ✓ ADTypes
   2807.2 ms  ✓ StaticArraysCore
   2878.0 ms  ✓ HashArrayMappedTries
   3725.7 ms  ✓ Preferences
  10359.1 ms  ✓ OrderedCollections
  10536.6 ms  ✓ ConstructionBase
   2815.3 ms  ✓ TableTraits
   4903.9 ms  ✓ Requires
   3425.3 ms  ✓ GPUArraysCore
  12214.7 ms  ✓ UnsafeAtomics
   9813.9 ms  ✓ ShowCases
   2692.0 ms  ✓ EnzymeCore → AdaptExt
  10324.1 ms  ✓ BFloat16s
   5519.2 ms  ✓ LazyArtifacts
   3184.5 ms  ✓ FillArrays → FillArraysStatisticsExt
   3311.0 ms  ✓ DelimitedFiles
   9289.8 ms  ✓ CEnum
  14649.8 ms  ✓ IrrationalConstants
   2702.8 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   2998.7 ms  ✓ AliasTables
   2681.9 ms  ✓ DiffResults
   3001.2 ms  ✓ PrecompileTools
  10209.3 ms  ✓ Compat
   3497.4 ms  ✓ ScopedValues
   2511.5 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   3005.3 ms  ✓ JLLWrappers
   2680.1 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   9483.3 ms  ✓ NaNMath
   2508.4 ms  ✓ Atomix
   2930.4 ms  ✓ LogExpFunctions
   2088.6 ms  ✓ Compat → CompatLinearAlgebraExt
   8988.2 ms  ✓ Missings
   2709.7 ms  ✓ OpenSpecFun_jll
  12693.4 ms  ✓ InteractiveUtils
  16601.1 ms  ✓ MacroTools
   7288.2 ms  ✓ DataStructures
   2412.9 ms  ✓ CommonSubexpressions
   6111.7 ms  ✓ LLVMExtra_jll
   3470.8 ms  ✓ SimpleTraits
  13888.8 ms  ✓ Distributed
   2598.1 ms  ✓ SortingAlgorithms
   9290.5 ms  ✓ Tables
   4813.8 ms  ✓ Setfield
   6988.3 ms  ✓ Functors
   8293.8 ms  ✓ ChainRulesCore
   2904.0 ms  ✓ MLCore
   2511.4 ms  ✓ MLDataDevices
   2206.1 ms  ✓ AbstractFFTs → AbstractFFTsChainRulesCoreExt
   2369.0 ms  ✓ ADTypes → ADTypesChainRulesCoreExt
   2502.3 ms  ✓ EnzymeCore → EnzymeCoreChainRulesCoreExt
  10159.2 ms  ✓ SpecialFunctions
  10008.9 ms  ✓ IRTools
   3321.2 ms  ✓ ZygoteRules
   2270.4 ms  ✓ MLDataDevices → FillArraysExt
   2490.4 ms  ✓ MLDataDevices → ChainRulesCoreExt
   6717.3 ms  ✓ StructArrays
  19096.8 ms  ✓ SparseArrays
   5795.5 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   2799.1 ms  ✓ DiffRules
   2286.5 ms  ✓ StructArrays → StructArraysAdaptExt
   2551.8 ms  ✓ StructArrays → StructArraysLinearAlgebraExt
   2806.2 ms  ✓ SuiteSparse
   2894.2 ms  ✓ Adapt → AdaptSparseArraysExt
   2916.9 ms  ✓ Statistics → SparseArraysExt
   3090.6 ms  ✓ MLDataDevices → SparseArraysExt
   3189.9 ms  ✓ FillArrays → FillArraysSparseArraysExt
   3358.8 ms  ✓ StructArrays → StructArraysSparseArraysExt
   1465.2 ms  ✓ SparseInverseSubset
   8837.4 ms  ✓ Optimisers
   6126.9 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
    976.2 ms  ✓ Optimisers → OptimisersEnzymeCoreExt
    946.4 ms  ✓ Optimisers → OptimisersAdaptExt
   5610.0 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   5812.2 ms  ✓ StatsBase
  23710.1 ms  ✓ StaticArrays
   1585.5 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   1673.1 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   9084.2 ms  ✓ ForwardDiff
   1850.3 ms  ✓ Adapt → AdaptStaticArraysExt
   1870.6 ms  ✓ FillArrays → FillArraysStaticArraysExt
   1037.4 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
   3464.2 ms  ✓ StructArrays → StructArraysStaticArraysExt
   3480.1 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
  21027.7 ms  ✓ LLVM
    957.7 ms  ✓ LLVM → BFloat16sExt
   1572.3 ms  ✓ UnsafeAtomics → UnsafeAtomicsLLVM
   9353.5 ms  ✓ ChainRules
   4997.3 ms  ✓ KernelAbstractions
   1158.1 ms  ✓ MLDataDevices → ChainRulesExt
    939.1 ms  ✓ KernelAbstractions → LinearAlgebraExt
   1011.7 ms  ✓ StructArrays → StructArraysGPUArraysCoreExt
   1037.9 ms  ✓ KernelAbstractions → EnzymeExt
   1137.2 ms  ✓ KernelAbstractions → SparseArraysExt
   4196.8 ms  ✓ NNlib
   4990.4 ms  ✓ GPUArrays
   1218.0 ms  ✓ NNlib → NNlibSpecialFunctionsExt
   1259.8 ms  ✓ NNlib → NNlibForwardDiffExt
   1390.7 ms  ✓ NNlib → NNlibEnzymeCoreExt
   1406.7 ms  ✓ OneHotArrays
    715.6 ms  ✓ MLDataDevices → OneHotArraysExt
   1608.8 ms  ✓ MLDataDevices → GPUArraysSparseArraysExt
  47925.0 ms  ✓ REPL
    778.3 ms  ✓ CodeTracking
   2810.2 ms  ✓ MLUtils
   4830.7 ms  ✓ Pkg → REPLExt
   1677.7 ms  ✓ MLDataDevices → MLUtilsExt
  33330.4 ms  ✓ Zygote
   1078.5 ms  ✓ MLDataDevices → ZygoteExt
   6657.7 ms  ✓ Flux
  129 dependencies successfully precompiled in 87 seconds. 26 already precompiled.
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +1.12.6 --project=F/Flux/Basic-Model-Gradient -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 442.01
	System time (seconds): 32.51
	Percent of CPU this job got: 312%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 2:31.91
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 2174596
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 435
	Minor (reclaiming a frame) page faults: 8709187
	Voluntary context switches: 25038
	Involuntary context switches: 31027
	Swaps: 0
	File system inputs: 0
	File system outputs: 898440
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
