nice: cannot set niceness: Permission denied
Precompiling packages...
   1491.7 ms  ✓ Logging
   1586.3 ms  ✓ Zlib_jll
   1581.8 ms  ✓ MozillaCACerts_jll
   1617.4 ms  ✓ OpenSSL_jll
   1674.0 ms  ✓ Unicode
   1694.2 ms  ✓ UUIDs
   1709.5 ms  ✓ NetworkOptions
   1764.9 ms  ✓ CompilerSupportLibraries_jll
   1764.1 ms  ✓ nghttp2_jll
   1796.3 ms  ✓ Base64
    549.3 ms  ✓ LibSSH2_jll
    559.6 ms  ✓ p7zip_jll
    710.0 ms  ✓ Printf
    496.2 ms  ✓ LibGit2_jll
    502.1 ms  ✓ LibCURL_jll
   3225.3 ms  ✓ ArgTools
    767.5 ms  ✓ LibCURL
    652.2 ms  ✓ Tar
   2960.4 ms  ✓ Dates
   3043.4 ms  ✓ LibGit2
    450.0 ms  ✓ TOML
   3154.9 ms  ✓ Downloads
   9350.2 ms  ✓ StyledStrings
   1632.4 ms  ✓ JuliaSyntaxHighlighting
   3852.5 ms  ✓ Markdown
  47958.9 ms  ✓ Pkg
  26 dependencies successfully precompiled in 63 seconds
Precompiling packages...
   2396.9 ms  ✓ IteratorInterfaceExtensions
   2433.9 ms  ✓ RealDot
   2511.6 ms  ✓ Reexport
   2548.9 ms  ✓ DataValueInterfaces
   2740.8 ms  ✓ OpenLibm_jll
   3213.8 ms  ✓ Adapt
   3229.2 ms  ✓ Statistics
   3330.9 ms  ✓ AbstractFFTs
   3436.4 ms  ✓ DocStringExtensions
   3833.1 ms  ✓ Serialization
   4543.1 ms  ✓ EnzymeCore
   2704.7 ms  ✓ StatsAPI
   5344.3 ms  ✓ FillArrays
   3020.2 ms  ✓ DataAPI
   2404.6 ms  ✓ Future
   3393.9 ms  ✓ ProgressLogging
   2886.9 ms  ✓ Mmap
   2404.4 ms  ✓ PtrArrays
   3098.0 ms  ✓ SuiteSparse_jll
   2714.9 ms  ✓ StaticArraysCore
   2798.1 ms  ✓ HashArrayMappedTries
   2497.7 ms  ✓ TableTraits
   3992.9 ms  ✓ Requires
   3574.0 ms  ✓ Preferences
  10015.0 ms  ✓ ConstructionBase
  10651.9 ms  ✓ OrderedCollections
   3308.0 ms  ✓ GPUArraysCore
   5211.7 ms  ✓ LazyArtifacts
   2385.6 ms  ✓ EnzymeCore → AdaptExt
   9419.2 ms  ✓ ShowCases
   2826.7 ms  ✓ FillArrays → FillArraysStatisticsExt
  12401.3 ms  ✓ UnsafeAtomics
  10196.4 ms  ✓ BFloat16s
   9298.5 ms  ✓ CEnum
   3292.0 ms  ✓ DelimitedFiles
   2790.2 ms  ✓ AliasTables
   2597.1 ms  ✓ ScopedValues
   2736.7 ms  ✓ DiffResults
  14618.1 ms  ✓ IrrationalConstants
   2694.7 ms  ✓ PrecompileTools
   3409.6 ms  ✓ JLLWrappers
   3097.0 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
  10503.8 ms  ✓ Compat
   2701.5 ms  ✓ Atomix
   9995.6 ms  ✓ NaNMath
   3284.2 ms  ✓ LogExpFunctions
   3100.6 ms  ✓ SciMLPublic
   2287.5 ms  ✓ Compat → CompatLinearAlgebraExt
   2984.0 ms  ✓ OpenSpecFun_jll
   9304.7 ms  ✓ Missings
  13319.4 ms  ✓ InteractiveUtils
   4498.1 ms  ✓ ADTypes
  17199.1 ms  ✓ MacroTools
   2494.3 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   8290.6 ms  ✓ DataStructures
   2806.7 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   7099.5 ms  ✓ LLVMExtra_jll
   2910.6 ms  ✓ CommonSubexpressions
  15115.9 ms  ✓ Distributed
   3613.9 ms  ✓ SimpleTraits
   2497.6 ms  ✓ SortingAlgorithms
  10913.6 ms  ✓ Tables
   4917.1 ms  ✓ Setfield
   7507.6 ms  ✓ Functors
