nice: cannot set niceness: Permission denied
Precompiling packages...
   1623.2 ms  ✓ UUIDs
   1625.5 ms  ✓ Zlib_jll
   1745.6 ms  ✓ OpenSSL_jll
   1717.6 ms  ✓ MozillaCACerts_jll
   1725.8 ms  ✓ NetworkOptions
   1726.8 ms  ✓ Unicode
   1808.4 ms  ✓ Logging
   1807.2 ms  ✓ Base64
   1817.1 ms  ✓ CompilerSupportLibraries_jll
   1845.1 ms  ✓ nghttp2_jll
    515.6 ms  ✓ LibSSH2_jll
    589.0 ms  ✓ p7zip_jll
    718.2 ms  ✓ Printf
    485.3 ms  ✓ LibGit2_jll
    483.0 ms  ✓ LibCURL_jll
   3271.8 ms  ✓ ArgTools
    771.2 ms  ✓ LibCURL
    663.5 ms  ✓ Tar
   2974.0 ms  ✓ Dates
   3152.0 ms  ✓ LibGit2
    463.4 ms  ✓ TOML
   3052.9 ms  ✓ Downloads
   9483.7 ms  ✓ StyledStrings
   1672.9 ms  ✓ JuliaSyntaxHighlighting
   3869.5 ms  ✓ Markdown
  47765.4 ms  ✓ Pkg
  26 dependencies successfully precompiled in 63 seconds
Precompiling packages...
   2397.5 ms  ✓ DataValueInterfaces
   2417.9 ms  ✓ RealDot
   2505.8 ms  ✓ OpenLibm_jll
   2505.1 ms  ✓ Reexport
   2578.4 ms  ✓ IteratorInterfaceExtensions
   3178.8 ms  ✓ AbstractFFTs
   3188.2 ms  ✓ Adapt
   3411.4 ms  ✓ DocStringExtensions
   3694.5 ms  ✓ Statistics
   3716.5 ms  ✓ Serialization
   3810.3 ms  ✓ EnzymeCore
   2581.0 ms  ✓ StatsAPI
   2682.6 ms  ✓ DataAPI
   5109.6 ms  ✓ FillArrays
   2809.0 ms  ✓ Mmap
   2910.1 ms  ✓ SuiteSparse_jll
   2495.0 ms  ✓ Future
   2498.6 ms  ✓ PtrArrays
   2725.3 ms  ✓ HashArrayMappedTries
   3080.5 ms  ✓ StaticArraysCore
   4697.9 ms  ✓ Requires
   3696.0 ms  ✓ Preferences
  10301.0 ms  ✓ ConstructionBase
   2325.9 ms  ✓ TableTraits
  10418.1 ms  ✓ OrderedCollections
   2902.0 ms  ✓ ProgressLogging
  11217.3 ms  ✓ UnsafeAtomics
   5282.8 ms  ✓ LazyArtifacts
  10001.3 ms  ✓ NaNMath
  10409.9 ms  ✓ BFloat16s
   2702.2 ms  ✓ EnzymeCore → AdaptExt
  10604.7 ms  ✓ ShowCases
   2793.6 ms  ✓ FillArrays → FillArraysStatisticsExt
   9503.1 ms  ✓ CEnum
   3613.1 ms  ✓ GPUArraysCore
   2800.4 ms  ✓ DelimitedFiles
   2920.4 ms  ✓ AliasTables
  14493.7 ms  ✓ IrrationalConstants
   2586.6 ms  ✓ ScopedValues
   9314.6 ms  ✓ Compat
   2491.0 ms  ✓ DiffResults
   2304.6 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2705.3 ms  ✓ PrecompileTools
   2493.1 ms  ✓ Atomix
   3091.0 ms  ✓ JLLWrappers
   2000.2 ms  ✓ Compat → CompatLinearAlgebraExt
   3005.7 ms  ✓ LogExpFunctions
   2902.3 ms  ✓ SciMLPublic
   8504.1 ms  ✓ Missings
  12877.6 ms  ✓ InteractiveUtils
   3209.9 ms  ✓ OpenSpecFun_jll
   4090.5 ms  ✓ ADTypes
  16758.3 ms  ✓ MacroTools
   8186.6 ms  ✓ DataStructures
   2290.0 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   2493.6 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   3032.8 ms  ✓ CommonSubexpressions
   7108.7 ms  ✓ LLVMExtra_jll
   3806.9 ms  ✓ SimpleTraits
   2507.5 ms  ✓ SortingAlgorithms
  14199.7 ms  ✓ Distributed
  11388.2 ms  ✓ Tables
   5014.5 ms  ✓ Setfield
   7980.4 ms  ✓ Functors
   2012.7 ms  ✓ MLDataDevices
  10113.7 ms  ✓ ChainRulesCore
   3689.6 ms  ✓ MLCore
  10291.1 ms  ✓ SpecialFunctions
   2404.0 ms  ✓ ADTypes → ADTypesChainRulesCoreExt
   2501.6 ms  ✓ AbstractFFTs → AbstractFFTsChainRulesCoreExt
   2695.0 ms  ✓ MLDataDevices → FillArraysExt
   2811.9 ms  ✓ EnzymeCore → EnzymeCoreChainRulesCoreExt
  10218.6 ms  ✓ IRTools
   3020.8 ms  ✓ MLDataDevices → ChainRulesCoreExt
  19329.5 ms  ✓ SparseArrays
   3578.6 ms  ✓ ZygoteRules
   6690.5 ms  ✓ StructArrays
   3085.5 ms  ✓ DiffRules
   2981.6 ms  ✓ SuiteSparse
   3369.8 ms  ✓ Statistics → SparseArraysExt
   2598.3 ms  ✓ StructArrays → StructArraysLinearAlgebraExt
   3481.9 ms  ✓ Adapt → AdaptSparseArraysExt
   3437.6 ms  ✓ MLDataDevices → SparseArraysExt
   3682.2 ms  ✓ FillArrays → FillArraysSparseArraysExt
   2908.3 ms  ✓ StructArrays → StructArraysAdaptExt
   3005.6 ms  ✓ StructArrays → StructArraysSparseArraysExt
   7201.5 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   1908.6 ms  ✓ SparseInverseSubset
   6124.9 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   8719.7 ms  ✓ Optimisers
   5809.9 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
    834.8 ms  ✓ Optimisers → OptimisersEnzymeCoreExt
    913.5 ms  ✓ Optimisers → OptimisersAdaptExt
   6103.7 ms  ✓ StatsBase
  24399.5 ms  ✓ StaticArrays
   1472.9 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   1668.7 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   1705.4 ms  ✓ Adapt → AdaptStaticArraysExt
   1876.7 ms  ✓ FillArrays → FillArraysStaticArraysExt
   9521.8 ms  ✓ ForwardDiff
   1089.0 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
   3507.1 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   3615.2 ms  ✓ StructArrays → StructArraysStaticArraysExt
  21498.3 ms  ✓ LLVM
    975.6 ms  ✓ LLVM → BFloat16sExt
   9722.8 ms  ✓ ChainRules
   1698.9 ms  ✓ UnsafeAtomics → UnsafeAtomicsLLVM
   1019.9 ms  ✓ MLDataDevices → ChainRulesExt
   5471.6 ms  ✓ KernelAbstractions
    890.9 ms  ✓ KernelAbstractions → LinearAlgebraExt
    933.3 ms  ✓ KernelAbstractions → EnzymeExt
    944.4 ms  ✓ StructArrays → StructArraysGPUArraysCoreExt
   1067.8 ms  ✓ KernelAbstractions → SparseArraysExt
   4081.6 ms  ✓ NNlib
   1214.1 ms  ✓ NNlib → NNlibSpecialFunctionsExt
   1257.3 ms  ✓ NNlib → NNlibForwardDiffExt
   1363.8 ms  ✓ NNlib → NNlibEnzymeCoreExt
   1404.8 ms  ✓ OneHotArrays
   5337.7 ms  ✓ GPUArrays
    701.0 ms  ✓ MLDataDevices → OneHotArraysExt
   1562.3 ms  ✓ MLDataDevices → GPUArraysSparseArraysExt
  49321.9 ms  ✓ REPL
    739.2 ms  ✓ CodeTracking
   2830.7 ms  ✓ MLUtils
   4848.3 ms  ✓ Pkg → REPLExt
   1516.6 ms  ✓ MLDataDevices → MLUtilsExt
  32820.9 ms  ✓ Zygote
   1069.8 ms  ✓ MLDataDevices → ZygoteExt
   6529.9 ms  ✓ Flux
  129 dependencies successfully precompiled in 87 seconds. 26 already precompiled.
  24 dependencies precompiled but different versions are currently loaded (ArgTools, Base64, Dates, Downloads, JuliaSyntaxHighlighting, LibCURL, LibCURL_jll, LibGit2, LibGit2_jll, LibSSH2_jll, Logging, Markdown, MozillaCACerts_jll, NetworkOptions, OpenSSL_jll, Pkg, Printf, StyledStrings, TOML, Tar, UUIDs, Zlib_jll, nghttp2_jll and p7zip_jll). Restart julia to access the new versions. Otherwise, 74 dependents of these packages may trigger further precompilation to work with the unexpected versions.
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +1.12.7 --project=F/Flux/Basic-Model-Gradient -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 443.83
	System time (seconds): 32.41
	Percent of CPU this job got: 315%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 2:30.83
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 2211040
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 462
	Minor (reclaiming a frame) page faults: 8788475
	Voluntary context switches: 25163
	Involuntary context switches: 29214
	Swaps: 0
	File system inputs: 0
	File system outputs: 905472
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
