nice: cannot set niceness: Permission denied
Precompiling packages...
   1669.8 ms  ✓ CompilerSupportLibraries_jll
   1674.7 ms  ✓ Logging
   1665.9 ms  ✓ nghttp2_jll
   1687.1 ms  ✓ Zlib_jll
   1688.8 ms  ✓ UUIDs
   1752.8 ms  ✓ MozillaCACerts_jll
   1798.8 ms  ✓ OpenSSL_jll
   1791.2 ms  ✓ Unicode
   1788.7 ms  ✓ Base64
   1809.3 ms  ✓ NetworkOptions
    463.6 ms  ✓ LibSSH2_jll
    606.2 ms  ✓ p7zip_jll
    660.0 ms  ✓ Printf
    471.0 ms  ✓ LibGit2_jll
    479.3 ms  ✓ LibCURL_jll
   3297.4 ms  ✓ ArgTools
    810.9 ms  ✓ LibCURL
    641.5 ms  ✓ Tar
   2922.6 ms  ✓ Dates
   3037.0 ms  ✓ LibGit2
    455.2 ms  ✓ TOML
   2953.9 ms  ✓ Downloads
   9636.3 ms  ✓ StyledStrings
   1693.8 ms  ✓ JuliaSyntaxHighlighting
   3842.5 ms  ✓ Markdown
  48030.7 ms  ✓ Pkg
  26 dependencies successfully precompiled in 63 seconds
Precompiling packages...
   2427.3 ms  ✓ DataValueInterfaces
   2425.2 ms  ✓ RealDot
   2668.5 ms  ✓ IteratorInterfaceExtensions
   2716.6 ms  ✓ Reexport
   2896.0 ms  ✓ OpenLibm_jll
   3104.4 ms  ✓ Adapt
   3238.6 ms  ✓ AbstractFFTs
   3509.8 ms  ✓ Statistics
   3715.3 ms  ✓ DocStringExtensions
   4005.1 ms  ✓ Serialization
   4020.1 ms  ✓ EnzymeCore
   2493.9 ms  ✓ DataAPI
   5125.7 ms  ✓ FillArrays
   2872.3 ms  ✓ StatsAPI
   3099.9 ms  ✓ ProgressLogging
   2697.5 ms  ✓ Mmap
   2503.1 ms  ✓ Future
   2421.6 ms  ✓ PtrArrays
   3289.9 ms  ✓ SuiteSparse_jll
   2812.7 ms  ✓ HashArrayMappedTries
   3180.4 ms  ✓ StaticArraysCore
   2594.1 ms  ✓ TableTraits
   3686.5 ms  ✓ Preferences
   4330.1 ms  ✓ Requires
  10129.7 ms  ✓ OrderedCollections
  10709.1 ms  ✓ ConstructionBase
   3322.8 ms  ✓ GPUArraysCore
   5197.3 ms  ✓ LazyArtifacts
   2513.1 ms  ✓ EnzymeCore → AdaptExt
   9430.3 ms  ✓ ShowCases
  12186.4 ms  ✓ UnsafeAtomics
   2798.9 ms  ✓ FillArrays → FillArraysStatisticsExt
  10134.0 ms  ✓ BFloat16s
   9404.3 ms  ✓ CEnum
   3288.1 ms  ✓ DelimitedFiles
  14110.7 ms  ✓ IrrationalConstants
   3398.4 ms  ✓ AliasTables
   2695.6 ms  ✓ DiffResults
   2873.3 ms  ✓ PrecompileTools
   3297.9 ms  ✓ ScopedValues
   3079.5 ms  ✓ JLLWrappers
  10200.8 ms  ✓ Compat
   2483.4 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2866.4 ms  ✓ Atomix
   9491.7 ms  ✓ NaNMath
   3487.7 ms  ✓ LogExpFunctions
   3199.2 ms  ✓ SciMLPublic
   2025.1 ms  ✓ Compat → CompatLinearAlgebraExt
   9490.3 ms  ✓ Missings
