nice: cannot set niceness: Permission denied
Precompiling packages...
   1694.5 ms  ✓ Zlib_jll
   1696.5 ms  ✓ UUIDs
   1740.7 ms  ✓ OpenSSL_jll
   1791.1 ms  ✓ Logging
   1781.3 ms  ✓ MozillaCACerts_jll
   1797.7 ms  ✓ CompilerSupportLibraries_jll
   1791.4 ms  ✓ nghttp2_jll
   1831.0 ms  ✓ NetworkOptions
   1840.8 ms  ✓ Unicode
   1911.8 ms  ✓ Base64
    565.1 ms  ✓ LibSSH2_jll
    617.3 ms  ✓ p7zip_jll
    702.4 ms  ✓ Printf
    523.9 ms  ✓ LibGit2_jll
    511.4 ms  ✓ LibCURL_jll
   3353.5 ms  ✓ ArgTools
    755.5 ms  ✓ LibCURL
    648.8 ms  ✓ Tar
   3015.6 ms  ✓ Dates
   3079.6 ms  ✓ LibGit2
    447.9 ms  ✓ TOML
   3085.7 ms  ✓ Downloads
   9539.0 ms  ✓ StyledStrings
   1655.4 ms  ✓ JuliaSyntaxHighlighting
   4011.0 ms  ✓ Markdown
  50614.7 ms  ✓ Pkg
  26 dependencies successfully precompiled in 66 seconds
Precompiling packages...
   2376.8 ms  ✓ DataValueInterfaces
   2482.8 ms  ✓ OpenLibm_jll
   2487.7 ms  ✓ Reexport
   2676.7 ms  ✓ RealDot
   2965.1 ms  ✓ Adapt
   3081.6 ms  ✓ IteratorInterfaceExtensions
   3142.9 ms  ✓ Statistics
   3192.2 ms  ✓ AbstractFFTs
   3580.8 ms  ✓ DocStringExtensions
   3681.3 ms  ✓ EnzymeCore
   4091.7 ms  ✓ Serialization
   2512.2 ms  ✓ StatsAPI
   2705.0 ms  ✓ DataAPI
   5404.4 ms  ✓ FillArrays
   2900.9 ms  ✓ ProgressLogging
   2417.4 ms  ✓ TableTraits
   2295.3 ms  ✓ Future
   2742.7 ms  ✓ Mmap
   3199.3 ms  ✓ PtrArrays
   2701.8 ms  ✓ StaticArraysCore
   2911.1 ms  ✓ HashArrayMappedTries
   3904.5 ms  ✓ Preferences
   4493.4 ms  ✓ Requires
  10261.9 ms  ✓ ConstructionBase
  10288.6 ms  ✓ OrderedCollections
   3296.5 ms  ✓ SuiteSparse_jll
   5573.5 ms  ✓ LazyArtifacts
   3829.5 ms  ✓ GPUArraysCore
   2389.6 ms  ✓ EnzymeCore → AdaptExt
   9702.4 ms  ✓ ShowCases
  12203.0 ms  ✓ UnsafeAtomics
   9984.3 ms  ✓ BFloat16s
   9303.9 ms  ✓ CEnum
   3202.9 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2410.9 ms  ✓ DiffResults
   2499.5 ms  ✓ ScopedValues
   3195.2 ms  ✓ DelimitedFiles
  14757.1 ms  ✓ IrrationalConstants
   3315.3 ms  ✓ AliasTables
   9214.5 ms  ✓ Compat
   2799.4 ms  ✓ PrecompileTools
   3212.3 ms  ✓ JLLWrappers
   2912.8 ms  ✓ FillArrays → FillArraysStatisticsExt
   2698.0 ms  ✓ Atomix
  10206.5 ms  ✓ NaNMath
   2794.3 ms  ✓ Compat → CompatLinearAlgebraExt
   3401.9 ms  ✓ LogExpFunctions
   3613.4 ms  ✓ SciMLPublic
   8917.1 ms  ✓ Missings
   3389.7 ms  ✓ OpenSpecFun_jll
  13491.9 ms  ✓ InteractiveUtils
   4341.0 ms  ✓ ADTypes
   1979.5 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   2096.2 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   8206.4 ms  ✓ DataStructures
  18562.3 ms  ✓ MacroTools
   6980.7 ms  ✓ LLVMExtra_jll
   2385.4 ms  ✓ SortingAlgorithms
   2533.3 ms  ✓ CommonSubexpressions
  11585.1 ms  ✓ Tables
  15301.7 ms  ✓ Distributed
   3602.3 ms  ✓ SimpleTraits
   8169.8 ms  ✓ Functors
   4728.1 ms  ✓ Setfield
  10118.0 ms  ✓ ChainRulesCore
   2601.1 ms  ✓ MLDataDevices
   4405.2 ms  ✓ MLCore
