nice: cannot set niceness: Permission denied
Precompiling packages...
   1674.4 ms  ✓ nghttp2_jll
   1682.3 ms  ✓ CompilerSupportLibraries_jll
   1688.9 ms  ✓ Zlib_jll
   1706.6 ms  ✓ Logging
   1780.4 ms  ✓ Unicode
   1813.8 ms  ✓ OpenSSL_jll
   1778.1 ms  ✓ MozillaCACerts_jll
   1792.8 ms  ✓ UUIDs
   1885.7 ms  ✓ NetworkOptions
   1908.1 ms  ✓ Base64
    535.7 ms  ✓ LibSSH2_jll
    658.0 ms  ✓ p7zip_jll
    670.0 ms  ✓ Printf
    465.9 ms  ✓ LibGit2_jll
    463.9 ms  ✓ LibCURL_jll
   3433.5 ms  ✓ ArgTools
    784.4 ms  ✓ LibCURL
    648.9 ms  ✓ Tar
   2981.7 ms  ✓ Dates
   3076.9 ms  ✓ LibGit2
    456.9 ms  ✓ TOML
   3009.2 ms  ✓ Downloads
   9559.6 ms  ✓ StyledStrings
   1686.4 ms  ✓ JuliaSyntaxHighlighting
   3885.0 ms  ✓ Markdown
  48233.3 ms  ✓ Pkg
  26 dependencies successfully precompiled in 63 seconds
Precompiling packages...
   2353.9 ms  ✓ DataValueInterfaces
   2423.3 ms  ✓ RealDot
   2522.0 ms  ✓ IteratorInterfaceExtensions
   2724.4 ms  ✓ OpenLibm_jll
   2754.6 ms  ✓ Reexport
   3302.8 ms  ✓ Adapt
   3351.2 ms  ✓ AbstractFFTs
   3557.5 ms  ✓ Serialization
   3540.1 ms  ✓ Statistics
   3614.6 ms  ✓ DocStringExtensions
   3844.7 ms  ✓ EnzymeCore
   2632.6 ms  ✓ StatsAPI
   3091.1 ms  ✓ DataAPI
   5552.7 ms  ✓ FillArrays
   3201.4 ms  ✓ ProgressLogging
   2303.4 ms  ✓ PtrArrays
   2730.3 ms  ✓ Mmap
   2996.0 ms  ✓ SuiteSparse_jll
   2595.6 ms  ✓ StaticArraysCore
   2820.6 ms  ✓ HashArrayMappedTries
   3511.9 ms  ✓ Preferences
   9726.1 ms  ✓ ConstructionBase
   2374.3 ms  ✓ TableTraits
   4499.0 ms  ✓ Requires
  10168.6 ms  ✓ OrderedCollections
  11412.4 ms  ✓ UnsafeAtomics
   5374.5 ms  ✓ LazyArtifacts
   9572.8 ms  ✓ ShowCases
   2729.9 ms  ✓ EnzymeCore → AdaptExt
  10081.8 ms  ✓ BFloat16s
   3204.3 ms  ✓ Future
   2894.6 ms  ✓ FillArrays → FillArraysStatisticsExt
   3766.5 ms  ✓ GPUArraysCore
   9594.2 ms  ✓ CEnum
   2882.8 ms  ✓ AliasTables
  14330.2 ms  ✓ IrrationalConstants
   3119.7 ms  ✓ DelimitedFiles
   2511.4 ms  ✓ ScopedValues
   2601.9 ms  ✓ DiffResults
   9727.0 ms  ✓ Compat
   2708.4 ms  ✓ PrecompileTools
   2521.5 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   3491.2 ms  ✓ JLLWrappers
   2978.4 ms  ✓ Atomix
   9401.3 ms  ✓ NaNMath
   2207.2 ms  ✓ Compat → CompatLinearAlgebraExt
   3115.9 ms  ✓ LogExpFunctions
   3412.6 ms  ✓ SciMLPublic
   9516.8 ms  ✓ Missings
  13597.0 ms  ✓ InteractiveUtils
   3373.2 ms  ✓ OpenSpecFun_jll
  16571.4 ms  ✓ Distributed
   4702.5 ms  ✓ ADTypes
  17267.6 ms  ✓ MacroTools
   8113.5 ms  ✓ DataStructures
   2223.2 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   2293.4 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   2329.7 ms  ✓ CommonSubexpressions
   6897.5 ms  ✓ LLVMExtra_jll
   2285.9 ms  ✓ SortingAlgorithms
   3387.0 ms  ✓ SimpleTraits
  10328.8 ms  ✓ Tables
   4636.9 ms  ✓ Setfield
   7537.4 ms  ✓ Functors
   8986.4 ms  ✓ ChainRulesCore
   2992.2 ms  ✓ MLDataDevices
   2569.2 ms  ✓ AbstractFFTs → AbstractFFTsChainRulesCoreExt
   9312.0 ms  ✓ SpecialFunctions
   2579.4 ms  ✓ ADTypes → ADTypesChainRulesCoreExt
   4773.0 ms  ✓ MLCore
   2694.6 ms  ✓ EnzymeCore → EnzymeCoreChainRulesCoreExt
   3505.1 ms  ✓ ZygoteRules
   2390.0 ms  ✓ MLDataDevices → FillArraysExt
  10125.0 ms  ✓ IRTools
   2501.0 ms  ✓ MLDataDevices → ChainRulesCoreExt
   6675.8 ms  ✓ StructArrays
   2124.2 ms  ✓ DiffRules
  19946.2 ms  ✓ SparseArrays
   6287.8 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   1799.4 ms  ✓ StructArrays → StructArraysAdaptExt
   2097.5 ms  ✓ StructArrays → StructArraysLinearAlgebraExt
   2498.8 ms  ✓ SuiteSparse
   2505.5 ms  ✓ StructArrays → StructArraysSparseArraysExt
   2619.0 ms  ✓ Statistics → SparseArraysExt
   2786.7 ms  ✓ Adapt → AdaptSparseArraysExt
   3097.7 ms  ✓ MLDataDevices → SparseArraysExt
   3110.2 ms  ✓ FillArrays → FillArraysSparseArraysExt
   5904.3 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   8992.5 ms  ✓ Optimisers
   1351.2 ms  ✓ SparseInverseSubset
    821.5 ms  ✓ Optimisers → OptimisersEnzymeCoreExt
    919.8 ms  ✓ Optimisers → OptimisersAdaptExt
   4892.2 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
  24334.9 ms  ✓ StaticArrays
   5920.9 ms  ✓ StatsBase
  10261.0 ms  ✓ ForwardDiff
   1801.3 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   1847.4 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   1853.0 ms  ✓ FillArrays → FillArraysStaticArraysExt
   1909.8 ms  ✓ Adapt → AdaptStaticArraysExt
   1098.4 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
   3430.8 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   3488.0 ms  ✓ StructArrays → StructArraysStaticArraysExt
  21112.2 ms  ✓ LLVM
    987.1 ms  ✓ LLVM → BFloat16sExt
   1596.9 ms  ✓ UnsafeAtomics → UnsafeAtomicsLLVM
   9729.3 ms  ✓ ChainRules
   5023.4 ms  ✓ KernelAbstractions
   1097.5 ms  ✓ MLDataDevices → ChainRulesExt
   1034.4 ms  ✓ KernelAbstractions → LinearAlgebraExt
   1133.2 ms  ✓ StructArrays → StructArraysGPUArraysCoreExt
   1186.1 ms  ✓ KernelAbstractions → EnzymeExt
   1262.5 ms  ✓ KernelAbstractions → SparseArraysExt
   4131.2 ms  ✓ NNlib
   1209.0 ms  ✓ NNlib → NNlibSpecialFunctionsExt
   1260.7 ms  ✓ NNlib → NNlibForwardDiffExt
   1415.7 ms  ✓ OneHotArrays
   1424.2 ms  ✓ NNlib → NNlibEnzymeCoreExt
   5543.4 ms  ✓ GPUArrays
    702.3 ms  ✓ MLDataDevices → OneHotArraysExt
   1544.5 ms  ✓ MLDataDevices → GPUArraysSparseArraysExt
  48489.7 ms  ✓ REPL
    736.0 ms  ✓ CodeTracking
   2840.7 ms  ✓ MLUtils
   4604.7 ms  ✓ Pkg → REPLExt
   1534.1 ms  ✓ MLDataDevices → MLUtilsExt
  33012.5 ms  ✓ Zygote
   1076.8 ms  ✓ MLDataDevices → ZygoteExt
   6686.0 ms  ✓ Flux
  129 dependencies successfully precompiled in 88 seconds. 26 already precompiled.
  24 dependencies precompiled but different versions are currently loaded (ArgTools, Base64, Dates, Downloads, JuliaSyntaxHighlighting, LibCURL, LibCURL_jll, LibGit2, LibGit2_jll, LibSSH2_jll, Logging, Markdown, MozillaCACerts_jll, NetworkOptions, OpenSSL_jll, Pkg, Printf, StyledStrings, TOML, Tar, UUIDs, Zlib_jll, nghttp2_jll and p7zip_jll). Restart julia to access the new versions. Otherwise, 74 dependents of these packages may trigger further precompilation to work with the unexpected versions.
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +1.12.7 --project=F/Flux/Basic-Model-Gradient -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 445.77
	System time (seconds): 32.30
	Percent of CPU this job got: 313%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 2:32.32
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 2203044
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 503
	Minor (reclaiming a frame) page faults: 8737162
	Voluntary context switches: 24513
	Involuntary context switches: 30460
	Swaps: 0
	File system inputs: 0
	File system outputs: 905872
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
