nice: cannot set niceness: Permission denied
Precompiling packages...
   1698.7 ms  ✓ MozillaCACerts_jll
   1726.4 ms  ✓ UUIDs
   1801.0 ms  ✓ Logging
   1812.2 ms  ✓ Zlib_jll
   1844.3 ms  ✓ OpenSSL_jll
   1817.9 ms  ✓ CompilerSupportLibraries_jll
   1835.4 ms  ✓ Unicode
   1829.9 ms  ✓ nghttp2_jll
   1916.9 ms  ✓ NetworkOptions
   1912.4 ms  ✓ Base64
    505.3 ms  ✓ LibSSH2_jll
    586.3 ms  ✓ p7zip_jll
    706.3 ms  ✓ Printf
    461.4 ms  ✓ LibGit2_jll
    483.8 ms  ✓ LibCURL_jll
   3265.6 ms  ✓ ArgTools
    763.7 ms  ✓ LibCURL
    671.3 ms  ✓ Tar
   2938.5 ms  ✓ Dates
   3102.2 ms  ✓ LibGit2
    456.6 ms  ✓ TOML
   3085.0 ms  ✓ Downloads
   9665.7 ms  ✓ StyledStrings
   1628.1 ms  ✓ JuliaSyntaxHighlighting
   3872.5 ms  ✓ Markdown
  48675.0 ms  ✓ Pkg
  26 dependencies successfully precompiled in 64 seconds
Precompiling packages...
   2420.7 ms  ✓ RealDot
   2432.5 ms  ✓ DataValueInterfaces
   2628.7 ms  ✓ Reexport
   2634.4 ms  ✓ OpenLibm_jll
   2806.9 ms  ✓ IteratorInterfaceExtensions
   3011.9 ms  ✓ Adapt
   3400.2 ms  ✓ AbstractFFTs
   3414.5 ms  ✓ Statistics
   3619.4 ms  ✓ DocStringExtensions
   4112.8 ms  ✓ EnzymeCore
   4229.4 ms  ✓ Serialization
   2509.5 ms  ✓ DataAPI
   2690.3 ms  ✓ StatsAPI
   5734.2 ms  ✓ FillArrays
   3165.7 ms  ✓ ProgressLogging
   2903.9 ms  ✓ Mmap
   2580.2 ms  ✓ Future
   3029.7 ms  ✓ SuiteSparse_jll
   2585.7 ms  ✓ PtrArrays
   2698.0 ms  ✓ StaticArraysCore
   3084.6 ms  ✓ HashArrayMappedTries
   9893.0 ms  ✓ ConstructionBase
   3995.8 ms  ✓ Preferences
