Precompiling Pkg...
   1091.0 ms  ✓ Unicode
   1069.4 ms  ✓ MozillaCACerts_jll
   1073.6 ms  ✓ Logging
   1071.6 ms  ✓ nghttp2_jll
   1088.9 ms  ✓ MbedTLS_jll
   1156.2 ms  ✓ Zlib_jll
   1164.8 ms  ✓ UUIDs
   1175.5 ms  ✓ NetworkOptions
   1196.0 ms  ✓ p7zip_jll
   1250.3 ms  ✓ Base64
    402.7 ms  ✓ LibSSH2_jll
    478.6 ms  ✓ Printf
    392.1 ms  ✓ LibGit2_jll
    397.7 ms  ✓ LibCURL_jll
   2094.2 ms  ✓ ArgTools
    600.1 ms  ✓ LibCURL
    567.8 ms  ✓ Tar
   2413.8 ms  ✓ Dates
   2852.1 ms  ✓ Markdown
   2392.6 ms  ✓ LibGit2
    428.1 ms  ✓ TOML
   2938.8 ms  ✓ Downloads
  39054.6 ms  ✓ Pkg
  23 dependencies successfully precompiled in 45 seconds
Precompiling project...
   1914.5 ms  ✓ DataValueInterfaces
   1925.8 ms  ✓ UnPack
   2009.4 ms  ✓ LaTeXStrings
   2101.4 ms  ✓ OpenLibm_jll
   2109.8 ms  ✓ Reexport
   2107.4 ms  ✓ ExprTools
   2130.6 ms  ✓ InverseFunctions
   2217.1 ms  ✓ EnumX
   2624.0 ms  ✓ PositiveFactorizations
   2617.7 ms  ✓ Statistics
   2694.4 ms  ✓ AbstractTrees
   2723.0 ms  ✓ DocStringExtensions
   3037.3 ms  ✓ Serialization
   3040.7 ms  ✓ OrderedCollections
   3636.4 ms  ✓ FunctionWrappers
   1995.1 ms  ✓ CommonSolve
   1916.6 ms  ✓ IteratorInterfaceExtensions
   1999.8 ms  ✓ DataAPI
   2122.7 ms  ✓ ConstructionBase
   4213.4 ms  ✓ FillArrays
   2296.8 ms  ✓ StatsAPI
   1993.3 ms  ✓ FastClosures
   1783.2 ms  ✓ CompositionsBase
   2693.1 ms  ✓ CompilerSupportLibraries_jll
   2292.2 ms  ✓ ProgressLogging
   1598.0 ms  ✓ PtrArrays
   2921.8 ms  ✓ SuiteSparse_jll
   2285.5 ms  ✓ StaticArraysCore
   2215.4 ms  ✓ Requires
   2990.8 ms  ✓ ADTypes
   2275.5 ms  ✓ NaNMath
   5206.5 ms  ✓ IrrationalConstants
   2983.0 ms  ✓ LoggingExtras
   2891.0 ms  ✓ Compat
   2798.6 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   2104.5 ms  ✓ RuntimeGeneratedFunctions
   5595.0 ms  ✓ Crayons
   2200.3 ms  ✓ LeftChildRightSiblingTrees
   3489.1 ms  ✓ Preferences
   1996.2 ms  ✓ Future
   2199.1 ms  ✓ Parameters
   2095.3 ms  ✓ FunctionWrappersWrappers
   2013.0 ms  ✓ TableTraits
   2496.2 ms  ✓ Missings
   2230.5 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2096.9 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   2315.2 ms  ✓ FillArrays → FillArraysStatisticsExt
   2213.4 ms  ✓ DiffResults
   2382.7 ms  ✓ AliasTables
   2105.0 ms  ✓ Adapt
   1982.8 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   6791.0 ms  ✓ InteractiveUtils
   2115.9 ms  ✓ Compat → CompatLinearAlgebraExt
   8304.0 ms  ✓ Distributed
   3005.4 ms  ✓ LogExpFunctions
   2117.2 ms  ✓ JLLWrappers
   2296.4 ms  ✓ PrecompileTools
   7908.9 ms  ✓ ExproniconLite
   9591.8 ms  ✓ MacroTools
   3220.7 ms  ✓ TerminalLoggers
   2495.8 ms  ✓ GPUArraysCore
   2706.4 ms  ✓ ArrayInterface
   5005.9 ms  ✓ DifferentiationInterface
   4274.6 ms  ✓ Tables
   2394.5 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   2501.7 ms  ✓ OpenSpecFun_jll
   2779.6 ms  ✓ L_BFGS_B_jll
   2490.5 ms  ✓ CommonSubexpressions
