Precompiling Pkg...
    986.5 ms  ✓ MozillaCACerts_jll
   1034.5 ms  ✓ Unicode
   1088.0 ms  ✓ Zlib_jll
   1083.8 ms  ✓ nghttp2_jll
   1095.7 ms  ✓ Logging
   1109.2 ms  ✓ NetworkOptions
   1108.5 ms  ✓ UUIDs
   1123.0 ms  ✓ MbedTLS_jll
   1141.2 ms  ✓ Base64
   1223.9 ms  ✓ p7zip_jll
    344.2 ms  ✓ LibSSH2_jll
    495.7 ms  ✓ Printf
    397.0 ms  ✓ LibCURL_jll
    422.3 ms  ✓ LibGit2_jll
   2070.7 ms  ✓ ArgTools
    581.1 ms  ✓ LibCURL
    577.6 ms  ✓ Tar
   2462.4 ms  ✓ Dates
   2949.0 ms  ✓ Markdown
   2347.5 ms  ✓ LibGit2
    386.7 ms  ✓ TOML
   2989.8 ms  ✓ Downloads
  38552.2 ms  ✓ Pkg
  23 dependencies successfully precompiled in 44 seconds
Precompiling project...
   1713.9 ms  ✓ DataValueInterfaces
   1722.9 ms  ✓ LaTeXStrings
   1912.0 ms  ✓ UnPack
   2004.5 ms  ✓ Reexport
   2120.1 ms  ✓ EnumX
   2208.5 ms  ✓ OpenLibm_jll
   2306.7 ms  ✓ InverseFunctions
   2295.1 ms  ✓ ExprTools
   2389.2 ms  ✓ AbstractTrees
   2616.4 ms  ✓ PositiveFactorizations
   2808.1 ms  ✓ OrderedCollections
   2893.7 ms  ✓ DocStringExtensions
   2916.7 ms  ✓ Serialization
   3187.8 ms  ✓ Statistics
   1598.6 ms  ✓ CommonSolve
   3719.6 ms  ✓ FunctionWrappers
   1802.3 ms  ✓ IteratorInterfaceExtensions
   1993.1 ms  ✓ DataAPI
   2203.8 ms  ✓ ConstructionBase
   4124.5 ms  ✓ FillArrays
   2146.0 ms  ✓ StatsAPI
   2018.4 ms  ✓ ProgressLogging
   1889.2 ms  ✓ FastClosures
   1941.4 ms  ✓ CompositionsBase
   2107.7 ms  ✓ Future
   3000.3 ms  ✓ CompilerSupportLibraries_jll
   2696.9 ms  ✓ SuiteSparse_jll
   1801.5 ms  ✓ PtrArrays
   1586.8 ms  ✓ StaticArraysCore
   2186.7 ms  ✓ Missings
   2994.6 ms  ✓ ADTypes
   2391.8 ms  ✓ LoggingExtras
   2015.6 ms  ✓ NaNMath
   2651.9 ms  ✓ Compat
   5408.5 ms  ✓ IrrationalConstants
   2091.2 ms  ✓ LeftChildRightSiblingTrees
   2650.8 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   3184.5 ms  ✓ Preferences
   2210.1 ms  ✓ Parameters
   5442.3 ms  ✓ Crayons
   2103.4 ms  ✓ RuntimeGeneratedFunctions
   1890.6 ms  ✓ TableTraits
   2055.8 ms  ✓ FunctionWrappersWrappers
   2181.2 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2491.1 ms  ✓ Requires
   1997.1 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   2292.3 ms  ✓ FillArrays → FillArraysStatisticsExt
   1911.8 ms  ✓ DiffResults
   1856.3 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   2203.9 ms  ✓ AliasTables
