Precompiling Pkg...
   1157.5 ms  ✓ UUIDs
   1166.7 ms  ✓ Logging
   1163.6 ms  ✓ MozillaCACerts_jll
   1201.4 ms  ✓ Unicode
   1167.8 ms  ✓ nghttp2_jll
   1181.7 ms  ✓ NetworkOptions
   1192.3 ms  ✓ Zlib_jll
   1252.5 ms  ✓ MbedTLS_jll
   1249.4 ms  ✓ p7zip_jll
   1289.3 ms  ✓ Base64
    335.2 ms  ✓ LibSSH2_jll
    473.3 ms  ✓ Printf
    462.6 ms  ✓ LibCURL_jll
    470.4 ms  ✓ LibGit2_jll
   2113.0 ms  ✓ ArgTools
    548.3 ms  ✓ LibCURL
    596.3 ms  ✓ Tar
   2523.4 ms  ✓ Dates
   2880.0 ms  ✓ Markdown
   2383.3 ms  ✓ LibGit2
    374.1 ms  ✓ TOML
   3061.8 ms  ✓ Downloads
  39887.8 ms  ✓ Pkg
  23 dependencies successfully precompiled in 46 seconds
Precompiling project...
   1745.5 ms  ✓ UnPack
   1844.2 ms  ✓ Reexport
   1943.0 ms  ✓ EnumX
   1942.9 ms  ✓ CommonSolve
   2144.5 ms  ✓ ExprTools
   2252.3 ms  ✓ OpenLibm_jll
   2257.3 ms  ✓ InverseFunctions
   2266.2 ms  ✓ PositiveFactorizations
   2828.1 ms  ✓ Statistics
   2838.4 ms  ✓ DocStringExtensions
   2860.7 ms  ✓ OrderedCollections
   2941.8 ms  ✓ AbstractTrees
   3045.4 ms  ✓ Serialization
   3747.3 ms  ✓ FunctionWrappers
   1909.5 ms  ✓ IteratorInterfaceExtensions
   2018.3 ms  ✓ DataAPI
   2196.7 ms  ✓ StatsAPI
   2504.6 ms  ✓ ConstructionBase
   2103.7 ms  ✓ FastClosures
   2302.2 ms  ✓ ProgressLogging
   4652.6 ms  ✓ FillArrays
   2979.1 ms  ✓ CompilerSupportLibraries_jll
   2872.2 ms  ✓ SuiteSparse_jll
   2293.2 ms  ✓ CompositionsBase
   2202.9 ms  ✓ PtrArrays
   1494.4 ms  ✓ StaticArraysCore
   5238.8 ms  ✓ IrrationalConstants
   2401.8 ms  ✓ Future
   2797.4 ms  ✓ ADTypes
   2094.4 ms  ✓ Requires
   2294.3 ms  ✓ LoggingExtras
   2186.1 ms  ✓ NaNMath
   2501.8 ms  ✓ Compat
   2612.3 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   2097.4 ms  ✓ RuntimeGeneratedFunctions
   2199.1 ms  ✓ FunctionWrappersWrappers
   1794.2 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2396.2 ms  ✓ Missings
   2521.4 ms  ✓ Parameters
   3377.6 ms  ✓ Preferences
   2186.9 ms  ✓ FillArrays → FillArraysStatisticsExt
   2205.4 ms  ✓ LeftChildRightSiblingTrees
   2103.3 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   2504.2 ms  ✓ AliasTables
   1996.9 ms  ✓ DiffResults
   1808.1 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   1695.8 ms  ✓ Compat → CompatLinearAlgebraExt
   1807.7 ms  ✓ PrecompileTools
   1893.1 ms  ✓ Adapt
   2603.8 ms  ✓ LogExpFunctions
   1714.9 ms  ✓ JLLWrappers
   6809.7 ms  ✓ ExproniconLite
