nice: cannot set niceness: Permission denied
Precompiling Pkg...
   1135.8 ms  ✓ Unicode
   1180.2 ms  ✓ Logging
   1188.8 ms  ✓ UUIDs
   1183.8 ms  ✓ MozillaCACerts_jll
   1288.9 ms  ✓ Zlib_jll
   1316.0 ms  ✓ MbedTLS_jll
   1325.4 ms  ✓ NetworkOptions
   1334.8 ms  ✓ nghttp2_jll
   1338.0 ms  ✓ Base64
   1376.0 ms  ✓ p7zip_jll
    380.3 ms  ✓ LibSSH2_jll
    626.3 ms  ✓ Printf
    482.0 ms  ✓ LibGit2_jll
    492.4 ms  ✓ LibCURL_jll
   2400.6 ms  ✓ ArgTools
    621.1 ms  ✓ LibCURL
    608.1 ms  ✓ Tar
   2516.7 ms  ✓ Dates
   3256.2 ms  ✓ Markdown
   2552.7 ms  ✓ LibGit2
    572.1 ms  ✓ TOML
   3185.5 ms  ✓ Downloads
  43954.5 ms  ✓ Pkg
  23 dependencies successfully precompiled in 50 seconds
Precompiling project...
   1675.5 ms  ✓ UnPack
   1924.7 ms  ✓ EnumX
   1968.6 ms  ✓ Reexport
   2203.0 ms  ✓ CommonSolve
   2601.1 ms  ✓ AbstractTrees
   2670.1 ms  ✓ InverseFunctions
   2674.2 ms  ✓ PositiveFactorizations
   3008.2 ms  ✓ DocStringExtensions
   3016.8 ms  ✓ OpenLibm_jll
   3026.0 ms  ✓ OrderedCollections
   3095.0 ms  ✓ ExprTools
   3218.8 ms  ✓ Serialization
   3193.5 ms  ✓ Statistics
   3481.8 ms  ✓ FunctionWrappers
   1895.6 ms  ✓ IteratorInterfaceExtensions
   2240.0 ms  ✓ ConstructionBase
   2200.6 ms  ✓ DataAPI
   2295.0 ms  ✓ StatsAPI
   4817.0 ms  ✓ FillArrays
   2511.3 ms  ✓ CompilerSupportLibraries_jll
   2453.2 ms  ✓ ProgressLogging
   2085.3 ms  ✓ Future
   2736.1 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   2444.2 ms  ✓ NaNMath
   2789.7 ms  ✓ SuiteSparse_jll
   5879.0 ms  ✓ IrrationalConstants
   2394.0 ms  ✓ StaticArraysCore
   3106.9 ms  ✓ ADTypes
   2701.0 ms  ✓ Requires
   2851.5 ms  ✓ LoggingExtras
   1942.4 ms  ✓ FastClosures
   2104.1 ms  ✓ CompositionsBase
   2751.8 ms  ✓ Compat
   2348.1 ms  ✓ LeftChildRightSiblingTrees
   2099.7 ms  ✓ RuntimeGeneratedFunctions
   2448.9 ms  ✓ Parameters
   2315.0 ms  ✓ PtrArrays
   3461.2 ms  ✓ Preferences
   2309.8 ms  ✓ FunctionWrappersWrappers
   2246.2 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2603.3 ms  ✓ Missings
   2401.6 ms  ✓ FillArrays → FillArraysStatisticsExt
   2496.2 ms  ✓ DiffResults
   2116.3 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   2192.4 ms  ✓ Adapt
   2908.5 ms  ✓ LogExpFunctions
   2034.8 ms  ✓ Compat → CompatLinearAlgebraExt
   2087.2 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   7501.1 ms  ✓ ExproniconLite
   2540.7 ms  ✓ AliasTables
   2096.3 ms  ✓ PrecompileTools
   3401.9 ms  ✓ TerminalLoggers
   1898.4 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   8895.8 ms  ✓ Distributed
   2701.3 ms  ✓ JLLWrappers
   2056.1 ms  ✓ GPUArraysCore
   4703.6 ms  ✓ DifferentiationInterface
   7215.5 ms  ✓ DataStructures
   2567.6 ms  ✓ ArrayInterface
   9807.2 ms  ✓ MacroTools
   1990.1 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
   2336.3 ms  ✓ L_BFGS_B_jll
   1847.1 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   1903.1 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   2045.8 ms  ✓ SortingAlgorithms
   2031.2 ms  ✓ SciMLStructures
   2081.1 ms  ✓ CommonSubexpressions
   2739.4 ms  ✓ OpenSpecFun_jll
   3203.6 ms  ✓ ProgressMeter
   1408.3 ms  ✓ LBFGSB
   3210.3 ms  ✓ PreallocationTools
   5310.3 ms  ✓ RecipesBase
   1306.0 ms  ✓ ConsoleProgressMonitor
   5666.0 ms  ✓ Jieko
   3818.6 ms  ✓ Setfield
    793.0 ms  ✓ FiniteDiff
   4779.3 ms  ✓ Accessors
  10556.1 ms  ✓ SparseArrays
   1535.3 ms  ✓ DifferentiationInterface → DifferentiationInterfaceFiniteDiffExt
   1400.8 ms  ✓ SuiteSparse
   1635.1 ms  ✓ ArrayInterface → ArrayInterfaceSparseArraysExt
   1813.6 ms  ✓ FiniteDiff → FiniteDiffSparseArraysExt
   1846.3 ms  ✓ Adapt → AdaptSparseArraysExt
   1897.5 ms  ✓ FillArrays → FillArraysSparseArraysExt
   1923.1 ms  ✓ Accessors → LinearAlgebraExt
   1961.6 ms  ✓ Statistics → SparseArraysExt
   2156.6 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
   5708.8 ms  ✓ SpecialFunctions
   1637.4 ms  ✓ PDMats
   1010.8 ms  ✓ FillArrays → FillArraysPDMatsExt
   1125.3 ms  ✓ DiffRules
   2247.4 ms  ✓ SymbolicIndexingInterface
   2649.4 ms  ✓ SciMLOperators
   1054.4 ms  ✓ SciMLOperators → SciMLOperatorsStaticArraysCoreExt
   3644.0 ms  ✓ StatsBase
   1123.9 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
   2652.5 ms  ✓ RecursiveArrayTools
   4990.5 ms  ✓ SparseConnectivityTracer
   1561.0 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsSparseArraysExt
   1502.7 ms  ✓ PreallocationTools → PreallocationToolsSparseConnectivityTracerExt
   1570.7 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseConnectivityTracerExt
   1708.4 ms  ✓ SparseConnectivityTracer → SparseConnectivityTracerLogExpFunctionsExt
   1877.3 ms  ✓ SparseConnectivityTracer → SparseConnectivityTracerNaNMathExt
   4907.8 ms  ✓ ForwardDiff
   2643.4 ms  ✓ SparseConnectivityTracer → SparseConnectivityTracerSpecialFunctionsExt
   1564.8 ms  ✓ PreallocationTools → PreallocationToolsForwardDiffExt
   2261.0 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsForwardDiffExt
   2329.0 ms  ✓ DifferentiationInterface → DifferentiationInterfaceForwardDiffExt
  11474.1 ms  ✓ SparseMatrixColorings
   1486.1 ms  ✓ NLSolversBase
   1460.1 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseMatrixColoringsExt
  14326.9 ms  ✓ Moshi
   1516.2 ms  ✓ LineSearches
   1967.9 ms  ✓ Optim
   6142.4 ms  ✓ SciMLBase
    891.8 ms  ✓ SciMLBase → SciMLBaseForwardDiffExt
   1467.7 ms  ✓ OptimizationBase
    309.0 ms  ✓ OptimizationBase → OptimizationFiniteDiffExt
    455.8 ms  ✓ OptimizationBase → OptimizationForwardDiffExt
   1360.1 ms  ✓ Optimization
  11023.1 ms  ✓ OptimizationOptimJL
  121 dependencies successfully precompiled in 51 seconds. 23 already precompiled.
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +1.11.6 --project=O/Optimization/Rosenbrock-Minimization-With-Bfgs-Using-Forwarddiff -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 261.01
	System time (seconds): 24.34
	Percent of CPU this job got: 279%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 1:42.20
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 2063540
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 487
	Minor (reclaiming a frame) page faults: 5885530
	Voluntary context switches: 170058
	Involuntary context switches: 62749
	Swaps: 0
	File system inputs: 16
	File system outputs: 767656
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
