Precompiling Pkg...
   1068.2 ms  ✓ Logging
   1079.6 ms  ✓ UUIDs
   1075.8 ms  ✓ MozillaCACerts_jll
   1082.7 ms  ✓ MbedTLS_jll
   1128.9 ms  ✓ Unicode
   1162.5 ms  ✓ Zlib_jll
   1166.4 ms  ✓ nghttp2_jll
   1172.6 ms  ✓ NetworkOptions
   1184.0 ms  ✓ p7zip_jll
   1200.6 ms  ✓ Base64
    386.2 ms  ✓ LibSSH2_jll
    483.6 ms  ✓ Printf
    404.1 ms  ✓ LibGit2_jll
    422.7 ms  ✓ LibCURL_jll
   2074.5 ms  ✓ ArgTools
    591.0 ms  ✓ LibCURL
    541.5 ms  ✓ Tar
   2394.7 ms  ✓ Dates
   2854.7 ms  ✓ Markdown
   2343.3 ms  ✓ LibGit2
    372.6 ms  ✓ TOML
   2919.0 ms  ✓ Downloads
  39236.8 ms  ✓ Pkg
  23 dependencies successfully precompiled in 45 seconds
Precompiling project...
   1768.9 ms  ✓ CommonSolve
   1873.4 ms  ✓ Reexport
   1902.4 ms  ✓ UnPack
   1986.6 ms  ✓ OpenLibm_jll
   1988.5 ms  ✓ EnumX
   2078.2 ms  ✓ ExprTools
   2388.9 ms  ✓ InverseFunctions
   2678.7 ms  ✓ PositiveFactorizations
   2760.9 ms  ✓ Statistics
   2787.3 ms  ✓ DocStringExtensions
   2797.8 ms  ✓ OrderedCollections
   2965.6 ms  ✓ AbstractTrees
   3194.6 ms  ✓ Serialization
   1705.7 ms  ✓ IteratorInterfaceExtensions
   3683.5 ms  ✓ FunctionWrappers
   2100.0 ms  ✓ DataAPI
   2101.4 ms  ✓ StatsAPI
   2310.0 ms  ✓ ConstructionBase
   1799.5 ms  ✓ FastClosures
   4303.7 ms  ✓ FillArrays
   2296.1 ms  ✓ ProgressLogging
   2399.7 ms  ✓ NaNMath
   2384.8 ms  ✓ SuiteSparse_jll
   2289.3 ms  ✓ CompositionsBase
   1891.4 ms  ✓ PtrArrays
   2296.4 ms  ✓ Future
   5260.0 ms  ✓ IrrationalConstants
   1913.9 ms  ✓ StaticArraysCore
   2923.3 ms  ✓ ADTypes
   2463.1 ms  ✓ Requires
   2309.2 ms  ✓ CompilerSupportLibraries_jll
   2692.8 ms  ✓ Compat
   2788.0 ms  ✓ LoggingExtras
   2708.0 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   2136.9 ms  ✓ Parameters
   2009.4 ms  ✓ FunctionWrappersWrappers
   2211.8 ms  ✓ LeftChildRightSiblingTrees
   2386.3 ms  ✓ RuntimeGeneratedFunctions
   1895.6 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   3693.9 ms  ✓ Preferences
   2296.7 ms  ✓ Missings
   2229.5 ms  ✓ FillArrays → FillArraysStatisticsExt
   1973.3 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   1789.1 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   2214.8 ms  ✓ AliasTables
   2182.9 ms  ✓ DiffResults
   1905.6 ms  ✓ Adapt
   1680.1 ms  ✓ Compat → CompatLinearAlgebraExt
   2511.9 ms  ✓ LogExpFunctions
   1999.4 ms  ✓ PrecompileTools
   1600.5 ms  ✓ JLLWrappers
   2799.4 ms  ✓ TerminalLoggers
   7410.0 ms  ✓ ExproniconLite
   1800.1 ms  ✓ GPUArraysCore
   1814.4 ms  ✓ ArrayInterface
   1771.7 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   6493.9 ms  ✓ DataStructures
   4408.6 ms  ✓ DifferentiationInterface
