nice: cannot set niceness: Permission denied
Precompiling Pkg...
   1170.4 ms  ✓ Zlib_jll
   1178.9 ms  ✓ UUIDs
   1234.1 ms  ✓ MozillaCACerts_jll
   1268.6 ms  ✓ Logging
   1343.0 ms  ✓ Unicode
   1305.3 ms  ✓ MbedTLS_jll
   1327.5 ms  ✓ nghttp2_jll
   1384.6 ms  ✓ NetworkOptions
   1391.1 ms  ✓ Base64
   1386.2 ms  ✓ p7zip_jll
    408.7 ms  ✓ LibSSH2_jll
    478.2 ms  ✓ Printf
    432.7 ms  ✓ LibCURL_jll
    461.2 ms  ✓ LibGit2_jll
   2477.5 ms  ✓ ArgTools
    692.6 ms  ✓ LibCURL
    620.8 ms  ✓ Tar
   2503.2 ms  ✓ Dates
   3226.1 ms  ✓ Markdown
   2584.7 ms  ✓ LibGit2
    541.4 ms  ✓ TOML
   3238.0 ms  ✓ Downloads
  44265.0 ms  ✓ Pkg
  23 dependencies successfully precompiled in 50 seconds
Precompiling project...
   1812.4 ms  ✓ UnPack
   1942.8 ms  ✓ Reexport
   2125.8 ms  ✓ EnumX
   2219.2 ms  ✓ OpenLibm_jll
   2381.6 ms  ✓ CommonSolve
   2505.5 ms  ✓ InverseFunctions
   2704.9 ms  ✓ DocStringExtensions
   2716.5 ms  ✓ PositiveFactorizations
   2723.5 ms  ✓ ExprTools
   2824.3 ms  ✓ OrderedCollections
   2838.9 ms  ✓ AbstractTrees
   3318.2 ms  ✓ Serialization
   3491.5 ms  ✓ Statistics
   3528.6 ms  ✓ FunctionWrappers
   2099.3 ms  ✓ IteratorInterfaceExtensions
   2342.4 ms  ✓ ConstructionBase
   2190.9 ms  ✓ DataAPI
   4408.3 ms  ✓ FillArrays
   2328.4 ms  ✓ StatsAPI
   2089.6 ms  ✓ CompositionsBase
   2230.0 ms  ✓ FastClosures
   3097.7 ms  ✓ CompilerSupportLibraries_jll
   3105.4 ms  ✓ ProgressLogging
   2908.1 ms  ✓ SuiteSparse_jll
   2137.0 ms  ✓ PtrArrays
   2864.0 ms  ✓ Future
   1966.8 ms  ✓ StaticArraysCore
   6018.7 ms  ✓ IrrationalConstants
   2987.8 ms  ✓ ADTypes
   2590.2 ms  ✓ LoggingExtras
   2793.8 ms  ✓ Requires
   2822.4 ms  ✓ Compat
   2436.4 ms  ✓ NaNMath
   2677.7 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   2204.9 ms  ✓ RuntimeGeneratedFunctions
   2404.4 ms  ✓ Parameters
   2394.5 ms  ✓ LeftChildRightSiblingTrees
   2061.6 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   3857.8 ms  ✓ Preferences
   2600.8 ms  ✓ FunctionWrappersWrappers
