Precompiling Pkg...
   1038.4 ms  ✓ MozillaCACerts_jll
   1047.0 ms  ✓ Logging
   1047.7 ms  ✓ UUIDs
   1107.9 ms  ✓ Unicode
   1075.4 ms  ✓ NetworkOptions
   1067.1 ms  ✓ nghttp2_jll
   1140.8 ms  ✓ Zlib_jll
   1161.2 ms  ✓ MbedTLS_jll
   1171.1 ms  ✓ Base64
   1165.9 ms  ✓ p7zip_jll
    323.4 ms  ✓ LibSSH2_jll
    461.5 ms  ✓ Printf
    460.6 ms  ✓ LibCURL_jll
    464.0 ms  ✓ LibGit2_jll
   2086.5 ms  ✓ ArgTools
    548.8 ms  ✓ LibCURL
    567.4 ms  ✓ Tar
   2418.0 ms  ✓ Dates
   2808.7 ms  ✓ Markdown
   2285.7 ms  ✓ LibGit2
    372.6 ms  ✓ TOML
   2957.8 ms  ✓ Downloads
  38998.9 ms  ✓ Pkg
  23 dependencies successfully precompiled in 45 seconds
Precompiling project...
   1744.5 ms  ✓ UnPack
   1723.0 ms  ✓ CommonSolve
   1747.5 ms  ✓ Reexport
   1857.2 ms  ✓ EnumX
   2145.1 ms  ✓ OpenLibm_jll
   2239.8 ms  ✓ ExprTools
   2349.5 ms  ✓ InverseFunctions
   2457.7 ms  ✓ PositiveFactorizations
   2539.9 ms  ✓ AbstractTrees
   2613.4 ms  ✓ Statistics
   2619.1 ms  ✓ DocStringExtensions
   2746.7 ms  ✓ OrderedCollections
   3141.0 ms  ✓ Serialization
   3463.8 ms  ✓ FunctionWrappers
   1813.5 ms  ✓ IteratorInterfaceExtensions
   1996.2 ms  ✓ DataAPI
   2302.1 ms  ✓ ConstructionBase
   4126.4 ms  ✓ FillArrays
   2282.5 ms  ✓ StatsAPI
   1889.3 ms  ✓ FastClosures
   2369.9 ms  ✓ ProgressLogging
   2404.8 ms  ✓ Future
   2413.4 ms  ✓ CompositionsBase
   2893.2 ms  ✓ CompilerSupportLibraries_jll
   2691.7 ms  ✓ SuiteSparse_jll
   2020.4 ms  ✓ PtrArrays
   5234.2 ms  ✓ IrrationalConstants
   2507.5 ms  ✓ ADTypes
   2094.0 ms  ✓ StaticArraysCore
   2298.0 ms  ✓ Requires
   2218.8 ms  ✓ NaNMath
   2597.6 ms  ✓ LoggingExtras
   2618.0 ms  ✓ Compat
   1805.8 ms  ✓ FunctionWrappersWrappers
   2510.1 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   2101.9 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   2199.2 ms  ✓ LeftChildRightSiblingTrees
   2184.4 ms  ✓ RuntimeGeneratedFunctions
   1892.3 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   3504.3 ms  ✓ Preferences
   2189.8 ms  ✓ FillArrays → FillArraysStatisticsExt
   3184.1 ms  ✓ LogExpFunctions
   2178.6 ms  ✓ Parameters
   2215.8 ms  ✓ AliasTables
   1908.0 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   2087.1 ms  ✓ Missings
   1905.7 ms  ✓ DiffResults
   2000.2 ms  ✓ Adapt
   1920.2 ms  ✓ Compat → CompatLinearAlgebraExt
   1714.5 ms  ✓ PrecompileTools
   1505.4 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   1986.0 ms  ✓ JLLWrappers
   7194.9 ms  ✓ ExproniconLite
