nice: cannot set niceness: Permission denied
Precompiling Pkg...
   1138.0 ms  ✓ Logging
   1174.2 ms  ✓ Unicode
   1218.6 ms  ✓ Zlib_jll
   1301.0 ms  ✓ MozillaCACerts_jll
   1319.8 ms  ✓ UUIDs
   1323.6 ms  ✓ nghttp2_jll
   1332.5 ms  ✓ MbedTLS_jll
   1395.3 ms  ✓ NetworkOptions
   1417.6 ms  ✓ p7zip_jll
   1448.3 ms  ✓ Base64
    588.8 ms  ✓ Printf
    418.0 ms  ✓ LibSSH2_jll
    481.8 ms  ✓ LibCURL_jll
    494.5 ms  ✓ LibGit2_jll
   2413.4 ms  ✓ ArgTools
    620.3 ms  ✓ LibCURL
    600.4 ms  ✓ Tar
   2611.9 ms  ✓ Dates
   3073.5 ms  ✓ Markdown
   2491.2 ms  ✓ LibGit2
    475.6 ms  ✓ TOML
   3155.7 ms  ✓ Downloads
  42916.0 ms  ✓ Pkg
  23 dependencies successfully precompiled in 49 seconds
Precompiling project...
   1918.0 ms  ✓ Reexport
   2127.4 ms  ✓ EnumX
   2075.5 ms  ✓ CommonSolve
   2204.7 ms  ✓ OpenLibm_jll
   2301.9 ms  ✓ ExprTools
   2435.1 ms  ✓ AbstractTrees
   2524.2 ms  ✓ InverseFunctions
   2626.6 ms  ✓ UnPack
   2851.6 ms  ✓ OrderedCollections
   3118.0 ms  ✓ Serialization
   3115.5 ms  ✓ DocStringExtensions
   3307.0 ms  ✓ PositiveFactorizations
   3310.5 ms  ✓ Statistics
   3617.9 ms  ✓ FunctionWrappers
   1823.5 ms  ✓ IteratorInterfaceExtensions
   2069.2 ms  ✓ DataAPI
   2248.5 ms  ✓ ConstructionBase
   4518.0 ms  ✓ FillArrays
   1999.4 ms  ✓ FastClosures
   2441.5 ms  ✓ StatsAPI
   2626.5 ms  ✓ CompilerSupportLibraries_jll
   2501.7 ms  ✓ ProgressLogging
   2505.2 ms  ✓ CompositionsBase
   5622.4 ms  ✓ IrrationalConstants
   3027.6 ms  ✓ SuiteSparse_jll
   2586.9 ms  ✓ Future
   2498.0 ms  ✓ PtrArrays
   2800.5 ms  ✓ ADTypes
   2369.7 ms  ✓ StaticArraysCore
   2297.1 ms  ✓ NaNMath
   2639.7 ms  ✓ LoggingExtras
   2792.7 ms  ✓ Requires
   2495.5 ms  ✓ Compat
   2559.4 ms  ✓ LeftChildRightSiblingTrees
   2182.4 ms  ✓ FunctionWrappersWrappers
   3003.7 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   2459.0 ms  ✓ Parameters
   3695.9 ms  ✓ Preferences
   2737.9 ms  ✓ RuntimeGeneratedFunctions
   3015.0 ms  ✓ LogExpFunctions
   2409.0 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2699.3 ms  ✓ Missings
   2180.6 ms  ✓ FillArrays → FillArraysStatisticsExt
   2601.7 ms  ✓ Adapt
   2798.4 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   2643.2 ms  ✓ AliasTables
   2198.3 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   2139.6 ms  ✓ DiffResults
   2080.9 ms  ✓ Compat → CompatLinearAlgebraExt
   2279.1 ms  ✓ PrecompileTools
   1904.1 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   7443.1 ms  ✓ ExproniconLite
   2345.9 ms  ✓ JLLWrappers
   2886.1 ms  ✓ TerminalLoggers
   2027.7 ms  ✓ ArrayInterface
   2176.6 ms  ✓ GPUArraysCore
   4339.3 ms  ✓ DifferentiationInterface
   7388.6 ms  ✓ DataStructures
   1761.0 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
  10599.8 ms  ✓ MacroTools
   2743.8 ms  ✓ OpenSpecFun_jll
   2866.5 ms  ✓ L_BFGS_B_jll
   2375.5 ms  ✓ SciMLStructures
   2288.5 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   1903.6 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
   7723.8 ms  ✓ Distributed
   1825.7 ms  ✓ SortingAlgorithms
   3485.3 ms  ✓ PreallocationTools
   1707.3 ms  ✓ CommonSubexpressions
   1323.9 ms  ✓ LBFGSB
   5104.3 ms  ✓ RecipesBase
   5474.4 ms  ✓ Jieko
   1828.4 ms  ✓ ProgressMeter
   3133.7 ms  ✓ Setfield
    644.2 ms  ✓ ConsoleProgressMonitor
    920.9 ms  ✓ FiniteDiff
   4200.4 ms  ✓ Accessors
   9513.6 ms  ✓ SparseArrays
   1646.3 ms  ✓ DifferentiationInterface → DifferentiationInterfaceFiniteDiffExt
   1622.5 ms  ✓ SuiteSparse
   5504.7 ms  ✓ SpecialFunctions
   1855.8 ms  ✓ FiniteDiff → FiniteDiffSparseArraysExt
   1932.1 ms  ✓ Accessors → LinearAlgebraExt
   2003.8 ms  ✓ Adapt → AdaptSparseArraysExt
   2077.0 ms  ✓ Statistics → SparseArraysExt
   2071.4 ms  ✓ ArrayInterface → ArrayInterfaceSparseArraysExt
   2102.0 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
   2167.0 ms  ✓ FillArrays → FillArraysSparseArraysExt
   1209.8 ms  ✓ DiffRules
   1469.6 ms  ✓ PDMats
    930.7 ms  ✓ FillArrays → FillArraysPDMatsExt
   2129.6 ms  ✓ SymbolicIndexingInterface
   2782.7 ms  ✓ SciMLOperators
   3209.4 ms  ✓ StatsBase
    848.6 ms  ✓ SciMLOperators → SciMLOperatorsStaticArraysCoreExt
   1036.0 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
   2595.8 ms  ✓ RecursiveArrayTools
   4784.1 ms  ✓ SparseConnectivityTracer
   1397.7 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsSparseArraysExt
   5143.4 ms  ✓ ForwardDiff
   1841.0 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseConnectivityTracerExt
   1902.4 ms  ✓ PreallocationTools → PreallocationToolsSparseConnectivityTracerExt
   2245.0 ms  ✓ SparseConnectivityTracer → SparseConnectivityTracerLogExpFunctionsExt
   2272.0 ms  ✓ SparseConnectivityTracer → SparseConnectivityTracerNaNMathExt
   1214.6 ms  ✓ PreallocationTools → PreallocationToolsForwardDiffExt
   1274.5 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsForwardDiffExt
   2467.6 ms  ✓ SparseConnectivityTracer → SparseConnectivityTracerSpecialFunctionsExt
   1423.5 ms  ✓ DifferentiationInterface → DifferentiationInterfaceForwardDiffExt
   1913.2 ms  ✓ NLSolversBase
  12114.5 ms  ✓ SparseMatrixColorings
  14303.4 ms  ✓ Moshi
   1128.3 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseMatrixColoringsExt
   2358.7 ms  ✓ LineSearches
   1948.3 ms  ✓ Optim
   5939.5 ms  ✓ SciMLBase
    868.1 ms  ✓ SciMLBase → SciMLBaseForwardDiffExt
   1427.8 ms  ✓ OptimizationBase
    317.6 ms  ✓ OptimizationBase → OptimizationFiniteDiffExt
    438.9 ms  ✓ OptimizationBase → OptimizationForwardDiffExt
   1334.5 ms  ✓ Optimization
  10655.3 ms  ✓ OptimizationOptimJL
  121 dependencies successfully precompiled in 50 seconds. 23 already precompiled.
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +1.11.7 --project=O/Optimization/Rosenbrock-Minimization-With-Bfgs-Using-Forwarddiff -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 257.30
	System time (seconds): 25.52
	Percent of CPU this job got: 281%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 1:40.38
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 2045676
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 543
	Minor (reclaiming a frame) page faults: 5907528
	Voluntary context switches: 180207
	Involuntary context switches: 62460
	Swaps: 0
	File system inputs: 0
	File system outputs: 768704
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
