Precompiling Pkg...
    936.3 ms  ✓ UUIDs
    934.8 ms  ✓ MozillaCACerts_jll
   1040.5 ms  ✓ Logging
   1083.9 ms  ✓ Unicode
   1134.4 ms  ✓ Zlib_jll
   1137.9 ms  ✓ MbedTLS_jll
   1149.7 ms  ✓ nghttp2_jll
   1157.3 ms  ✓ NetworkOptions
   1217.1 ms  ✓ p7zip_jll
   1235.5 ms  ✓ Base64
    363.1 ms  ✓ LibSSH2_jll
    492.6 ms  ✓ Printf
    424.0 ms  ✓ LibCURL_jll
    427.6 ms  ✓ LibGit2_jll
   2056.9 ms  ✓ ArgTools
    576.1 ms  ✓ LibCURL
    572.0 ms  ✓ Tar
   2390.3 ms  ✓ Dates
   2793.8 ms  ✓ Markdown
   2301.9 ms  ✓ LibGit2
    383.5 ms  ✓ TOML
   2914.2 ms  ✓ Downloads
  39769.2 ms  ✓ Pkg
  23 dependencies successfully precompiled in 45 seconds
Precompiling project...
   1753.0 ms  ✓ CommonSolve
   1785.0 ms  ✓ UnPack
   1959.1 ms  ✓ EnumX
   1956.9 ms  ✓ ExprTools
   2167.0 ms  ✓ OpenLibm_jll
   2271.6 ms  ✓ InverseFunctions
   2269.7 ms  ✓ Reexport
   2791.1 ms  ✓ PositiveFactorizations
   2870.1 ms  ✓ AbstractTrees
   2872.2 ms  ✓ DocStringExtensions
   2885.9 ms  ✓ Serialization
   2975.4 ms  ✓ OrderedCollections
   2971.2 ms  ✓ Statistics
   3263.4 ms  ✓ FunctionWrappers
   1600.3 ms  ✓ IteratorInterfaceExtensions
   1816.8 ms  ✓ DataAPI
   1909.2 ms  ✓ StatsAPI
   3982.0 ms  ✓ FillArrays
   2292.8 ms  ✓ ConstructionBase
   2301.5 ms  ✓ CompilerSupportLibraries_jll
   1895.8 ms  ✓ PtrArrays
   2682.1 ms  ✓ ProgressLogging
   2084.9 ms  ✓ Future
   2189.7 ms  ✓ LeftChildRightSiblingTrees
   2894.0 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   2477.3 ms  ✓ SuiteSparse_jll
   5270.3 ms  ✓ IrrationalConstants
   1982.6 ms  ✓ StaticArraysCore
   3191.7 ms  ✓ ADTypes
   2576.2 ms  ✓ Requires
   2694.1 ms  ✓ LoggingExtras
   1814.4 ms  ✓ CompositionsBase
   2882.1 ms  ✓ Compat
   2004.4 ms  ✓ FastClosures
   2597.2 ms  ✓ NaNMath
   2194.2 ms  ✓ RuntimeGeneratedFunctions
   2086.3 ms  ✓ FunctionWrappersWrappers
   2313.0 ms  ✓ Parameters
   3714.3 ms  ✓ Preferences
   2598.7 ms  ✓ Missings
   2112.9 ms  ✓ FillArrays → FillArraysStatisticsExt
   2123.8 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2492.9 ms  ✓ AliasTables
   2104.1 ms  ✓ DiffResults
   1902.1 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   1699.0 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   1910.6 ms  ✓ Adapt
   2703.6 ms  ✓ LogExpFunctions
   1707.3 ms  ✓ Compat → CompatLinearAlgebraExt
