nice: cannot set niceness: Permission denied
Precompiling Pkg...
   1171.1 ms  ✓ MozillaCACerts_jll
   1180.4 ms  ✓ Logging
   1187.8 ms  ✓ UUIDs
   1206.1 ms  ✓ Zlib_jll
   1320.2 ms  ✓ Unicode
   1296.5 ms  ✓ nghttp2_jll
   1312.4 ms  ✓ MbedTLS_jll
   1318.4 ms  ✓ NetworkOptions
   1336.9 ms  ✓ Base64
   1392.8 ms  ✓ p7zip_jll
    413.4 ms  ✓ LibSSH2_jll
    487.4 ms  ✓ Printf
    510.6 ms  ✓ LibCURL_jll
    527.5 ms  ✓ LibGit2_jll
   2355.8 ms  ✓ ArgTools
    608.6 ms  ✓ LibCURL
    619.8 ms  ✓ Tar
   3077.1 ms  ✓ Markdown
   2647.1 ms  ✓ Dates
   2399.8 ms  ✓ LibGit2
    411.1 ms  ✓ TOML
   3275.6 ms  ✓ Downloads
  43463.8 ms  ✓ Pkg
  23 dependencies successfully precompiled in 50 seconds
Precompiling project...
   1927.9 ms  ✓ CommonSolve
   2014.4 ms  ✓ UnPack
   2008.4 ms  ✓ OpenLibm_jll
   2051.6 ms  ✓ EnumX
   2100.0 ms  ✓ Reexport
   2516.0 ms  ✓ InverseFunctions
   2605.0 ms  ✓ ExprTools
   2645.1 ms  ✓ PositiveFactorizations
   2701.1 ms  ✓ Statistics
   3218.9 ms  ✓ OrderedCollections
   3214.1 ms  ✓ Serialization
   3301.2 ms  ✓ AbstractTrees
   3441.0 ms  ✓ DocStringExtensions
   3651.8 ms  ✓ FunctionWrappers
   2199.8 ms  ✓ IteratorInterfaceExtensions
   2119.3 ms  ✓ StatsAPI
   2211.7 ms  ✓ DataAPI
   2451.9 ms  ✓ ConstructionBase
   4625.2 ms  ✓ FillArrays
   2743.2 ms  ✓ CompilerSupportLibraries_jll
   2298.2 ms  ✓ FastClosures
   2998.6 ms  ✓ ProgressLogging
   3002.8 ms  ✓ SuiteSparse_jll
   2265.3 ms  ✓ PtrArrays
   2510.2 ms  ✓ CompositionsBase
   2802.2 ms  ✓ ADTypes
   6093.6 ms  ✓ IrrationalConstants
   1935.7 ms  ✓ StaticArraysCore
   2677.5 ms  ✓ LoggingExtras
   2158.6 ms  ✓ NaNMath
   2794.3 ms  ✓ Requires
   2620.9 ms  ✓ Compat
   2397.7 ms  ✓ Parameters
   3321.0 ms  ✓ Preferences
   2217.9 ms  ✓ RuntimeGeneratedFunctions
   3087.0 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   2467.3 ms  ✓ Future
   2508.6 ms  ✓ LeftChildRightSiblingTrees
   2659.2 ms  ✓ Missings
   1910.4 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2305.7 ms  ✓ FillArrays → FillArraysStatisticsExt
   2817.4 ms  ✓ AliasTables
   2202.1 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   2102.0 ms  ✓ DiffResults
   2364.8 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   7087.5 ms  ✓ DataStructures
   2362.5 ms  ✓ PrecompileTools
   1942.3 ms  ✓ Compat → CompatLinearAlgebraExt
   2203.2 ms  ✓ Adapt
   3114.1 ms  ✓ LogExpFunctions
   2007.6 ms  ✓ FunctionWrappersWrappers
   5293.8 ms  ✓ DifferentiationInterface
   8070.2 ms  ✓ ExproniconLite
   2899.0 ms  ✓ JLLWrappers
   2214.6 ms  ✓ SortingAlgorithms
  10133.9 ms  ✓ MacroTools
   1800.5 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   2194.1 ms  ✓ ArrayInterface
