Precompiling Pkg...
    959.1 ms  ✓ Logging
   1035.7 ms  ✓ MozillaCACerts_jll
   1058.1 ms  ✓ Unicode
   1070.0 ms  ✓ Zlib_jll
   1161.9 ms  ✓ UUIDs
   1162.5 ms  ✓ nghttp2_jll
   1156.1 ms  ✓ Base64
   1168.9 ms  ✓ MbedTLS_jll
   1173.1 ms  ✓ p7zip_jll
   1269.2 ms  ✓ NetworkOptions
    355.7 ms  ✓ LibSSH2_jll
    497.9 ms  ✓ Printf
    411.8 ms  ✓ LibCURL_jll
    416.2 ms  ✓ LibGit2_jll
   2136.4 ms  ✓ ArgTools
    572.9 ms  ✓ LibCURL
    549.6 ms  ✓ Tar
   2422.2 ms  ✓ Dates
   2922.5 ms  ✓ Markdown
   2354.0 ms  ✓ LibGit2
    408.6 ms  ✓ TOML
   3013.1 ms  ✓ Downloads
  38971.6 ms  ✓ Pkg
  23 dependencies successfully precompiled in 45 seconds
Precompiling project...
   1876.0 ms  ✓ SimpleUnPack
   1873.3 ms  ✓ ConcreteStructs
   1882.4 ms  ✓ Future
   1888.8 ms  ✓ LaTeXStrings
   1893.0 ms  ✓ ExprTools
   2075.5 ms  ✓ UnPack
   2080.1 ms  ✓ IteratorInterfaceExtensions
   2183.0 ms  ✓ MuladdMacro
   2179.6 ms  ✓ OpenLibm_jll
   2370.2 ms  ✓ InverseFunctions
   2870.9 ms  ✓ Statistics
   3081.1 ms  ✓ ADTypes
   3254.0 ms  ✓ Serialization
   3664.9 ms  ✓ FunctionWrappers
   1976.2 ms  ✓ ManualMemory
   2012.2 ms  ✓ CommonSolve
   1895.2 ms  ✓ DataValueInterfaces
   1702.0 ms  ✓ Reexport
   1990.9 ms  ✓ EnumX
   2315.7 ms  ✓ CompilerSupportLibraries_jll
   4279.9 ms  ✓ FillArrays
   2479.2 ms  ✓ SuiteSparse_jll
   1770.2 ms  ✓ SIMDTypes
   2586.9 ms  ✓ Requires
   2899.2 ms  ✓ OrderedCollections
   1923.1 ms  ✓ CompositionsBase
   2506.3 ms  ✓ DocStringExtensions
   1899.0 ms  ✓ FastPower
