Precompiling Pkg...
    913.0 ms  ✓ MozillaCACerts_jll
    996.0 ms  ✓ nghttp2_jll
   1035.5 ms  ✓ Unicode
   1082.9 ms  ✓ Zlib_jll
   1105.9 ms  ✓ Logging
   1107.1 ms  ✓ UUIDs
   1112.0 ms  ✓ p7zip_jll
   1192.0 ms  ✓ NetworkOptions
   1184.5 ms  ✓ Base64
   1191.4 ms  ✓ MbedTLS_jll
    297.2 ms  ✓ LibSSH2_jll
    479.5 ms  ✓ Printf
    406.0 ms  ✓ LibGit2_jll
    410.0 ms  ✓ LibCURL_jll
   2049.7 ms  ✓ ArgTools
    565.6 ms  ✓ LibCURL
    556.1 ms  ✓ Tar
   2375.8 ms  ✓ Dates
   2837.8 ms  ✓ Markdown
   2338.0 ms  ✓ LibGit2
    407.2 ms  ✓ TOML
   2935.7 ms  ✓ Downloads
  38974.5 ms  ✓ Pkg
  23 dependencies successfully precompiled in 45 seconds
Precompiling project...
   1676.5 ms  ✓ MuladdMacro
   1722.3 ms  ✓ IteratorInterfaceExtensions
   1769.4 ms  ✓ SimpleUnPack
   1763.9 ms  ✓ UnPack
   1771.6 ms  ✓ ConcreteStructs
   2025.4 ms  ✓ LaTeXStrings
   2127.0 ms  ✓ ExprTools
   2160.4 ms  ✓ OpenLibm_jll
   2162.1 ms  ✓ InverseFunctions
   2261.3 ms  ✓ Future
   2743.5 ms  ✓ Statistics
   3120.3 ms  ✓ ADTypes
   3149.7 ms  ✓ Serialization
   1849.1 ms  ✓ CommonSolve
   3669.8 ms  ✓ FunctionWrappers
   1557.0 ms  ✓ Reexport
   2039.1 ms  ✓ ManualMemory
   1756.3 ms  ✓ DataValueInterfaces
   2255.3 ms  ✓ SuiteSparse_jll
   2540.5 ms  ✓ CompilerSupportLibraries_jll
   2196.0 ms  ✓ EnumX
   1662.6 ms  ✓ SIMDTypes
   2491.8 ms  ✓ Requires
   4656.4 ms  ✓ FillArrays
   2644.9 ms  ✓ OrderedCollections
   1695.0 ms  ✓ FastPower
   1900.4 ms  ✓ CompositionsBase
   1705.9 ms  ✓ IfElse
   2641.1 ms  ✓ DocStringExtensions
   1798.6 ms  ✓ CommonWorldInvalidations
   2141.4 ms  ✓ ConstructionBase
   1732.1 ms  ✓ FastClosures
   1900.4 ms  ✓ DataAPI
   3050.4 ms  ✓ EnzymeCore
   2306.7 ms  ✓ StaticArraysCore
   1946.9 ms  ✓ TableTraits
   7963.5 ms  ✓ ExproniconLite
   2606.0 ms  ✓ Compat
   2165.6 ms  ✓ NaNMath
   5202.7 ms  ✓ IrrationalConstants
   3009.2 ms  ✓ CpuId
   2301.0 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   3299.6 ms  ✓ Preferences
   5101.7 ms  ✓ GenericSchur
   1851.7 ms  ✓ FunctionWrappersWrappers
   2156.6 ms  ✓ RuntimeGeneratedFunctions
   5800.7 ms  ✓ Crayons
   1991.5 ms  ✓ Adapt
   2148.9 ms  ✓ FillArrays → FillArraysStatisticsExt
   2157.4 ms  ✓ Parameters
   6399.0 ms  ✓ InteractiveUtils
   5463.0 ms  ✓ LazyArtifacts
   2797.3 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   4891.3 ms  ✓ DifferentiationInterface
   2401.5 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2244.3 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   2183.7 ms  ✓ DiffResults
   2556.1 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   4289.5 ms  ✓ ThreadingUtilities
  10709.9 ms  ✓ MacroTools
   1937.3 ms  ✓ Compat → CompatLinearAlgebraExt
   2241.6 ms  ✓ JLLWrappers
   2246.0 ms  ✓ PrecompileTools
   2507.7 ms  ✓ ArrayInterface
   4065.4 ms  ✓ Tables
   2591.8 ms  ✓ EnzymeCore → AdaptExt
   2345.1 ms  ✓ TruncatedStacktraces
   3899.2 ms  ✓ LogExpFunctions
   2800.9 ms  ✓ GPUArraysCore
   2590.8 ms  ✓ CommonSubexpressions
   8734.1 ms  ✓ Distributed
   2991.7 ms  ✓ oneTBB_jll
  11252.6 ms  ✓ TimerOutputs
   2933.0 ms  ✓ OpenSpecFun_jll
   2747.7 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   2413.1 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   6020.9 ms  ✓ ChainRulesCore
   6346.7 ms  ✓ Setfield
   4088.8 ms  ✓ MaybeInplace
   5695.1 ms  ✓ IntelOpenMP_jll
   2259.5 ms  ✓ SciMLStructures
   9232.1 ms  ✓ Jieko
   2153.1 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   2805.6 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
   2140.0 ms  ✓ ADTypes → ADTypesChainRulesCoreExt
   7357.1 ms  ✓ DataStructures
   3503.7 ms  ✓ Static
   2201.4 ms  ✓ DifferentiationInterface → DifferentiationInterfaceChainRulesCoreExt
   1959.9 ms  ✓ ArrayInterface → ArrayInterfaceChainRulesCoreExt
   2640.0 ms  ✓ FiniteDiff
  10140.3 ms  ✓ Accessors
   1994.9 ms  ✓ BitTwiddlingConvenienceFunctions
   8393.1 ms  ✓ RecipesBase
   1607.7 ms  ✓ DifferentiationInterface → DifferentiationInterfaceFiniteDiffExt
   8806.5 ms  ✓ StringManipulation
   1610.6 ms  ✓ Accessors → LinearAlgebraExt
   4666.8 ms  ✓ MKL_jll
   5014.1 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
  16196.8 ms  ✓ SparseArrays
   4138.3 ms  ✓ CPUSummary
   4966.7 ms  ✓ StaticArrayInterface
   2512.0 ms  ✓ ArrayInterface → ArrayInterfaceSparseArraysExt
   2629.8 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
   2639.8 ms  ✓ Statistics → SparseArraysExt
   2739.1 ms  ✓ Adapt → AdaptSparseArraysExt
   2744.8 ms  ✓ FillArrays → FillArraysSparseArraysExt
