nice: cannot set niceness: Permission denied
Precompiling Pkg...
   1090.2 ms  ✓ nghttp2_jll
   1121.1 ms  ✓ UUIDs
   1127.4 ms  ✓ Logging
   1176.3 ms  ✓ MozillaCACerts_jll
   1194.5 ms  ✓ Unicode
   1212.3 ms  ✓ Zlib_jll
   1295.8 ms  ✓ NetworkOptions
   1274.1 ms  ✓ MbedTLS_jll
   1287.2 ms  ✓ p7zip_jll
   1338.7 ms  ✓ Base64
    339.2 ms  ✓ LibSSH2_jll
    463.0 ms  ✓ Printf
    416.8 ms  ✓ LibGit2_jll
    502.9 ms  ✓ LibCURL_jll
   2344.2 ms  ✓ ArgTools
    649.7 ms  ✓ LibCURL
    621.8 ms  ✓ Tar
   2777.1 ms  ✓ Dates
   3168.3 ms  ✓ Markdown
   2617.6 ms  ✓ LibGit2
    393.0 ms  ✓ TOML
   3404.5 ms  ✓ Downloads
  43701.4 ms  ✓ Pkg
  23 dependencies successfully precompiled in 50 seconds
Precompiling project...
   1615.2 ms  ✓ IteratorInterfaceExtensions
   1753.2 ms  ✓ SimpleUnPack
   1751.7 ms  ✓ UnPack
   1930.4 ms  ✓ ConcreteStructs
   1930.7 ms  ✓ CommonSolve
   2111.9 ms  ✓ OpenLibm_jll
   2324.2 ms  ✓ Future
   2342.1 ms  ✓ InverseFunctions
   2559.2 ms  ✓ MuladdMacro
   2717.1 ms  ✓ ExprTools
   2707.5 ms  ✓ Statistics
   2908.6 ms  ✓ Serialization
   3012.6 ms  ✓ ADTypes
   3621.5 ms  ✓ FunctionWrappers
   1989.2 ms  ✓ ManualMemory
   2205.0 ms  ✓ SuiteSparse_jll
   1601.1 ms  ✓ Reexport
   1656.3 ms  ✓ SIMDTypes
   2602.6 ms  ✓ CompilerSupportLibraries_jll
   4246.7 ms  ✓ FillArrays
   2029.6 ms  ✓ EnumX
   2590.9 ms  ✓ OrderedCollections
   2506.5 ms  ✓ Requires
   1900.2 ms  ✓ FastPower
   2100.4 ms  ✓ CompositionsBase
   2497.7 ms  ✓ DocStringExtensions
   1837.6 ms  ✓ IfElse
   1797.9 ms  ✓ CommonWorldInvalidations
   2006.4 ms  ✓ FastClosures
   2701.9 ms  ✓ EnzymeCore
   2130.0 ms  ✓ StaticArraysCore
   2464.7 ms  ✓ ConstructionBase
   2508.5 ms  ✓ Compat
   2906.0 ms  ✓ CpuId
   7513.2 ms  ✓ ExproniconLite
   3088.3 ms  ✓ Preferences
   2796.8 ms  ✓ NaNMath
   5500.2 ms  ✓ IrrationalConstants
   2471.8 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   1839.8 ms  ✓ FunctionWrappersWrappers
   2104.7 ms  ✓ RuntimeGeneratedFunctions
   4765.9 ms  ✓ GenericSchur
   1710.7 ms  ✓ FillArrays → FillArraysStatisticsExt
   2106.0 ms  ✓ Parameters
   1696.7 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   2115.7 ms  ✓ Adapt
   2255.1 ms  ✓ DiffResults
