Precompiling Pkg...
   1047.6 ms  ✓ MbedTLS_jll
   1055.8 ms  ✓ MozillaCACerts_jll
   1060.8 ms  ✓ Unicode
   1111.1 ms  ✓ NetworkOptions
   1145.5 ms  ✓ nghttp2_jll
   1151.5 ms  ✓ Logging
   1152.4 ms  ✓ UUIDs
   1183.4 ms  ✓ p7zip_jll
   1180.3 ms  ✓ Zlib_jll
   1251.0 ms  ✓ Base64
    421.4 ms  ✓ LibSSH2_jll
    505.0 ms  ✓ Printf
    403.5 ms  ✓ LibCURL_jll
    469.3 ms  ✓ LibGit2_jll
   2064.3 ms  ✓ ArgTools
    597.8 ms  ✓ LibCURL
    570.7 ms  ✓ Tar
   2422.1 ms  ✓ Dates
   2825.8 ms  ✓ Markdown
   2306.3 ms  ✓ LibGit2
    396.4 ms  ✓ TOML
   2996.6 ms  ✓ Downloads
  39219.5 ms  ✓ Pkg
  23 dependencies successfully precompiled in 45 seconds
Precompiling project...
   1814.8 ms  ✓ IteratorInterfaceExtensions
   1816.2 ms  ✓ ConcreteStructs
   1816.2 ms  ✓ UnPack
   1901.8 ms  ✓ MuladdMacro
   1906.6 ms  ✓ Future
   1884.8 ms  ✓ CommonSolve
   2008.0 ms  ✓ SimpleUnPack
   2095.2 ms  ✓ ExprTools
   2403.9 ms  ✓ InverseFunctions
   2501.0 ms  ✓ OpenLibm_jll
   2703.5 ms  ✓ Statistics
   3395.5 ms  ✓ Serialization
   3523.8 ms  ✓ FunctionWrappers
   3605.5 ms  ✓ ADTypes
   1908.4 ms  ✓ EnumX
   2099.4 ms  ✓ ManualMemory
   1919.8 ms  ✓ Reexport
   2303.9 ms  ✓ SuiteSparse_jll
   1778.0 ms  ✓ SIMDTypes
   4299.6 ms  ✓ FillArrays
   2669.7 ms  ✓ CompilerSupportLibraries_jll
   2690.4 ms  ✓ Requires
   2792.6 ms  ✓ OrderedCollections
   2696.8 ms  ✓ DocStringExtensions
   1997.3 ms  ✓ CompositionsBase
   1818.8 ms  ✓ FastPower
   2001.0 ms  ✓ ConstructionBase
   1998.2 ms  ✓ CommonWorldInvalidations
   1892.3 ms  ✓ FastClosures
   2187.9 ms  ✓ IfElse
   1903.5 ms  ✓ StaticArraysCore
   2885.9 ms  ✓ EnzymeCore
